t,x(t)
0,-0.074365262
0.01,0.101766654
0.02,0.139564729
0.03,-0.060700577
0.04,0.01651224
0.05,-0.096622219
0.06,-0.003824517
0.07,0.011968943
0.08,-0.219101579
0.09,0.106616898
0.1,0.109093508
0.11,0.056637933
0.12,-0.064041437
0.13,-0.035352049
0.14,0.016192099
0.15,0.030468682
0.16,-0.120087791
0.17,-0.098110392
0.18,-0.122863715
0.19,0.043833518
0.2,0.001299471
0.21,0.015378817
0.22,0.084548193
0.23,-0.118443157
0.24,-0.036433934
0.25,-0.062893534
0.26,-0.032035486
0.27,-0.016596808
0.28,-0.108813569
0.29,0.052288778
0.3,0.124163436
0.31,0.005873193
0.32,-0.026860771
0.33,-0.034363301
0.34,-0.057410427
0.35,0.106544383
0.36,-0.06229519
0.37,-0.109013034
0.38,-0.100822593
0.39,-0.085520006
0.4,-0.097135496
0.41,-0.027866848
0.42,-0.06146229
0.43,-0.029164359
0.44,0.161024687
0.45,0.045957249
0.46,0.204940059
0.47,-0.031737475
0.48,-0.009490329
0.49,-0.077447929
0.5,-0.018178378
0.51,0.048705323
0.52,-0.023991104
0.53,-0.095318337
0.54,-0.051683614
0.55,-0.1499922
0.56,-0.033834137
0.57,-0.035103401
0.58,0.160016223
0.59,0.090864119
0.6,0.043320645
0.61,0.123220777
0.62,-0.11099939
0.63,-0.056308247
0.64,-0.177132697
0.65,0.077748751
0.66,0.148822512
0.67,-0.022062866
0.68,0.083799675
0.69,0.141051079
0.7,-0.086526448
0.71,0.072800593
0.72,0.101745387
0.73,-0.016618932
0.74,0.20547478
0.75,0.117703456
0.76,-0.06381356
0.77,0.029238755
0.78,-0.019264817
0.79,0.057940901
0.8,0.110745679
0.81,0.018216052
0.82,0.125441726
0.83,0.120791347
0.84,-0.051123964
0.85,0.047512986
0.86,0.069856014
0.87,-0.1234127
0.88,0.01142477
0.89,0.024078511
0.9,0.068735143
0.91,-0.294501762
0.92,-0.073137852
0.93,-0.140948342
0.94,-0.026797513
0.95,0.040953759
0.96,-0.019041603
0.97,-0.039862136
0.98,0.123505634
0.99,0.083406442
1,-0.097311945
1.01,0.044254693
1.02,0.074099528
1.03,0.082065682
1.04,0.090283716
1.05,-0.146512156
1.06,-0.057895891
1.07,-0.114663887
1.08,-0.051181255
1.09,0.160640918
1.1,0.015790161
1.11,0.117216783
1.12,0.088138998
1.13,-0.274577889
1.14,-0.03549745
1.15,-0.003605796
1.16,0.175072358
1.17,-0.025884487
1.18,0.107445563
1.19,-0.01525474
1.2,0.003675174
1.21,-0.026060943
1.22,0.156804135
1.23,0.163277212
1.24,-0.117790708
1.25,-0.023013936
1.26,0.056501511
1.27,-0.16887072
1.28,0.063154126
1.29,-0.127718693
1.3,0.025028643
1.31,0.130952701
1.32,-0.061512565
1.33,-0.055125924
1.34,-0.1087347
1.35,-0.150897805
1.36,0.055604357
1.37,-0.036478941
1.38,-0.04824419
1.39,0.060584115
1.4,0.037222714
1.41,-0.030830702
1.42,-0.065956201
1.43,0.023954447
1.44,-0.002683452
1.45,0.039837984
1.46,-0.068916659
1.47,-0.003903068
1.48,0.058911321
1.49,0.113841486
1.5,-0.170175866
1.51,-0.104376699
1.52,-0.006209037
1.53,0.039359425
1.54,-0.060045009
1.55,-0.079847468
1.56,0.01232955
1.57,0.108134158
1.58,0.065213165
1.59,0.047002853
1.6,-0.046694988
1.61,-0.065657421
1.62,-0.115705922
1.63,-0.009203051
1.64,-0.067142186
1.65,0.080467041
1.66,-0.005625236
1.67,-0.055066252
1.68,-0.036152071
1.69,-0.029671653
1.7,-0.037310602
1.71,-0.028276431
1.72,0.094737065
1.73,0.068457633
1.74,0.106437789
1.75,0.10403252
1.76,-0.152493478
1.77,-0.119269494
1.78,0.022820027
1.79,-9.01E-04
1.8,0.042012432
1.81,-0.105175797
1.82,0.090893993
1.83,0.081928733
1.84,0.021445666
1.85,0.117762038
1.86,0.011941718
1.87,-0.122402981
1.88,0.09081728
