t,x(t)
0,0.066766064
0.01,0.130442917
0.02,0.024369004
0.03,0.134030526
0.04,-0.21152481
0.05,0.190188854
0.06,-0.062836291
0.07,-0.168671485
0.08,-0.05294137
0.09,0.02402691
0.1,-0.066355512
0.11,0.065099551
0.12,0.210751265
0.13,-0.030969319
0.14,-0.131839926
0.15,0.119180692
0.16,-0.223055294
0.17,-0.036521059
0.18,-0.078135991
0.19,-0.090975157
0.2,-0.084402509
0.21,-0.085588564
0.22,-0.116474681
0.23,0.033846
0.24,-0.057190372
0.25,-0.078464815
0.26,-0.183012346
0.27,0.035170395
0.28,-0.012343455
0.29,0.030243575
0.3,-0.018288704
0.31,-0.135767975
0.32,-0.208163813
0.33,-0.087605835
0.34,-0.121624007
0.35,0.028229515
0.36,-0.177646955
0.37,-0.052484272
0.38,0.000457657
0.39,-0.012900148
0.4,0.081344311
0.41,0.020357296
0.42,0.028977012
0.43,-0.090385383
0.44,-0.067714847
0.45,-0.00944172
0.46,-0.010072556
0.47,-0.02075526
0.48,0.092669445
0.49,0.069836782
0.5,0.182492371
0.51,-0.071822711
0.52,-0.00486369
0.53,0.051152426
0.54,0.204639012
0.55,-0.031645795
0.56,-0.056948271
0.57,-0.057319911
0.58,0.150783919
0.59,0.04671812
0.6,-0.047641259
0.61,0.026425852
0.62,-0.104964452
0.63,-0.149776284
0.64,-0.025117986
0.65,0.013572046
0.66,0.15964418
0.67,-0.046132119
0.68,0.034919028
0.69,0.016886696
0.7,-0.07355268
0.71,0.080949584
0.72,0.08187201
0.73,-0.098649511
0.74,0.088801353
0.75,-0.151058996
0.76,-0.097345011
0.77,-0.188285389
0.78,0.004324301
0.79,0.004294937
0.8,-0.157100164
0.81,-0.037565582
0.82,-0.07768316
0.83,-0.074891914
0.84,0.001040863
0.85,-0.099252974
0.86,0.057768698
0.87,-0.040197024
0.88,0.068467846
0.89,-0.00771222
0.9,0.090630573
0.91,0.036260356
0.92,-0.041787294
0.93,-0.017395325
0.94,0.197722945
0.95,-0.092321921
0.96,-0.023921722
0.97,0.104241451
0.98,0.272376442
0.99,0.063913386
1,0.039905359
1.01,0.031466257
1.02,0.241297579
1.03,0.124282316
1.04,-0.106633846
1.05,0.04000241
1.06,-0.11026865
1.07,0.192190356
1.08,-0.056173036
1.09,0.057851796
1.1,0.028201016
1.11,0.033002506
1.12,0.039498579
1.13,-0.173166346
1.14,-0.007276012
1.15,-0.12298909
1.16,-0.049531784
1.17,0.110854611
1.18,0.134055603
1.19,-0.239588469
1.2,-0.033242742
1.21,0.075939044
1.22,0.041707835
1.23,0.012303142
1.24,-0.093773353
1.25,0.037632635
1.26,0.029171229
1.27,0.02210208
1.28,-0.024742097
1.29,0.181550863
1.3,-0.088616444
1.31,0.097614492
1.32,-0.087022258
1.33,0.024092829
1.34,0.01225653
1.35,0.120970242
1.36,-0.00655057
1.37,-0.118200777
1.38,-0.086205107
1.39,-0.022129521
1.4,0.132757748
1.41,0.020542336
1.42,0.082608113
1.43,0.060663355
1.44,0.034820037
1.45,0.097107872
1.46,-0.078844921
1.47,0.117083947
1.48,0.044026501
1.49,-0.01410966
1.5,0.099621857
1.51,-0.099804748
1.52,-0.095946247
1.53,0.113186412
1.54,0.113126223
1.55,-0.019784312
1.56,0.140526945
1.57,-0.088213676
1.58,-0.016487892
1.59,0.002221518
1.6,-0.048583846
1.61,0.047258793
1.62,-0.068506787
1.63,-0.096980916
1.64,0.009902287
1.65,-0.094219778
1.66,0.113401639
1.67,-0.020612374
1.68,0.045005998
1.69,0.057026439
1.7,-0.11948233
1.71,0.107222204
1.72,0.09162711
1.73,-0.159202056
1.74,0.059404406
1.75,0.097375499
1.76,-0.033895723
1.77,0.050065889
1.78,-0.155619393
1.79,-0.053891037
1.8,-0.229162644
1.81,-0.027104406
1.82,0.166886255
1.83,0.007559674
1.84,0.095526176
1.85,-0.074265592
1.86,-0.045812571
1.87,0.182809611
1.88,-0.079517732
1.89,-0.164765997
1.9,-0.199039278
1.91,-0.02753761
1.92,-0.065575677
1.93,0.021357193
1.94,0.176975971
1.95,0.212423204
1.96,-0.06026317
1.97,0.161278891
1.98,-0.025557134
1.99,-0.094973288
2,-0.114412817
2.01,0.10444285
2.02,-0.046228213
2.03,0.045951428
2.04,0.132429606
2.05,-0.051320873
2.06,0.17514547
2.07,0.012318635
2.08,0.044510791
2.09,0.066033192
2.1,0.048118925
2.11,0.126930687
2.12,0.056464745
2.13,0.12623307
2.14,-0.076237099
2.15,-0.042774972
2.16,0.166157337
2.17,0.090025732
2.18,0.052996575
2.19,0.059852462
2.2,-0.08521556
2.21,-0.164708185
2.22,-0.154888871
2.23,-0.000191026
2.24,0.019770068
2.25,-0.139770531
2.26,0.000812155
2.27,-0.014845464
2.28,-0.036864037
2.29,-0.151094176
2.3,0.056033632
2.31,-0.085618672
2.32,0.209843197
2.33,0.297791832
2.34,-0.021388997
2.35,-0.024109445
2.36,0.158516431
2.37,0.005056545
2.38,-0.025836519
2.39,-0.14650608
2.4,0.122984209
2.41,0.006592097
2.42,-0.127073666
2.43,0.047178093
2.44,0.003352509
2.45,0.127225204
2.46,0.051051616
2.47,-0.152236853
2.48,0.069242062
2.49,0.127110062
2.5,-0.147798529
2.51,-0.00591938
2.52,0.093227449
2.53,0.090697773
2.54,0.150734534
2.55,0.092842463
2.56,0.072079695
2.57,0.054102964
2.58,-0.08572565
2.59,0.044647086
2.6,0.103262569
2.61,0.042386925
2.62,0.174122998
2.63,-0.006055914
2.64,-0.0406601
2.65,0.129734189
2.66,-0.014881333
2.67,-0.053872246
2.68,0.026678933
2.69,0.139285619
2.7,0.037274264
2.71,0.05787736
2.72,-0.085199905
2.73,-0.150406358
2.74,0.238812535
2.75,0.189592862
2.76,-0.046773133
2.77,0.055020267
2.78,-0.006967691
2.79,0.019801459
2.8,0.048728606
2.81,-0.130208568
2.82,0.005720638
2.83,0.189351737
