model_name,snr_db,mean_abs_freq_error,std_abs_freq_error,p_detect_within_0_05hz,p_false_alarm_noise_only,mc_runs,sample_count
FFT Peak Baseline,-20.0,0.0004178909949036358,0.0001888518530047678,1.0,1.0,2,12000
Welch PSD,-20.0,0.00041698725744199194,0.0001898532348385551,1.0,1.0,2,12000
CFAR + FFT,-20.0,0.0004178909949036358,0.0001888518530047678,1.0,0.0,2,12000
Matched Filter / GLRT,-20.0,0.0004178909949036358,0.0001888518530047678,1.0,0.0,2,12000
SSA Denoise + FFT,-20.0,0.0004178909949036358,0.0001888518530047678,1.0,1.0,2,12000
MUSIC,-20.0,0.015442230069384388,0.015212701963770447,1.0,1.0,2,12000
FFT Peak Baseline,-15.0,0.00016904757490365796,3.11449064285263e-05,1.0,1.0,2,12000
Welch PSD,-15.0,0.00016899277131599,3.183058613975831e-05,1.0,1.0,2,12000
CFAR + FFT,-15.0,0.00016904757490365796,3.11449064285263e-05,1.0,0.0,2,12000
Matched Filter / GLRT,-15.0,0.00016904757490365796,3.11449064285263e-05,1.0,0.0,2,12000
SSA Denoise + FFT,-15.0,0.00016904757490365796,3.11449064285263e-05,1.0,1.0,2,12000
MUSIC,-15.0,0.0001686944950691771,3.259467961203022e-05,1.0,1.0,2,12000
FFT Peak Baseline,-12.0,0.0001928199484955151,1.4958563965938865e-05,1.0,1.0,2,12000
Welch PSD,-12.0,0.00019106518921174764,1.4645620610154175e-05,1.0,1.0,2,12000
CFAR + FFT,-12.0,0.0001928199484955151,1.4958563965938865e-05,1.0,0.0,2,12000
Matched Filter / GLRT,-12.0,0.0001928199484955151,1.4958563965938865e-05,1.0,0.0,2,12000
SSA Denoise + FFT,-12.0,0.0001928199484955151,1.4958563965938865e-05,1.0,1.0,2,12000
MUSIC,-12.0,0.00019169971771504368,1.4920381953387185e-05,1.0,1.0,2,12000
FFT Peak Baseline,-10.0,4.379232302231806e-05,2.854233193905209e-05,1.0,1.0,2,12000
Welch PSD,-10.0,4.326687450006972e-05,2.7525720682763932e-05,1.0,1.0,2,12000
CFAR + FFT,-10.0,4.379232302231806e-05,2.854233193905209e-05,1.0,0.0,2,12000
Matched Filter / GLRT,-10.0,4.379232302231806e-05,2.854233193905209e-05,1.0,0.0,2,12000
SSA Denoise + FFT,-10.0,4.379232302231806e-05,2.854233193905209e-05,1.0,1.0,2,12000
MUSIC,-10.0,4.4386329304479943e-05,2.761982519228212e-05,1.0,1.0,2,12000
FFT Peak Baseline,-5.0,4.8274211037036e-05,3.3801022925494806e-05,1.0,1.0,2,12000
Welch PSD,-5.0,4.9891423229864174e-05,3.3874131456501644e-05,1.0,1.0,2,12000
CFAR + FFT,-5.0,4.8274211037036e-05,3.3801022925494806e-05,1.0,0.0,2,12000
Matched Filter / GLRT,-5.0,4.8274211037036e-05,3.3801022925494806e-05,1.0,0.0,2,12000
SSA Denoise + FFT,-5.0,4.8274211037036e-05,3.3801022925494806e-05,1.0,1.0,2,12000
MUSIC,-5.0,4.8598750269190916e-05,3.350076278718639e-05,1.0,1.0,2,12000
