amplitude_case,separation_hz,runs,main_success_rate,music_success_rate,music_grid_step_hz
equal,0.00025,200,0.0,0.0,2.5e-05
equal,0.0005,200,0.0,0.0,2.5e-05
equal,0.00075,200,0.0,0.0,2.5e-05
equal,0.001,200,0.005,0.0,2.5e-05
equal,0.0015,200,0.06,0.01,2.5e-05
equal,0.002,200,0.475,0.2,2.5e-05
equal,0.0025,200,0.945,0.715,2.5e-05
equal,0.003,200,0.99,0.97,2.5e-05
equal,0.004,200,1.0,1.0,2.5e-05
equal,0.005,200,1.0,1.0,2.5e-05
equal,0.0075,200,1.0,1.0,2.5e-05
equal,0.01,200,1.0,1.0,2.5e-05
unequal,0.00025,200,0.0,0.0,2.5e-05
unequal,0.0005,200,0.0,0.0,2.5e-05
unequal,0.00075,200,0.0,0.0,2.5e-05
unequal,0.001,200,0.0,0.0,2.5e-05
unequal,0.0015,200,0.025,0.0,2.5e-05
unequal,0.002,200,0.345,0.025,2.5e-05
unequal,0.0025,200,0.665,0.165,2.5e-05
unequal,0.003,200,0.96,0.47,2.5e-05
unequal,0.004,200,1.0,0.92,2.5e-05
unequal,0.005,200,1.0,0.99,2.5e-05
unequal,0.0075,200,0.815,0.995,2.5e-05
unequal,0.01,200,1.0,1.0,2.5e-05
