amplitude_case,separation_hz,runs,main_success_rate,music_success_rate,music_grid_step_hz
equal,0.00025,30,0.0,0.0,2.5e-05
equal,0.0005,30,0.0,0.0,2.5e-05
equal,0.00075,30,0.0,0.0,2.5e-05
equal,0.001,30,0.0,0.0,2.5e-05
equal,0.0015,30,0.06666666666666667,0.03333333333333333,2.5e-05
equal,0.002,30,0.4666666666666667,0.13333333333333333,2.5e-05
equal,0.0025,30,0.9666666666666667,0.6333333333333333,2.5e-05
equal,0.003,30,1.0,1.0,2.5e-05
equal,0.004,30,1.0,1.0,2.5e-05
equal,0.005,30,1.0,1.0,2.5e-05
equal,0.0075,30,1.0,1.0,2.5e-05
equal,0.01,30,1.0,1.0,2.5e-05
unequal,0.00025,30,0.0,0.0,2.5e-05
unequal,0.0005,30,0.0,0.0,2.5e-05
unequal,0.00075,30,0.0,0.0,2.5e-05
unequal,0.001,30,0.0,0.0,2.5e-05
unequal,0.0015,30,0.0,0.0,2.5e-05
unequal,0.002,30,0.43333333333333335,0.06666666666666667,2.5e-05
unequal,0.0025,30,0.6333333333333333,0.1,2.5e-05
unequal,0.003,30,0.9666666666666667,0.5666666666666667,2.5e-05
unequal,0.004,30,1.0,0.9333333333333333,2.5e-05
unequal,0.005,30,1.0,1.0,2.5e-05
unequal,0.0075,30,0.8333333333333334,1.0,2.5e-05
unequal,0.01,30,1.0,1.0,2.5e-05
