scenario,case,separation_hz,wrapped_phase_difference_rad,runs,successes,failures,success_rate,success_ci95_low,success_ci95_high,stable_failure,over_split_failures,not_split_failures,inaccurate_two_source_failures,median_max_frequency_error_hz,mean_runtime_seconds
identical_failed_seed_19,identical,0.0,-0.07053570708353661,50,47,3,0.94,0.8378265662912299,0.9793854036353695,False,3,0,0,nan,0.04558284599916078
identical_failed_seed_65,identical,0.0,-0.8276278475278396,50,46,4,0.92,0.8116149745493629,0.9684509967442093,False,4,0,0,nan,0.05408062200178392
identical_control_seed_0,identical,0.0,-2.936687130598073,50,50,0,1.0,0.9286499658256813,1.0,False,0,0,0,nan,0.05317490800283849
identical_near_cancel,identical,0.0,3.1115926535897933,50,50,0,1.0,0.9286499658256813,1.0,False,0,0,0,nan,0.05421673800330609
equal_0025_failed_seed_9,equal,0.0025,3.126386563605927,50,13,37,0.26,0.15871379651367384,0.3955342198899992,False,0,0,37,0.0007408738334522269,0.05478733799536713
equal_0025_failed_seed_32,equal,0.0025,-2.8677204359654627,50,37,13,0.74,0.6044657801100008,0.8412862034863262,False,0,0,13,0.0005009195105429853,0.052927163996500895
equal_0025_failed_seed_130,equal,0.0025,-2.924336757316311,50,32,18,0.64,0.5014076201030195,0.7586143703281711,False,0,0,18,0.0005764246146098273,0.04965676400111988
equal_0025_control_seed_0,equal,0.0025,-2.7528601179428267,50,42,8,0.84,0.7148551903823401,0.9166267863791231,False,0,0,8,0.00043682528574784385,0.0520653840014711
unequal_003_failed_seed_6,unequal,0.003,2.438949912824747,50,16,34,0.32,0.20758044093999403,0.45810557136276076,False,0,14,20,0.0008412164646420806,0.04999249599990435
unequal_003_failed_seed_17,unequal,0.003,2.8548795417758432,50,25,25,0.5,0.36644286412332855,0.6335571358766714,False,0,16,9,0.0005111587967441267,0.05304465400055051
unequal_003_failed_seed_26,unequal,0.003,1.8377214265269126,50,37,13,0.74,0.6044657801100008,0.8412862034863262,False,0,9,4,0.0002808309535176079,0.05134417599881999
unequal_003_control_seed_0,unequal,0.003,1.254981284052987,50,50,0,1.0,0.9286499658256813,1.0,False,0,0,0,0.00020662037657270815,0.05271481600007974
