rank,layout,sensor_count,mean_pd_source,low_snr_pd_source,mean_pd_all,mean_p_fa,mean_balance_variance,score
1,bearing_left+gearbox_left+output_shaft,3,0.7005208333333334,0.5515625,0.46249999999999997,0.012499999999999999,0.05063313802083333,0.6502042643229167
2,bearing_left+gearbox_left+gearbox_right,3,0.6901041666666666,0.5359375,0.4583333333333333,0.016666666666666666,0.045340169270833335,0.6341007486979167
3,bearing_left+bearing_right+gearbox_left,3,0.6776041666666667,0.52421875,0.41250000000000003,0.01916666666666667,0.045506184895833336,0.6165177408854167
4,bearing_left+gearbox_left+input_shaft,3,0.6625,0.4984375,0.4145833333333333,0.013333333333333334,0.04259440104166667,0.6145361328125
5,bearing_right+gearbox_left+output_shaft,3,0.7182291666666667,0.58125,0.48541666666666666,0.04833333333333334,0.04271647135416667,0.6002042643229166
6,gearbox_left+input_shaft+output_shaft,3,0.7223958333333332,0.58515625,0.5041666666666667,0.05333333333333334,0.0397412109375,0.5958585611979167
7,bearing_right+gearbox_left+gearbox_right,3,0.6854166666666668,0.53046875,0.45625,0.037500000000000006,0.041103515625,0.5898649088541666
8,bearing_left+gearbox_right+output_shaft,3,0.6453125000000001,0.5,0.29375,0.010833333333333334,0.0784423828125,0.5844246419270833
9,bearing_right+gearbox_left+input_shaft,3,0.7270833333333333,0.5921875,0.5,0.06499999999999999,0.027470703125,0.5833479817708332
10,gearbox_left+gearbox_right+input_shaft,3,0.6916666666666668,0.5421875,0.4708333333333334,0.051666666666666666,0.031155598958333332,0.5727555338541667
11,bearing_left+input_shaft+output_shaft,3,0.6390625,0.5015625,0.25,0.018333333333333337,0.08278483072916666,0.5610034179687501
12,gearbox_left+gearbox_right+output_shaft,3,0.665625,0.50703125,0.41250000000000003,0.04583333333333334,0.059166666666666666,0.5443749999999999
13,bearing_left+bearing_right+output_shaft,3,0.6437499999999999,0.5109375,0.24583333333333335,0.028333333333333335,0.0859375,0.5441145833333333
