layout,sensor_count,snr_db,runs,pd_any,pd_all,pd_source_mean,pd_source_min,pd_source_variance,false_alarm_runs,p_fa,score,benchmark
gearbox_left,1,-25.0,80,0.4375,0.0,0.125,0.0125,0.023203124999999998,200,0.02,0.0733984375,single_best
gearbox_left,1,-20.0,80,0.9375,0.0,0.32499999999999996,0.0,0.09281249999999999,200,0.08,0.11859374999999996,single_best
gearbox_left,1,-15.0,80,1.0,0.15,0.665625,0.4125,0.049794921875,200,0.1,0.4407275390625,single_best
gearbox_left,1,-12.0,80,1.0,0.5125,0.8375,0.575,0.031406250000000004,200,0.08,0.661796875,single_best
gearbox_left,1,-10.0,80,1.0,0.5375,0.8843749999999999,0.65,0.020419921875,200,0.06,0.7541650390624999,single_best
gearbox_left,1,-5.0,80,1.0,1.0,1.0,1.0,0.0,200,0.06,0.88,single_best
bearing_left+gearbox_right+input_shaft,3,-25.0,80,0.3,0.0,0.0875,0.0,0.006171874999999999,200,0.025,0.034414062499999995,random_three
bearing_left+gearbox_right+input_shaft,3,-20.0,80,0.8125,0.0,0.34062499999999996,0.0,0.070576171875,200,0.02,0.2653369140625,random_three
bearing_left+gearbox_right+input_shaft,3,-15.0,80,0.9875,0.025,0.7124999999999999,0.025,0.159296875,200,0.03,0.5728515624999999,random_three
bearing_left+gearbox_right+input_shaft,3,-12.0,80,1.0,0.0875,0.771875,0.0875,0.15612304687499998,200,0.05,0.5938134765625,random_three
bearing_left+gearbox_right+input_shaft,3,-10.0,80,1.0,0.3,0.825,0.3,0.09187499999999998,200,0.065,0.6490625,random_three
bearing_left+gearbox_right+input_shaft,3,-5.0,80,1.0,0.8,0.95,0.8,0.007499999999999997,200,0.035,0.8762499999999999,random_three
bearing_left+gearbox_left+output_shaft,3,-25.0,80,0.5125,0.0,0.14375,0.0125,0.022851562500000002,200,0.02,0.09232421874999998,best_three
bearing_left+gearbox_left+output_shaft,3,-20.0,80,1.0,0.0,0.390625,0.0125,0.140263671875,200,0.02,0.2804931640625,best_three
bearing_left+gearbox_left+output_shaft,3,-15.0,80,1.0,0.15,0.7625,0.175,0.11601562499999998,200,0.025,0.6544921874999999,best_three
bearing_left+gearbox_left+output_shaft,3,-12.0,80,1.0,0.6375,0.909375,0.6375,0.024638671875000007,200,0.0,0.8970556640625,best_three
bearing_left+gearbox_left+output_shaft,3,-10.0,80,1.0,0.9875,0.996875,0.9875,2.9296874999999792e-05,200,0.01,0.9768603515625,best_three
bearing_left+gearbox_left+output_shaft,3,-5.0,80,1.0,1.0,1.0,1.0,0.0,200,0.0,1.0,best_three
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-25.0,80,0.8125,0.0,0.25625,0.0125,0.08199218750000001,200,0.035,0.14525390624999995,all_sensors_reference
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-20.0,80,1.0,0.0125,0.55625,0.0875,0.1184765625,200,0.04,0.41701171875,all_sensors_reference
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-15.0,80,1.0,0.325,0.83125,0.325,0.08542968750000002,200,0.13,0.52853515625,all_sensors_reference
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-12.0,80,1.0,0.7875,0.946875,0.7875,0.008466796875000002,200,0.06,0.8226416015625,all_sensors_reference
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-10.0,80,1.0,1.0,1.0,1.0,0.0,200,0.0,1.0,all_sensors_reference
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-5.0,80,1.0,1.0,1.0,1.0,0.0,200,0.045,0.91,all_sensors_reference
