layout,sensor_count,snr_db,runs,pd_any,pd_all,pd_source_mean,pd_source_min,pd_source_variance,false_alarm_runs,p_fa,score
bearing_left,1,-25.0,80,0.175,0.0,0.04375,0.0,0.0006640624999999999,200,0.12,-0.19658203124999998
bearing_left,1,-20.0,80,0.5625,0.0,0.18125,0.0,0.0160546875,200,0.04,0.09322265625
bearing_left,1,-15.0,80,1.0,0.0,0.646875,0.0,0.14284179687499998,200,0.12,0.3354541015625
bearing_left,1,-12.0,80,1.0,0.1625,0.765625,0.175,0.11698242187499998,200,0.08,0.5471337890625
bearing_left,1,-10.0,80,1.0,0.0875,0.76875,0.0875,0.1547265625,200,0.06,0.57138671875
bearing_left,1,-5.0,80,1.0,0.4125,0.853125,0.4125,0.064716796875,200,0.08,0.6607666015625
bearing_left+bearing_right,2,-25.0,80,0.3875,0.0,0.09687499999999999,0.0,0.004248046875,200,0.055,-0.015249023437500012
bearing_left+bearing_right,2,-20.0,80,0.9875,0.0,0.459375,0.0,0.087294921875,200,0.075,0.26572753906249996
bearing_left+bearing_right,2,-15.0,80,1.0,0.05,0.746875,0.05,0.16252929687499998,200,0.04,0.5856103515625
bearing_left+bearing_right,2,-12.0,80,1.0,0.025,0.75,0.025,0.1753125,200,0.02,0.62234375
bearing_left+bearing_right,2,-10.0,80,1.0,0.125,0.78125,0.125,0.1435546875,200,0.085,0.53947265625
bearing_left+bearing_right,2,-5.0,80,1.0,0.75,0.9375,0.75,0.01171875,200,0.06,0.811640625
bearing_left+bearing_right+gearbox_left,3,-25.0,80,0.3125,0.0,0.08125,0.0,0.0053515625,200,0.02,0.03857421875
bearing_left+bearing_right+gearbox_left,3,-20.0,80,0.9125,0.0,0.38437499999999997,0.0,0.07338867187499999,200,0.035,0.27768066406249997
bearing_left+bearing_right+gearbox_left,3,-15.0,80,1.0,0.1,0.75625,0.1,0.1444921875,200,0.02,0.6440039062499999
bearing_left+bearing_right+gearbox_left,3,-12.0,80,1.0,0.5,0.875,0.5,0.046875,200,0.01,0.8315625
bearing_left+bearing_right+gearbox_left,3,-10.0,80,1.0,0.875,0.96875,0.875,0.0029296875,200,0.02,0.92728515625
bearing_left+bearing_right+gearbox_left,3,-5.0,80,1.0,1.0,1.0,1.0,0.0,200,0.01,0.98
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-25.0,80,0.8125,0.0,0.25625,0.0125,0.08199218750000001,200,0.035,0.14525390624999995
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-20.0,80,1.0,0.0125,0.55625,0.0875,0.1184765625,200,0.04,0.41701171875
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-15.0,80,1.0,0.325,0.83125,0.325,0.08542968750000002,200,0.13,0.52853515625
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-12.0,80,1.0,0.7875,0.946875,0.7875,0.008466796875000002,200,0.06,0.8226416015625
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-10.0,80,1.0,1.0,1.0,1.0,0.0,200,0.0,1.0
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-5.0,80,1.0,1.0,1.0,1.0,0.0,200,0.045,0.91
bearing_left+bearing_right+gearbox_right,3,-25.0,80,0.225,0.0,0.056249999999999994,0.0,0.0048828125,200,0.0,0.053808593749999994
bearing_left+bearing_right+gearbox_right,3,-20.0,80,0.8625,0.0,0.3875,0.0,0.07171875,200,0.045,0.26164062499999996
bearing_left+bearing_right+gearbox_right,3,-15.0,80,1.0,0.0,0.71875,0.0,0.1748046875,200,0.005,0.62134765625
bearing_left+bearing_right+gearbox_right,3,-12.0,80,1.0,0.075,0.76875,0.075,0.16042968750000003,200,0.025,0.63853515625
bearing_left+bearing_right+gearbox_right,3,-10.0,80,1.0,0.225,0.80625,0.225,0.11261718750000001,200,0.0,0.74994140625
bearing_left+bearing_right+gearbox_right,3,-5.0,80,1.0,0.8125,0.953125,0.8125,0.006591796875,200,0.025,0.8998291015625
bearing_left+bearing_right+input_shaft,3,-25.0,80,0.2125,0.0,0.053125,0.0,0.0014355468750000002,200,0.0,0.0524072265625
bearing_left+bearing_right+input_shaft,3,-20.0,80,0.75,0.0,0.26249999999999996,0.0,0.037109375,200,0.04,0.16394531249999994
bearing_left+bearing_right+input_shaft,3,-15.0,80,1.0,0.0,0.68125,0.0,0.1616796875,200,0.005,0.59041015625
bearing_left+bearing_right+input_shaft,3,-12.0,80,1.0,0.0625,0.75,0.0625,0.158203125,200,0.03,0.6108984375
bearing_left+bearing_right+input_shaft,3,-10.0,80,1.0,0.0625,0.765625,0.0625,0.164794921875,200,0.0,0.6832275390625
bearing_left+bearing_right+input_shaft,3,-5.0,80,1.0,0.6125,0.903125,0.6125,0.028154296874999995,200,0.025,0.8390478515625
bearing_left+bearing_right+output_shaft,3,-25.0,80,0.3125,0.0,0.090625,0.0,0.007919921874999998,200,0.04,0.006665039062499997
bearing_left+bearing_right+output_shaft,3,-20.0,80,0.975,0.0,0.421875,0.0,0.113310546875,200,0.06,0.24521972656250002
bearing_left+bearing_right+output_shaft,3,-15.0,80,1.0,0.0,0.73125,0.0,0.17917968750000002,200,0.005,0.6316601562499999
bearing_left+bearing_right+output_shaft,3,-12.0,80,1.0,0.2,0.8,0.2,0.12000000000000001,200,0.035,0.6699999999999999
bearing_left+bearing_right+output_shaft,3,-10.0,80,1.0,0.2875,0.821875,0.2875,0.095185546875,200,0.0,0.7742822265625
bearing_left+bearing_right+output_shaft,3,-5.0,80,1.0,0.9875,0.996875,0.9875,2.9296874999999792e-05,200,0.03,0.9368603515624999
bearing_left+gearbox_left,2,-25.0,80,0.4125,0.0,0.10625,0.0,0.022226562499999998,200,0.02,0.05513671875000001
bearing_left+gearbox_left,2,-20.0,80,0.975,0.0,0.38125,0.1375,0.052695312499999994,200,0.06,0.23490234375
bearing_left+gearbox_left,2,-15.0,80,1.0,0.225,0.778125,0.25,0.096123046875,200,0.13,0.4700634765624999
bearing_left+gearbox_left,2,-12.0,80,1.0,0.8125,0.953125,0.8125,0.006591796875,200,0.05,0.8498291015625
bearing_left+gearbox_left,2,-10.0,80,1.0,0.9625,0.990625,0.9625,0.0002636718749999997,200,0.11,0.7704931640625
bearing_left+gearbox_left,2,-5.0,80,1.0,1.0,1.0,1.0,0.0,200,0.07,0.86
bearing_left+gearbox_left+gearbox_right,3,-25.0,80,0.3375,0.0,0.10625000000000001,0.025,0.008476562500000001,200,0.0,0.10201171875000001
bearing_left+gearbox_left+gearbox_right,3,-20.0,80,0.9625,0.0,0.384375,0.0375,0.11799804687499998,200,0.02,0.2853759765625
bearing_left+gearbox_left+gearbox_right,3,-15.0,80,1.0,0.175,0.75625,0.175,0.11363281250000001,200,0.025,0.64943359375
bearing_left+gearbox_left+gearbox_right,3,-12.0,80,1.0,0.5875,0.896875,0.5875,0.031904296875,200,0.0,0.8809228515624999
bearing_left+gearbox_left+gearbox_right,3,-10.0,80,1.0,0.9875,0.996875,0.9875,2.9296874999999792e-05,200,0.055,0.8868603515625
bearing_left+gearbox_left+gearbox_right,3,-5.0,80,1.0,1.0,1.0,1.0,0.0,200,0.0,1.0
bearing_left+gearbox_left+input_shaft,3,-25.0,80,0.2875,0.0,0.071875,0.0,0.007529296874999999,200,0.0,0.06811035156249999
bearing_left+gearbox_left+input_shaft,3,-20.0,80,0.8625,0.0,0.321875,0.0,0.055263671875,200,0.02,0.2542431640625
bearing_left+gearbox_left+input_shaft,3,-15.0,80,1.0,0.0875,0.73125,0.0875,0.14003906249999998,200,0.035,0.5912304687499998
bearing_left+gearbox_left+input_shaft,3,-12.0,80,1.0,0.475,0.86875,0.475,0.0516796875,200,0.015,0.81291015625
bearing_left+gearbox_left+input_shaft,3,-10.0,80,1.0,0.925,0.98125,0.925,0.0010546874999999988,200,0.01,0.96072265625
bearing_left+gearbox_left+input_shaft,3,-5.0,80,1.0,1.0,1.0,1.0,0.0,200,0.0,1.0
bearing_left+gearbox_left+output_shaft,3,-25.0,80,0.5125,0.0,0.14375,0.0125,0.022851562500000002,200,0.02,0.09232421874999998
bearing_left+gearbox_left+output_shaft,3,-20.0,80,1.0,0.0,0.390625,0.0125,0.140263671875,200,0.02,0.2804931640625
bearing_left+gearbox_left+output_shaft,3,-15.0,80,1.0,0.15,0.7625,0.175,0.11601562499999998,200,0.025,0.6544921874999999
bearing_left+gearbox_left+output_shaft,3,-12.0,80,1.0,0.6375,0.909375,0.6375,0.024638671875000007,200,0.0,0.8970556640625
bearing_left+gearbox_left+output_shaft,3,-10.0,80,1.0,0.9875,0.996875,0.9875,2.9296874999999792e-05,200,0.01,0.9768603515625
bearing_left+gearbox_left+output_shaft,3,-5.0,80,1.0,1.0,1.0,1.0,0.0,200,0.0,1.0
bearing_left+gearbox_right,2,-25.0,80,0.4125,0.0,0.115625,0.025,0.012138671875,200,0.095,-0.0804443359375
bearing_left+gearbox_right,2,-20.0,80,0.8875,0.0,0.34375,0.0125,0.0785546875,200,0.08,0.14447265625
bearing_left+gearbox_right,2,-15.0,80,1.0,0.05,0.66875,0.0625,0.1391015625,200,0.095,0.40919921875
bearing_left+gearbox_right,2,-12.0,80,1.0,0.1875,0.790625,0.1875,0.121357421875,200,0.035,0.6599462890625001
bearing_left+gearbox_right,2,-10.0,80,1.0,0.3125,0.828125,0.3125,0.088623046875,200,0.09,0.6038134765625001
bearing_left+gearbox_right,2,-5.0,80,1.0,0.8875,0.971875,0.8875,0.002373046875000002,200,0.03,0.9106884765625
bearing_left+gearbox_right+input_shaft,3,-25.0,80,0.3,0.0,0.0875,0.0,0.006171874999999999,200,0.025,0.034414062499999995
bearing_left+gearbox_right+input_shaft,3,-20.0,80,0.8125,0.0,0.34062499999999996,0.0,0.070576171875,200,0.02,0.2653369140625
bearing_left+gearbox_right+input_shaft,3,-15.0,80,0.9875,0.025,0.7124999999999999,0.025,0.159296875,200,0.03,0.5728515624999999
bearing_left+gearbox_right+input_shaft,3,-12.0,80,1.0,0.0875,0.771875,0.0875,0.15612304687499998,200,0.05,0.5938134765625
bearing_left+gearbox_right+input_shaft,3,-10.0,80,1.0,0.3,0.825,0.3,0.09187499999999998,200,0.065,0.6490625
bearing_left+gearbox_right+input_shaft,3,-5.0,80,1.0,0.8,0.95,0.8,0.007499999999999997,200,0.035,0.8762499999999999
bearing_left+gearbox_right+output_shaft,3,-25.0,80,0.3625,0.0,0.1125,0.0,0.017421875000000003,200,0.02,0.06378906250000001
bearing_left+gearbox_right+output_shaft,3,-20.0,80,1.0,0.0,0.375,0.0,0.142578125,200,0.02,0.2637109375
bearing_left+gearbox_right+output_shaft,3,-15.0,80,1.0,0.0,0.69375,0.0,0.1628515625,200,0.01,0.59232421875
bearing_left+gearbox_right+output_shaft,3,-12.0,80,1.0,0.275,0.81875,0.275,0.09855468749999999,200,0.0,0.7694726562499999
bearing_left+gearbox_right+output_shaft,3,-10.0,80,1.0,0.4875,0.871875,0.4875,0.049248046875,200,0.0,0.8472509765624999
bearing_left+gearbox_right+output_shaft,3,-5.0,80,1.0,1.0,1.0,1.0,0.0,200,0.015,0.97
bearing_left+input_shaft,2,-25.0,80,0.2375,0.0,0.0625,0.0,0.0024218750000000004,200,0.11,-0.1587109375
bearing_left+input_shaft,2,-20.0,80,0.8375,0.0,0.290625,0.05,0.024013671875000003,200,0.075,0.12861816406250004
bearing_left+input_shaft,2,-15.0,80,1.0,0.075,0.69375,0.075,0.1326171875,200,0.025,0.57744140625
bearing_left+input_shaft,2,-12.0,80,1.0,0.0,0.728125,0.0,0.17752929687500002,200,0.12,0.39936035156250005
bearing_left+input_shaft,2,-10.0,80,1.0,0.1375,0.775,0.1375,0.13570312499999998,200,0.1,0.5071484374999999
bearing_left+input_shaft,2,-5.0,80,1.0,0.5375,0.884375,0.5375,0.04010742187500001,200,0.09,0.6843212890625
bearing_left+input_shaft+output_shaft,3,-25.0,80,0.3375,0.0,0.109375,0.0,0.009169921875,200,0.035,0.03479003906249999
bearing_left+input_shaft+output_shaft,3,-20.0,80,0.975,0.0,0.384375,0.0,0.11463867187500001,200,0.02,0.28705566406250005
bearing_left+input_shaft+output_shaft,3,-15.0,80,1.0,0.0,0.715625,0.0,0.172451171875,200,0.005,0.6193994140625
bearing_left+input_shaft+output_shaft,3,-12.0,80,1.0,0.1875,0.796875,0.1875,0.123779296875,200,0.01,0.7149853515625
bearing_left+input_shaft+output_shaft,3,-10.0,80,1.0,0.3625,0.840625,0.3625,0.076201171875,200,0.005,0.7925244140625
bearing_left+input_shaft+output_shaft,3,-5.0,80,1.0,0.95,0.9875,0.95,0.00046875000000000085,200,0.035,0.917265625
bearing_left+output_shaft,2,-25.0,80,0.55,0.0,0.15,0.025,0.03531249999999999,200,0.02,0.09234374999999999
bearing_left+output_shaft,2,-20.0,80,1.0,0.0,0.384375,0.0375,0.134169921875,200,0.06,0.19729003906250003
bearing_left+output_shaft,2,-15.0,80,1.0,0.0,0.696875,0.0,0.16424804687500003,200,0.035,0.5447509765625
bearing_left+output_shaft,2,-12.0,80,1.0,0.075,0.76875,0.075,0.16042968750000003,200,0.0,0.6885351562500001
bearing_left+output_shaft,2,-10.0,80,1.0,0.4,0.85,0.4,0.06749999999999999,200,0.02,0.77625
bearing_left+output_shaft,2,-5.0,80,1.0,0.95,0.9875,0.95,0.00046875000000000085,200,0.09,0.8072656250000001
bearing_right,1,-25.0,80,0.2125,0.0,0.053125,0.0,0.0020605468749999994,200,0.04,-0.027905273437500003
bearing_right,1,-20.0,80,0.775,0.0,0.26875000000000004,0.0,0.058789062499999996,200,0.02,0.19935546875000004
bearing_right,1,-15.0,80,1.0,0.0,0.5125,0.0,0.14515625,200,0.1,0.23992187499999995
bearing_right,1,-12.0,80,1.0,0.025,0.709375,0.075,0.138857421875,200,0.06,0.5199462890625
bearing_right,1,-10.0,80,1.0,0.0375,0.74375,0.0375,0.1664453125,200,0.12,0.42052734375
bearing_right,1,-5.0,80,1.0,0.55,0.8875,0.55,0.037968749999999996,200,0.06,0.748515625
bearing_right+gearbox_left,2,-25.0,80,0.4,0.0,0.1,0.0,0.017812500000000002,200,0.05,-0.008906250000000001
bearing_right+gearbox_left,2,-20.0,80,0.975,0.0,0.5,0.125,0.09664062500000001,200,0.085,0.28167968749999994
bearing_right+gearbox_left,2,-15.0,80,1.0,0.2375,0.771875,0.4375,0.057685546875,200,0.14,0.4630322265624999
bearing_right+gearbox_left,2,-12.0,80,1.0,0.8875,0.971875,0.8875,0.002373046875000002,200,0.08,0.8106884765625
bearing_right+gearbox_left,2,-10.0,80,1.0,0.95,0.9875,0.95,0.00046875000000000085,200,0.13,0.727265625
bearing_right+gearbox_left,2,-5.0,80,1.0,1.0,1.0,1.0,0.0,200,0.105,0.79
bearing_right+gearbox_left+gearbox_right,3,-25.0,80,0.4625,0.0,0.134375,0.025,0.011591796875000001,200,0.05,0.028579101562499987
bearing_right+gearbox_left+gearbox_right,3,-20.0,80,0.975,0.0,0.425,0.0875,0.11539062500000001,200,0.035,0.2973046875
bearing_right+gearbox_left+gearbox_right,3,-15.0,80,1.0,0.15,0.675,0.35,0.105625,200,0.035,0.5521874999999999
bearing_right+gearbox_left+gearbox_right,3,-12.0,80,1.0,0.625,0.8875,0.725,0.013906250000000002,200,0.02,0.8405468749999999
bearing_right+gearbox_left+gearbox_right,3,-10.0,80,1.0,0.9625,0.990625,0.975,0.0001074218750000001,200,0.085,0.8205712890625
bearing_right+gearbox_left+gearbox_right,3,-5.0,80,1.0,1.0,1.0,1.0,0.0,200,0.0,1.0
bearing_right+gearbox_left+input_shaft,3,-25.0,80,0.5125,0.0,0.16249999999999998,0.025,0.008828125,200,0.06,0.038085937499999986
bearing_right+gearbox_left+input_shaft,3,-20.0,80,0.9625,0.0,0.490625,0.0875,0.073466796875,200,0.09,0.2738916015625
bearing_right+gearbox_left+input_shaft,3,-15.0,80,1.0,0.3375,0.796875,0.3625,0.067998046875,200,0.065,0.6328759765625
bearing_right+gearbox_left+input_shaft,3,-12.0,80,1.0,0.6875,0.91875,0.7125,0.014414062499999998,200,0.075,0.7615429687499999
bearing_right+gearbox_left+input_shaft,3,-10.0,80,1.0,0.975,0.99375,0.975,0.00011718750000000021,200,0.05,0.8936914062500001
bearing_right+gearbox_left+input_shaft,3,-5.0,80,1.0,1.0,1.0,1.0,0.0,200,0.05,0.9
bearing_right+gearbox_left+output_shaft,3,-25.0,80,0.6625,0.0,0.175,0.0,0.032109374999999996,200,0.075,0.008945312499999997
bearing_right+gearbox_left+output_shaft,3,-20.0,80,1.0,0.025,0.490625,0.075,0.138857421875,200,0.065,0.29119628906249995
bearing_right+gearbox_left+output_shaft,3,-15.0,80,1.0,0.15,0.71875,0.4,0.0798046875,200,0.03,0.6188476562499999
bearing_right+gearbox_left+output_shaft,3,-12.0,80,1.0,0.8,0.940625,0.825,0.005107421875000003,200,0.03,0.8780712890625
bearing_right+gearbox_left+output_shaft,3,-10.0,80,1.0,0.9375,0.984375,0.95,0.0004199218750000008,200,0.03,0.9241650390624999
bearing_right+gearbox_left+output_shaft,3,-5.0,80,1.0,1.0,1.0,1.0,0.0,200,0.06,0.88
bearing_right+gearbox_right,2,-25.0,80,0.5,0.0,0.13437500000000002,0.0,0.011826171875000003,200,0.095,-0.06153808593749998
bearing_right+gearbox_right,2,-20.0,80,0.9875,0.0,0.44062500000000004,0.0,0.12807617187499998,200,0.08,0.21658691406250002
