layout,regions,benchmark,snr_db,signal_runs,false_alarm_runs,pd_any,pd_all,pd_source_mean,pd_source_min,pd_source_variance,p_fa
v1_p086+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-25.0,60,120,0.21666666666666667,0.0,0.05416666666666667,0.0,0.004357638888888888,0.03333333333333333
v1_p086+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-20.0,60,120,0.7,0.0,0.225,0.05,0.037430555555555564,0.06666666666666667
v1_p086+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-15.0,60,120,1.0,0.1,0.6416666666666666,0.2833333333333333,0.06840277777777777,0.06666666666666667
v1_p086+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-12.0,60,120,1.0,0.7,0.9208333333333334,0.8333333333333334,0.004357638888888888,0.058333333333333334
v1_p086+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-10.0,60,120,1.0,0.9666666666666667,0.9916666666666667,0.9666666666666667,0.0002083333333333332,0.016666666666666666
v1_p086+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-5.0,60,120,1.0,1.0,1.0,1.0,0.0,0.058333333333333334
v1_p021+v1_p044+v1_p018,gearbox_zone_right+gearbox_zone_left+bearing_zone_left,v1_adaptive_candidate,-25.0,60,120,0.2,0.0,0.05,0.0,0.0012500000000000002,0.05
v1_p021+v1_p044+v1_p018,gearbox_zone_right+gearbox_zone_left+bearing_zone_left,v1_adaptive_candidate,-20.0,60,120,0.7333333333333333,0.0,0.22916666666666669,0.06666666666666667,0.05977430555555556,0.008333333333333333
v1_p021+v1_p044+v1_p018,gearbox_zone_right+gearbox_zone_left+bearing_zone_left,v1_adaptive_candidate,-15.0,60,120,1.0,0.016666666666666666,0.5583333333333333,0.36666666666666664,0.06701388888888889,0.03333333333333333
v1_p021+v1_p044+v1_p018,gearbox_zone_right+gearbox_zone_left+bearing_zone_left,v1_adaptive_candidate,-12.0,60,120,1.0,0.5333333333333333,0.8666666666666667,0.75,0.013749999999999998,0.008333333333333333
v1_p021+v1_p044+v1_p018,gearbox_zone_right+gearbox_zone_left+bearing_zone_left,v1_adaptive_candidate,-10.0,60,120,1.0,0.9333333333333333,0.9833333333333334,0.9666666666666667,0.00027777777777777767,0.03333333333333333
v1_p021+v1_p044+v1_p018,gearbox_zone_right+gearbox_zone_left+bearing_zone_left,v1_adaptive_candidate,-5.0,60,120,1.0,1.0,1.0,1.0,0.0,0.05
v1_p026+v1_p021+v1_p078,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_candidate,-25.0,60,120,0.18333333333333332,0.0,0.04583333333333334,0.016666666666666666,0.0011631944444444446,0.03333333333333333
v1_p026+v1_p021+v1_p078,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_candidate,-20.0,60,120,0.7166666666666667,0.0,0.26249999999999996,0.06666666666666667,0.025607638888888888,0.06666666666666667
v1_p026+v1_p021+v1_p078,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_candidate,-15.0,60,120,1.0,0.08333333333333333,0.65,0.36666666666666664,0.08250000000000002,0.06666666666666667
v1_p026+v1_p021+v1_p078,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_candidate,-12.0,60,120,1.0,0.55,0.875,0.6666666666666666,0.019097222222222224,0.058333333333333334
v1_p026+v1_p021+v1_p078,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_candidate,-10.0,60,120,1.0,0.9,0.9708333333333333,0.9333333333333333,0.0008854166666666668,0.016666666666666666
v1_p026+v1_p021+v1_p078,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_candidate,-5.0,60,120,1.0,1.0,1.0,1.0,0.0,0.058333333333333334
v1_p026+v1_p039+v1_p078,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_candidate,-25.0,60,120,0.2,0.0,0.05,0.016666666666666666,0.0006944444444444444,0.09166666666666666
v1_p026+v1_p039+v1_p078,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_candidate,-20.0,60,120,0.7333333333333333,0.0,0.2583333333333333,0.03333333333333333,0.02701388888888889,0.06666666666666667
v1_p026+v1_p039+v1_p078,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_candidate,-15.0,60,120,1.0,0.1,0.6291666666666667,0.3,0.07532986111111112,0.06666666666666667
v1_p026+v1_p039+v1_p078,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_candidate,-12.0,60,120,1.0,0.5,0.8374999999999999,0.5333333333333333,0.03644097222222222,0.075
v1_p026+v1_p039+v1_p078,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_candidate,-10.0,60,120,1.0,0.8333333333333334,0.9583333333333334,0.8333333333333334,0.005208333333333331,0.041666666666666664
v1_p026+v1_p039+v1_p078,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_candidate,-5.0,60,120,1.0,1.0,1.0,1.0,0.0,0.058333333333333334
v1_p026+v1_p081+v1_p078,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_candidate,-25.0,60,120,0.06666666666666667,0.0,0.016666666666666666,0.0,0.0001388888888888889,0.058333333333333334
v1_p026+v1_p081+v1_p078,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_candidate,-20.0,60,120,0.5666666666666667,0.0,0.17083333333333334,0.016666666666666666,0.030885416666666665,0.03333333333333333
v1_p026+v1_p081+v1_p078,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_candidate,-15.0,60,120,1.0,0.08333333333333333,0.6291666666666667,0.23333333333333334,0.08894097222222222,0.03333333333333333
v1_p026+v1_p081+v1_p078,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_candidate,-12.0,60,120,1.0,0.5166666666666667,0.8541666666666667,0.6166666666666667,0.025468749999999995,0.016666666666666666
v1_p026+v1_p081+v1_p078,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_candidate,-10.0,60,120,1.0,0.8333333333333334,0.9583333333333334,0.85,0.003958333333333334,0.016666666666666666
v1_p026+v1_p081+v1_p078,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_candidate,-5.0,60,120,1.0,1.0,1.0,1.0,0.0,0.025
v1_p039+v1_p044+v1_p018,gearbox_zone_right+gearbox_zone_left+bearing_zone_left,v1_adaptive_candidate,-25.0,60,120,0.1,0.0,0.024999999999999998,0.0,0.0011805555555555556,0.03333333333333333
v1_p039+v1_p044+v1_p018,gearbox_zone_right+gearbox_zone_left+bearing_zone_left,v1_adaptive_candidate,-20.0,60,120,0.5,0.0,0.15,0.06666666666666667,0.009166666666666667,0.03333333333333333
