layout,regions,benchmark,snr_db,replicate,trial_type,threshold,detected_any,detected_all,source_detection_rate,false_alarm,fault_1_detected,fault_2_detected,fault_3_detected,fault_4_detected,fault_1_statistic,fault_2_statistic,fault_3_statistic,fault_4_statistic
v1_p086+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-25.0,0,signal,5.80547120364054,False,False,0.0,False,False,False,False,False,3.43195960725088,1.1510018021753015,3.3942716999504405,1.8460774256921206
v1_p086+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-25.0,1,signal,5.80547120364054,False,False,0.0,False,False,False,False,False,0.16235719254700964,2.862334217281925,1.162776045386314,4.132966021423547
v1_p086+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-25.0,2,signal,5.80547120364054,False,False,0.0,False,False,False,False,False,0.7403621462253972,3.626569748312881,2.9008633751331487,5.0987319914744536
v1_p086+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-25.0,3,signal,5.80547120364054,False,False,0.0,False,False,False,False,False,3.6320828519690087,1.8362888052798279,3.1066332686652656,0.5500971520636037
v1_p086+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-25.0,4,signal,5.80547120364054,False,False,0.0,False,False,False,False,False,0.8865139851977577,1.1262953620128477,2.648829058293706,0.6606181893990085
v1_p086+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-25.0,5,signal,5.80547120364054,False,False,0.0,False,False,False,False,False,0.5141831413948071,1.2579323805455895,2.7365986975638874,0.7021868716741734
v1_p086+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-25.0,6,signal,5.80547120364054,True,False,0.25,False,False,True,False,False,4.494363126124957,6.110721624653743,1.4079756554431522,2.7865775921641993
v1_p086+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-25.0,7,signal,5.80547120364054,False,False,0.0,False,False,False,False,False,3.3653601590664235,2.1897846327544626,3.14160327189336,4.234094137292505
v1_p086+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-25.0,8,signal,5.80547120364054,False,False,0.0,False,False,False,False,False,0.9212393154359746,3.593922369355605,0.3168737255816888,2.6083378959727614
v1_p086+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-25.0,9,signal,5.80547120364054,False,False,0.0,False,False,False,False,False,1.2978678071339504,2.5857305680760816,1.3695401970129577,3.768553662046096
v1_p086+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-25.0,10,signal,5.80547120364054,False,False,0.0,False,False,False,False,False,1.1746146499097143,1.4764247362013765,5.2476131503394825,2.2954299836141536
v1_p086+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-25.0,11,signal,5.80547120364054,True,False,0.25,False,False,False,False,True,5.575457484086986,2.733021995783415,1.5325119753907699,6.93242705261588
v1_p086+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-25.0,12,signal,5.80547120364054,False,False,0.0,False,False,False,False,False,0.8573860179431311,1.1236922815444659,4.789196285134098,3.9650924094280042
v1_p086+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-25.0,13,signal,5.80547120364054,False,False,0.0,False,False,False,False,False,1.0689447467733162,2.471186662583457,0.2306237439763087,0.9679627265001536
v1_p086+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-25.0,14,signal,5.80547120364054,False,False,0.0,False,False,False,False,False,3.602613178710168,3.537455613588803,1.896749426393638,2.849471923778143
v1_p086+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-25.0,15,signal,5.80547120364054,False,False,0.0,False,False,False,False,False,1.4691744521141714,2.1248922780930206,1.096363654326434,3.647015396434017
v1_p086+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-25.0,16,signal,5.80547120364054,False,False,0.0,False,False,False,False,False,2.072680493041696,2.4568699017151223,2.1599755808994385,1.3320821641891478
v1_p086+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-25.0,17,signal,5.80547120364054,False,False,0.0,False,False,False,False,False,2.132667079265529,5.265904397068028,4.219329447411569,2.8339940668889576
v1_p086+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-25.0,18,signal,5.80547120364054,False,False,0.0,False,False,False,False,False,2.2287922143214733,2.667610080864093,2.8466591589277868,4.557173724118374
v1_p086+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-25.0,19,signal,5.80547120364054,False,False,0.0,False,False,False,False,False,5.670612265855362,4.7779808674144,3.3024216055326905,2.1544570805350367
v1_p086+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-25.0,20,signal,5.80547120364054,False,False,0.0,False,False,False,False,False,3.389645120815304,2.559616095506173,1.3005223288435,3.3237377603992186
v1_p086+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-25.0,21,signal,5.80547120364054,True,False,0.25,False,False,False,False,True,2.0913731582605197,2.350431784611086,1.6140978173762974,6.768996684170011
v1_p086+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-25.0,22,signal,5.80547120364054,False,False,0.0,False,False,False,False,False,3.1443567816820326,2.877453392849485,2.756300881244152,2.410531370883513
v1_p086+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-25.0,23,signal,5.80547120364054,False,False,0.0,False,False,False,False,False,1.650560338358466,0.7952504933037509,1.8169023376384688,4.343621988667467
v1_p086+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-25.0,24,signal,5.80547120364054,False,False,0.0,False,False,False,False,False,0.5447577467049141,2.468757475716905,3.2054843264980004,2.042816310003281
v1_p086+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-25.0,25,signal,5.80547120364054,False,False,0.0,False,False,False,False,False,2.5079680943458698,2.5119608370192834,0.7395188879324934,2.9214488060461896
