layout,regions,benchmark,snr_db,signal_runs,false_alarm_runs,pd_any,pd_all,pd_source_mean,pd_source_min,pd_source_variance,p_fa
v1_p075+v1_p074+v1_p086,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_best,-25.0,100,200,0.36,0.0,0.1,0.06,0.0048000000000000004,0.07
v1_p075+v1_p074+v1_p086,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_best,-20.0,100,200,0.93,0.0,0.3175,0.04,0.11386875000000002,0.11
v1_p075+v1_p074+v1_p086,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_best,-15.0,100,200,1.0,0.13,0.6725,0.35,0.07281875,0.055
v1_p075+v1_p074+v1_p086,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_best,-12.0,100,200,1.0,0.55,0.88,0.72,0.015200000000000002,0.145
v1_p075+v1_p074+v1_p086,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_best,-10.0,100,200,1.0,0.91,0.9775,0.92,0.0011187499999999987,0.06
v1_p075+v1_p074+v1_p086,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_best,-5.0,100,200,1.0,1.0,1.0,1.0,0.0,0.1
v1_p074+v1_p021+v1_p068,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,-25.0,100,200,0.18,0.0,0.052500000000000005,0.02,0.00056875,0.065
v1_p074+v1_p021+v1_p068,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,-20.0,100,200,0.76,0.0,0.23,0.07,0.05635000000000001,0.045
v1_p074+v1_p021+v1_p068,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,-15.0,100,200,1.0,0.07,0.575,0.23,0.086225,0.045
v1_p074+v1_p021+v1_p068,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,-12.0,100,200,1.0,0.3,0.7949999999999999,0.47,0.043225,0.03
v1_p074+v1_p021+v1_p068,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,-10.0,100,200,1.0,0.82,0.9525,0.82,0.0058687500000000024,0.03
v1_p074+v1_p021+v1_p068,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,-5.0,100,200,1.0,1.0,1.0,1.0,0.0,0.06
v1_p074+v1_p086+v1_p033,gearbox_zone_left+gearbox_zone_left+gearbox_zone_right,v1_adaptive_candidate,-25.0,100,200,0.28,0.0,0.07250000000000001,0.03,0.00221875,0.055
v1_p074+v1_p086+v1_p033,gearbox_zone_left+gearbox_zone_left+gearbox_zone_right,v1_adaptive_candidate,-20.0,100,200,0.8,0.0,0.2875,0.06,0.05806875000000001,0.04
v1_p074+v1_p086+v1_p033,gearbox_zone_left+gearbox_zone_left+gearbox_zone_right,v1_adaptive_candidate,-15.0,100,200,1.0,0.05,0.5725,0.24,0.10956874999999999,0.055
v1_p074+v1_p086+v1_p033,gearbox_zone_left+gearbox_zone_left+gearbox_zone_right,v1_adaptive_candidate,-12.0,100,200,1.0,0.38,0.8049999999999999,0.57,0.038825000000000005,0.04
v1_p074+v1_p086+v1_p033,gearbox_zone_left+gearbox_zone_left+gearbox_zone_right,v1_adaptive_candidate,-10.0,100,200,1.0,0.86,0.9625,0.91,0.00151875,0.055
v1_p074+v1_p086+v1_p033,gearbox_zone_left+gearbox_zone_left+gearbox_zone_right,v1_adaptive_candidate,-5.0,100,200,1.0,1.0,1.0,1.0,0.0,0.07
v1_p074+v1_p086+v1_p099,gearbox_zone_left+gearbox_zone_left+gearbox_zone_right,v1_adaptive_candidate,-25.0,100,200,0.12,0.0,0.03,0.01,0.00025,0.035
