rank,layout,regions,benchmark,objective,robust_min_lambda,mean_lambda,detection_min_lambda,detection_mean_lambda,trace_info,logdet_info,min_eigen_info,redundancy
1,v1_p075+v1_p074+v1_p086,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_best,0.0009401443751002873,6.651861031638523e-05,0.0007355967577608918,7.13439856597479e-05,0.00020679375712968093,6.568888019908582,-0.3121383435599713,0.39608456344471105,0.3381767431928842
2,v1_p075+v1_p026+v1_p038,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_candidate,0.0008932559172136329,5.3121033052697666e-05,0.0006423243635141519,5.658339404112261e-05,0.0001884144720161258,4.772788215247832,-0.9336505979522014,0.38291891475418643,0.3059520418577788
3,v1_p105+v1_p074+v1_p068,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_candidate,0.000858063786363731,6.18201706468663e-05,0.0007263841323440838,6.473902493174846e-05,0.00021675861331061638,5.879635595647231,-0.22518746237209986,0.35508501807158205,0.22543236386085408
4,v1_p086+v1_p026+v1_p021,gearbox_zone_left+gearbox_zone_left+gearbox_zone_right,v1_adaptive_candidate,0.000853385854876675,5.100714745954742e-05,0.0006834649670544622,5.397337047088027e-05,0.0002017185105684001,6.641445331326722,-0.33437925197303026,0.36126688019535214,0.27478578653274804
5,v1_p074+v1_p086+v1_p033,gearbox_zone_left+gearbox_zone_left+gearbox_zone_right,v1_adaptive_candidate,0.0008327069794673038,6.644082980948657e-05,0.0006501774951905684,7.169158036881085e-05,0.00018615775104987388,6.322833493828645,-0.659846428006621,0.3465534610895122,0.3662041297117648
6,v1_p074+v1_p021+v1_p068,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,0.0008198804888806811,6.347580362573766e-05,0.0006685723250147131,6.649667497580989e-05,0.00019450227452193564,5.662517663403802,-0.326087950556458,0.3395957166068317,0.2271445415256588
7,v1_p074+v1_p086+v1_p099,gearbox_zone_left+gearbox_zone_left+gearbox_zone_right,v1_adaptive_candidate,0.0008109298789076727,6.721423345851147e-05,0.0006738681064914601,7.048559696911107e-05,0.00018573474995266172,6.339336341301824,-0.39347696917175423,0.3349871785579619,0.23205900575923447
8,v1_p117+v1_p074+v1_p009,gearbox_zone_right+gearbox_zone_left+gearbox_zone_right,v1_adaptive_candidate,0.000806122495589074,5.8437616017402964e-05,0.000991939449399341,6.0413654986013003e-05,0.0002806558435795654,4.86669391777146,-0.5304049051827147,0.3179031961424871,0.16354241181629656
9,v1_p074+v1_p117+v1_p119,gearbox_zone_left+gearbox_zone_right+output_shaft_zone,v1_v0_region_baseline,0.0004713314963074566,5.2264662688071105e-05,0.0009014238145514358,5.560007986586073e-05,0.0002561989694394571,4.841591332219346,-1.4218181927271587,0.1589941231965132,0.29994715707572417
10,v1_p002+v1_p075+v1_p093,gearbox_zone_left+gearbox_zone_right+gearbox_zone_right,v1_random_three,0.00032041703194613766,4.1716599681304395e-05,0.0007362373142840946,4.3683896585147076e-05,0.00022565859829237446,4.2268396531234425,-2.151372024352308,0.09460748800877788,0.22517415542453958
11,v1_p015+v1_p105+v1_p117,gearbox_zone_right+gearbox_zone_right+gearbox_zone_right,v1_max_response_three,0.00023147953873501337,8.665155592646912e-06,0.0014585542359924176,9.666466225341613e-06,0.0004843425030580993,4.578729542732542,-4.8355124225617985,0.01746895797544377,0.517930032212633
12,v1_p009+v1_p035+v1_p038,gearbox_zone_right+output_shaft_zone+gearbox_zone_left,v1_spaced_three,0.00012794374952714618,3.0102815408424278e-05,0.0005383954591743076,3.1277400490217967e-05,0.00016768308640197703,2.9539504777017616,-4.310786621695788,0.015625618508424775,0.18776897430479256
