layout,regions,benchmark,snr_db,signal_runs,false_alarm_runs,pd_any,pd_all,pd_source_mean,pd_source_min,pd_source_variance,p_fa
v1_p105+v1_p074+v1_p098,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_best,-25.0,100,200,0.3,0.0,0.0875,0.04,0.004268750000000001,0.06
v1_p105+v1_p074+v1_p098,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_best,-20.0,100,200,0.88,0.0,0.3125,0.1,0.08351875000000002,0.07
v1_p105+v1_p074+v1_p098,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_best,-15.0,100,200,1.0,0.16,0.6425,0.36,0.05621875,0.055
v1_p105+v1_p074+v1_p098,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_best,-12.0,100,200,1.0,0.66,0.9099999999999999,0.74,0.0101,0.075
v1_p105+v1_p074+v1_p098,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_best,-10.0,100,200,1.0,1.0,1.0,1.0,0.0,0.085
v1_p105+v1_p074+v1_p098,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_best,-5.0,100,200,1.0,1.0,1.0,1.0,0.0,0.06
v1_p074+v1_p021+v1_p014,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,-25.0,100,200,0.22,0.0,0.05500000000000001,0.0,0.004625000000000001,0.025
v1_p074+v1_p021+v1_p014,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,-20.0,100,200,0.61,0.0,0.195,0.07,0.035425000000000005,0.035
v1_p074+v1_p021+v1_p014,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,-15.0,100,200,1.0,0.03,0.53,0.24,0.0853,0.09
v1_p074+v1_p021+v1_p014,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,-12.0,100,200,1.0,0.49,0.855,0.69,0.014225000000000005,0.06
v1_p074+v1_p021+v1_p014,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,-10.0,100,200,1.0,0.86,0.9650000000000001,0.88,0.002424999999999999,0.045
v1_p074+v1_p021+v1_p014,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,-5.0,100,200,1.0,1.0,1.0,1.0,0.0,0.035
v1_p074+v1_p021+v1_p062,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,-25.0,100,200,0.29,0.0,0.08249999999999999,0.01,0.0060687499999999995,0.06
v1_p074+v1_p021+v1_p062,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,-20.0,100,200,0.86,0.0,0.28,0.05,0.08545000000000001,0.05
v1_p074+v1_p021+v1_p062,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,-15.0,100,200,1.0,0.1,0.62,0.34,0.06975,0.06
v1_p074+v1_p021+v1_p062,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,-12.0,100,200,1.0,0.57,0.8775,0.66,0.01821875,0.075
v1_p074+v1_p021+v1_p062,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,-10.0,100,200,1.0,0.9,0.975,0.91,0.001424999999999999,0.055
v1_p074+v1_p021+v1_p062,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,-5.0,100,200,1.0,1.0,1.0,1.0,0.0,0.06
v1_p074+v1_p021+v1_p098,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,-25.0,100,200,0.21,0.0,0.0525,0.01,0.0032187500000000003,0.025
v1_p074+v1_p021+v1_p098,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,-20.0,100,200,0.8,0.01,0.2725,0.08,0.054818750000000006,0.055
v1_p074+v1_p021+v1_p098,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,-15.0,100,200,1.0,0.03,0.5475,0.26,0.08186874999999999,0.03
v1_p074+v1_p021+v1_p098,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,-12.0,100,200,1.0,0.5,0.85,0.63,0.019350000000000003,0.045
v1_p074+v1_p021+v1_p098,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,-10.0,100,200,1.0,0.93,0.9824999999999999,0.96,0.0002187500000000004,0.04
v1_p074+v1_p021+v1_p098,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,-5.0,100,200,1.0,1.0,1.0,1.0,0.0,0.07
v1_p105+v1_p074+v1_p014,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_candidate,-25.0,100,200,0.31,0.0,0.08499999999999999,0.01,0.0060750000000000005,0.045
v1_p105+v1_p074+v1_p014,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_candidate,-20.0,100,200,0.89,0.0,0.27749999999999997,0.05,0.10611874999999998,0.035
v1_p105+v1_p074+v1_p014,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_candidate,-15.0,100,200,1.0,0.07,0.5475,0.26,0.07536875,0.025
v1_p105+v1_p074+v1_p014,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_candidate,-12.0,100,200,1.0,0.49,0.8375,0.64,0.017118750000000002,0.015
v1_p105+v1_p074+v1_p014,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_candidate,-10.0,100,200,1.0,0.91,0.9775,0.95,0.000518750000000001,0.03
v1_p105+v1_p074+v1_p014,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_candidate,-5.0,100,200,1.0,1.0,1.0,1.0,0.0,0.03
