layout,regions,benchmark,snr_db,signal_runs,false_alarm_runs,pd_any,pd_all,pd_source_mean,pd_source_min,pd_source_variance,p_fa
v1_p105+v1_p074+v1_p140,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_best,-25.0,800,1600,0.265,0.0,0.0703125,0.0225,0.00662216796875,0.043125
v1_p105+v1_p074+v1_p140,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_best,-20.0,800,1600,0.92875,0.00125,0.3146875,0.105,0.11002529296875001,0.02875
v1_p105+v1_p074+v1_p140,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_best,-15.0,800,1600,1.0,0.2075,0.690625,0.465,0.037644140624999996,0.04375
v1_p105+v1_p074+v1_p140,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_best,-12.0,800,1600,1.0,0.80125,0.94875,0.86,0.0028515625000000012,0.03375
v1_p105+v1_p074+v1_p140,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_best,-10.0,800,1600,1.0,0.9875,0.996875,0.98875,2.2265624999999953e-05,0.03875
v1_p105+v1_p074+v1_p140,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_best,-5.0,800,1600,1.0,1.0,1.0,1.0,0.0,0.04375
v1_p074+v1_p021+v1_p140,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,-25.0,800,1600,0.23875,0.0,0.0690625,0.02625,0.00296201171875,0.04375
v1_p074+v1_p021+v1_p140,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,-20.0,800,1600,0.86375,0.00125,0.29,0.085,0.08698515625,0.051875
v1_p074+v1_p021+v1_p140,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,-15.0,800,1600,1.0,0.16,0.6709375,0.49375,0.04120576171875,0.040625
v1_p074+v1_p021+v1_p140,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,-12.0,800,1600,1.0,0.805,0.948125,0.88125,0.0018894531250000012,0.051875
v1_p074+v1_p021+v1_p140,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,-10.0,800,1600,1.0,0.985,0.9962500000000001,0.98875,1.953125e-05,0.048125
v1_p074+v1_p021+v1_p140,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,-5.0,800,1600,1.0,1.0,1.0,1.0,0.0,0.04875
