rank,layout,regions,benchmark,objective,robust_min_lambda,mean_lambda,detection_min_lambda,detection_mean_lambda,trace_info,logdet_info,min_eigen_info,redundancy
1,v1_p105+v1_p074+v1_p140,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_best,0.00010037285181029918,8.060171136425037e-05,0.0006794821831124209,8.312777912263343e-05,0.00019904075190718316,4.992306263111248,-1.0078570205841535,0.15466781506610944,0.15193884553661052
2,v1_p074+v1_p021+v1_p140,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,9.972005331461854e-05,8.235324396307056e-05,0.0006216703757830501,8.562722344271489e-05,0.00017665199296183282,4.775188330867819,-0.7259929468087866,0.26950392801629186,0.19117631916645336
3,v1_p141+v1_p074+v1_p014,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_candidate,9.42509028277602e-05,7.294151642774178e-05,0.0008171584919423843,7.639338798702562e-05,0.00021958321741744012,5.068601140802894,-1.4019552278803824,0.10813012456923714,0.22592737737133028
4,v1_p141+v1_p074+v1_p062,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_candidate,9.30111382585063e-05,7.1685043760429e-05,0.0008568424515336586,7.601645785243153e-05,0.0002232260796500866,6.003082404977695,-0.9254982864624952,0.09507374672978045,0.28489975818203556
5,v1_p074+v1_p140+v1_p119,gearbox_zone_left+gearbox_zone_left+output_shaft_zone,v1_adaptive_candidate,9.30098495567448e-05,7.882566154261099e-05,0.00044707902008912456,8.15619126860078e-05,0.00014385728859286586,4.5123090519783196,-1.8131347794430683,0.10863870064118183,0.16774074155976862
6,v1_p141+v1_p074+v1_p002,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_candidate,9.28542838018508e-05,7.110353032351426e-05,0.000866193007895954,7.532581231582286e-05,0.00022717312179894607,6.116761318519608,-0.8178580836596587,0.11420480273078118,0.28026793621591417
7,v1_p141+v1_p074+v1_p140,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_candidate,9.284595433198015e-05,7.155816572533539e-05,0.0008266228730054317,7.405403933075784e-05,0.0002149108813024818,5.22213730592884,-0.5764046729318493,0.22665659413191347,0.16851704700906267
8,v1_p141+v1_p074+v1_p026,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_candidate,9.279436549169262e-05,7.051243592023409e-05,0.0008718964712747547,7.405174877476196e-05,0.00022936162139712644,6.19978712408187,-0.4733034757989139,0.1843799592857345,0.23897564291784293
9,v1_p141+v1_p074+v1_p098,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_candidate,9.234890809120487e-05,7.173073070104434e-05,0.0008420401760421165,7.68807828554608e-05,0.0002195558726022106,5.549772794012508,-1.0374970572737046,0.09891637453818287,0.33493754636309975
10,v1_p159+v1_p074+v1_p026,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_candidate,9.190526691350227e-05,7.049037905728798e-05,0.0008489644378660041,7.46103527682463e-05,0.00022322408985205486,6.142388692495425,-0.8677466487428865,0.14268466281289235,0.2760993319355906
11,v1_p074+v1_p119+v1_p141,gearbox_zone_left+output_shaft_zone+gearbox_zone_right,v1_v0_region_baseline,8.006290021149359e-05,5.4189182605757296e-05,0.0009401966622959234,5.57880119457032e-05,0.00025945150644435223,4.900619336734341,-0.4904580093867251,0.23670699288810765,0.14329506323885477
12,v1_p009+v1_p119+v1_p140,gearbox_zone_right+output_shaft_zone+gearbox_zone_left,v1_spaced_three,6.620798018293427e-05,4.837629280176794e-05,0.0006002884372670371,4.972444659110259e-05,0.00017989984623488365,3.3917210128284694,-1.9375677189954978,0.1137565542370828,0.13556247296434334
13,v1_p117+v1_p141+v1_p159,gearbox_zone_right+gearbox_zone_right+gearbox_zone_right,v1_max_response_three,5.35217375681361e-05,7.397725578809298e-06,0.0017002732693053068,8.680369474155958e-06,0.0005662919154801817,5.058158783831974,-6.608728342776294,0.0054647515048840785,0.7388187214642604
14,v1_p015+v1_p021+v1_p111,gearbox_zone_right+gearbox_zone_right+gearbox_zone_right,v1_random_three,4.005711713817909e-05,7.371620204697585e-06,0.001063717521686497,8.052944225722785e-06,0.0003616155555850124,3.467564025160374,-3.814962559131476,0.04228500702527948,0.42302790254582207
