layout,regions,benchmark,snr_db,signal_runs,false_alarm_runs,pd_any,pd_all,pd_source_mean,pd_source_min,pd_source_variance,p_fa
v1_p105+v1_p074+v1_p098,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_best,-25.0,100,300,0.18,0.0,0.0475,0.01,0.0028687500000000006,0.023333333333333334
v1_p105+v1_p074+v1_p098,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_best,-20.0,100,300,0.74,0.0,0.21999999999999997,0.06,0.048549999999999996,0.04666666666666667
v1_p105+v1_p074+v1_p098,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_best,-15.0,100,300,1.0,0.03,0.5125,0.18,0.09066874999999999,0.04
v1_p105+v1_p074+v1_p098,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_best,-12.0,100,300,1.0,0.38,0.8175,0.58,0.023118750000000004,0.01
v1_p105+v1_p074+v1_p098,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_best,-10.0,100,300,1.0,0.78,0.9375,0.8,0.0064187499999999965,0.02666666666666667
v1_p105+v1_p074+v1_p098,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_best,-5.0,100,300,1.0,1.0,1.0,1.0,0.0,0.03
v1_p074+v1_p021+v1_p014,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,-25.0,100,300,0.19,0.0,0.055,0.02,0.0019250000000000005,0.03333333333333333
v1_p074+v1_p021+v1_p014,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,-20.0,100,300,0.58,0.0,0.16499999999999998,0.04,0.03132499999999999,0.06
v1_p074+v1_p021+v1_p014,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,-15.0,100,300,1.0,0.05,0.5049999999999999,0.3,0.079225,0.03333333333333333
v1_p074+v1_p021+v1_p014,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,-12.0,100,300,1.0,0.29,0.755,0.52,0.032874999999999995,0.043333333333333335
v1_p074+v1_p021+v1_p014,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,-10.0,100,300,1.0,0.69,0.92,0.81,0.004749999999999996,0.043333333333333335
v1_p074+v1_p021+v1_p014,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,-5.0,100,300,1.0,1.0,1.0,1.0,0.0,0.04666666666666667
v1_p074+v1_p021+v1_p062,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,-25.0,100,300,0.16,0.0,0.04,0.01,0.0027,0.04
v1_p074+v1_p021+v1_p062,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,-20.0,100,300,0.68,0.0,0.215,0.04,0.046024999999999996,0.03
v1_p074+v1_p021+v1_p062,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,-15.0,100,300,1.0,0.08,0.5725,0.3,0.07386875,0.06666666666666667
v1_p074+v1_p021+v1_p062,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,-12.0,100,300,1.0,0.43,0.8300000000000001,0.57,0.027950000000000003,0.043333333333333335
v1_p074+v1_p021+v1_p062,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,-10.0,100,300,1.0,0.77,0.9375,0.83,0.004918750000000002,0.04666666666666667
v1_p074+v1_p021+v1_p062,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,-5.0,100,300,1.0,1.0,1.0,1.0,0.0,0.03
v1_p074+v1_p021+v1_p098,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,-25.0,100,300,0.19,0.0,0.05,0.0,0.0028500000000000005,0.03666666666666667
v1_p074+v1_p021+v1_p098,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,-20.0,100,300,0.7,0.0,0.20750000000000002,0.03,0.05571875,0.04
v1_p074+v1_p021+v1_p098,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,-15.0,100,300,1.0,0.06,0.5025,0.22,0.08971875,0.03333333333333333
v1_p074+v1_p021+v1_p098,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,-12.0,100,300,1.0,0.31,0.7775,0.6,0.022618750000000003,0.043333333333333335
v1_p074+v1_p021+v1_p098,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,-10.0,100,300,1.0,0.82,0.95,0.88,0.002699999999999999,0.02666666666666667
v1_p074+v1_p021+v1_p098,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,-5.0,100,300,1.0,1.0,1.0,1.0,0.0,0.04
v1_p105+v1_p074+v1_p014,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_candidate,-25.0,100,300,0.27,0.0,0.07,0.02,0.0029000000000000002,0.056666666666666664
v1_p105+v1_p074+v1_p014,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_candidate,-20.0,100,300,0.85,0.0,0.2625,0.09,0.07306874999999999,0.05333333333333334
v1_p105+v1_p074+v1_p014,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_candidate,-15.0,100,300,1.0,0.02,0.55,0.25,0.07605,0.056666666666666664
