layout,regions,benchmark,snr_db,replicate,trial_type,threshold,detected_any,detected_all,source_detection_rate,false_alarm,fault_1_detected,fault_2_detected,fault_3_detected,fault_4_detected,fault_1_statistic,fault_2_statistic,fault_3_statistic,fault_4_statistic
v1_p026+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-25.0,0,signal,5.937455202449959,False,False,0.0,False,False,False,False,False,0.5695912524797982,4.840969340971764,0.2533861532873506,1.5117196804439155
v1_p026+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-25.0,1,signal,5.937455202449959,False,False,0.0,False,False,False,False,False,1.4119903150858661,2.6305302254265683,1.5132745080683898,1.5351508349389935
v1_p026+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-25.0,2,signal,5.937455202449959,False,False,0.0,False,False,False,False,False,1.6326183485861119,1.1360510462400903,1.1508908924215637,4.493130037831103
v1_p026+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-25.0,3,signal,5.937455202449959,False,False,0.0,False,False,False,False,False,3.407372423041627,0.6943286673721196,0.7651981575384444,4.289464927988772
v1_p026+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-25.0,4,signal,5.937455202449959,False,False,0.0,False,False,False,False,False,1.382912711704685,2.6150942854577415,0.5187697997029981,1.3282095826084015
v1_p026+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-25.0,0,noise,5.937455202449959,False,False,0.0,False,False,False,False,False,1.8346203362681168,5.7373556408911135,1.0776086871374944,0.6608472099552948
v1_p026+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-25.0,1,noise,5.937455202449959,False,False,0.0,False,False,False,False,False,2.8157960169655745,0.7405898535650924,3.621608461068088,1.143516168828898
v1_p026+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-25.0,2,noise,5.937455202449959,False,False,0.0,False,False,False,False,False,2.600828575366423,2.878874253922641,0.31530710111432314,1.6050295279995743
v1_p026+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-25.0,3,noise,5.937455202449959,False,False,0.0,False,False,False,False,False,1.3479215245454106,4.282409605273727,1.230535875679691,1.6783452574105222
v1_p026+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-25.0,4,noise,5.937455202449959,False,False,0.0,False,False,False,False,False,2.40269406329833,1.273274317617321,1.1521970354144844,3.2174414568006036
v1_p026+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-25.0,5,noise,5.937455202449959,False,False,0.0,False,False,False,False,False,1.4848244305560243,1.311527451240585,1.4784168790972965,1.5980572208511183
v1_p026+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-25.0,6,noise,5.937455202449959,False,False,0.0,False,False,False,False,False,1.5880229648799424,0.9929625408933809,1.1260012188727446,1.0162716277005746
v1_p026+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-25.0,7,noise,5.937455202449959,False,False,0.0,False,False,False,False,False,1.7566976218663521,1.6877931673456688,2.637586496752883,2.5956256363499612
v1_p026+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-25.0,8,noise,5.937455202449959,False,False,0.0,False,False,False,False,False,1.655772122136594,1.8097378377637927,3.8358688820664315,1.6419714125801943
v1_p026+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-25.0,9,noise,5.937455202449959,False,False,0.0,False,False,False,False,False,1.557963077274991,0.24910531522343476,2.3408688785297334,1.0919355135890312
v1_p026+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-20.0,0,signal,5.937455202449292,True,False,0.25,False,True,False,False,False,6.077059850024185,1.4687150393649222,0.7690555933151505,2.957787515387669
v1_p026+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-20.0,1,signal,5.937455202449292,True,False,0.25,False,False,True,False,False,1.1571741626215408,6.897590708411123,0.8802407027406698,5.34168713819455
v1_p026+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-20.0,2,signal,5.937455202449292,False,False,0.0,False,False,False,False,False,2.160584337351144,2.7931848539527304,0.2853855429044456,2.800015251289981
v1_p026+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-20.0,3,signal,5.937455202449292,True,False,0.25,False,False,False,False,True,4.802757815355157,2.6366818595787143,2.294644213027697,9.077601183839096
v1_p026+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-20.0,4,signal,5.937455202449292,False,False,0.0,False,False,False,False,False,1.4579807498305928,2.4616443128670644,2.128199558109806,3.8664192620061497
v1_p026+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-20.0,0,noise,5.937455202449292,False,False,0.0,False,False,False,False,False,2.6038939921963795,3.8035594584394183,1.1993838076841123,1.0764379209702901
v1_p026+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-20.0,1,noise,5.937455202449292,False,False,0.0,False,False,False,False,False,4.127495563523293,5.078792313175414,3.8733352183732563,1.8283375704211333
v1_p026+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-20.0,2,noise,5.937455202449292,False,False,0.0,False,False,False,False,False,3.112386979345504,1.611088459106809,1.1417475771643557,1.5371001576741723
v1_p026+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-20.0,3,noise,5.937455202449292,False,False,0.0,False,False,False,False,False,2.2353765304644866,2.2002507791176082,1.9260053223481872,5.26361393577641
v1_p026+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-20.0,4,noise,5.937455202449292,False,False,0.0,False,False,False,False,False,1.4419965067980347,1.8053230960329554,2.4373269225494862,2.5784665862359675
v1_p026+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-20.0,5,noise,5.937455202449292,False,False,0.0,False,False,False,False,False,1.8958525277206864,1.7846985627019847,1.0830535520482225,3.6264692755546957
v1_p026+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-20.0,6,noise,5.937455202449292,False,False,0.0,False,False,False,False,False,3.3438351122260785,3.9493419537033,1.4027926905522128,2.120754291798119
v1_p026+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-20.0,7,noise,5.937455202449292,False,False,0.0,False,False,False,False,False,1.15223648880178,1.9856290819598872,1.8770924744556803,1.2731299239563432
v1_p026+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-20.0,8,noise,5.937455202449292,False,False,0.0,False,False,False,False,False,1.4754967414737907,4.156100514172374,1.4624252486454279,3.9274206891486187
v1_p026+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-20.0,9,noise,5.937455202449292,False,False,0.0,False,False,False,False,False,2.0105020294679985,1.8314710064350246,3.3351377621464153,2.374470881290943
v1_p026+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-15.0,0,signal,5.93745520244843,False,False,0.0,False,False,False,False,False,4.608383276138252,4.459121976800909,2.6445746409807738,4.642103302270235
v1_p026+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-15.0,1,signal,5.93745520244843,True,False,0.25,False,False,False,False,True,2.9630715049454146,2.9357761317281366,3.1180729327539134,8.235989745847034
v1_p026+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-15.0,2,signal,5.93745520244843,True,False,0.25,False,False,False,False,True,5.5810336396843345,2.840918855564525,1.9276917366066442,12.067756945550961
v1_p026+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-15.0,3,signal,5.93745520244843,False,False,0.0,False,False,False,False,False,3.8835178102705377,4.6848909456796655,1.9331735565052137,4.0104899487858985
v1_p026+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-15.0,4,signal,5.93745520244843,False,False,0.0,False,False,False,False,False,5.572431321570451,1.9438538794239548,2.897818484970986,5.339584862440202
v1_p026+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-15.0,0,noise,5.93745520244843,False,False,0.0,True,False,False,False,False,2.3438027673121105,2.197906442471024,6.380900135946611,1.5136177576274774
v1_p026+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-15.0,1,noise,5.93745520244843,False,False,0.0,False,False,False,False,False,0.7311952629952744,0.9283586071665173,0.9540158391010689,0.8383713722793054
v1_p026+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-15.0,2,noise,5.93745520244843,False,False,0.0,False,False,False,False,False,2.177112983160889,2.5073628924126914,1.6693792502431184,3.1611688378816516
v1_p026+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-15.0,3,noise,5.93745520244843,False,False,0.0,False,False,False,False,False,2.4107782585109994,4.605371990138537,1.2928839329829338,0.6734462601657657
v1_p026+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-15.0,4,noise,5.93745520244843,False,False,0.0,False,False,False,False,False,3.322757006545669,2.4649007870585793,2.0166477333902018,0.7286514607615611
v1_p026+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-15.0,5,noise,5.93745520244843,False,False,0.0,False,False,False,False,False,2.9487425137333045,1.109070103002784,0.7602817243669915,1.0202685997047642
v1_p026+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-15.0,6,noise,5.93745520244843,False,False,0.0,True,False,False,False,False,3.37579323869823,1.8241940262567145,7.1879178764919045,3.034839673581362
v1_p026+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-15.0,7,noise,5.93745520244843,False,False,0.0,False,False,False,False,False,2.8815419509665006,1.32673341122937,1.7442016841668186,2.5481600780001994
v1_p026+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,-15.0,8,noise,5.93745520244843,False,False,0.0,False,False,False,False,False,2.6407133897609647,1.9228801653140517,1.395036594390606,1.8415796010566388
