profile,job_name,rank,layout,sensor_count,mean_pd_source,low_snr_pd_source,mean_pd_all,mean_p_fa,mean_balance_variance,score
pc1,baseline_long_seed20260619,1,bearing_left+gearbox_left+output_shaft,3,0.7226362179487179,0.5862379807692307,0.5025641025641026,0.0425,0.04225446290988658,0.6165089864937746
pc1,baseline_long_seed20260619,2,bearing_left+bearing_right+gearbox_left,3,0.7190705128205129,0.5821514423076923,0.48878205128205127,0.04446428571428571,0.03352165387697239,0.6133811144534552
pc1,baseline_long_seed20260619,3,bearing_left+gearbox_left+gearbox_right,3,0.7080929487179487,0.5647235576923078,0.497275641025641,0.04148809523809524,0.03568927591839251,0.607272120282562
pc1,baseline_long_seed20260619,4,bearing_left+gearbox_left+input_shaft,3,0.6975961538461539,0.5510817307692308,0.47532051282051285,0.0425,0.029877130331607493,0.5976575886803501
pc1,baseline_long_seed20260619,5,bearing_right+gearbox_left+gearbox_right,3,0.7045272435897436,0.559375,0.4844551282051282,0.043809523809523805,0.041043525409886594,0.5963864332657527
pc1,baseline_long_seed20260619,6,bearing_right+gearbox_left+input_shaft,3,0.7064503205128205,0.5630408653846154,0.4924679487179487,0.04827380952380952,0.02807433239336785,0.5958655352685175
pc1,baseline_long_seed20260619,7,bearing_right+gearbox_left+output_shaft,3,0.7221554487179488,0.5854567307692308,0.49503205128205124,0.05214285714285714,0.047557948486809665,0.5940907601888297
pc1,baseline_long_seed20260619,8,gearbox_left+input_shaft+output_shaft,3,0.7094551282051281,0.5668269230769231,0.4932692307692308,0.05357142857142857,0.0390685866617357,0.5827779777314032
pc1,baseline_long_seed20260619,9,bearing_left+gearbox_left,2,0.7034054487179487,0.5590144230769231,0.49903846153846154,0.056726190476190486,0.025961740708210057,0.5769721974114627
pc1,baseline_long_seed20260619,10,gearbox_left+gearbox_right+input_shaft,3,0.6883413461538462,0.5387019230769231,0.47868589743589746,0.04958333333333333,0.031184847679363904,0.5735822556474975
pc1,low_snr_dense_seed20260621,1,bearing_left+bearing_right+gearbox_left,3,0.34315476190476196,0.34315476190476196,0.048214285714285716,0.04637755102040816,0.050638578869047615,0.22508037042942178
pc1,low_snr_dense_seed20260621,2,bearing_left+gearbox_left+output_shaft,3,0.3502976190476191,0.3502976190476191,0.048095238095238094,0.04561224489795918,0.07280809771825396,0.22266908039257366
pc1,low_snr_dense_seed20260621,3,bearing_left+bearing_right+output_shaft,3,0.35464285714285715,0.35464285714285715,0.015595238095238094,0.04673469387755102,0.07826800595238095,0.22203946641156463
pc1,low_snr_dense_seed20260621,4,bearing_left+gearbox_left+gearbox_right,3,0.32229166666666664,0.32229166666666664,0.0419047619047619,0.04224489795918367,0.059380053323412695,0.20811184408659297
pc1,low_snr_dense_seed20260621,5,bearing_right+gearbox_left+output_shaft,3,0.3472619047619047,0.3472619047619047,0.03464285714285714,0.05209183673469387,0.0837366443452381,0.20120990911989797
pc1,low_snr_dense_seed20260621,6,bearing_left+gearbox_left+input_shaft,3,0.3274107142857143,0.3274107142857143,0.04880952380952381,0.0563265306122449,0.04221384548611111,0.19365073031816893
pc1,low_snr_dense_seed20260621,7,bearing_right+gearbox_left+input_shaft,3,0.31949404761904765,0.31949404761904765,0.03976190476190476,0.052142857142857144,0.04652153397817461,0.19194756634424603
pc1,low_snr_dense_seed20260621,8,gearbox_left+input_shaft+output_shaft,3,0.3225297619047619,0.3225297619047619,0.03511904761904762,0.04867346938775511,0.07161106770833335,0.18937728927508507
pc1,low_snr_dense_seed20260621,9,bearing_left+gearbox_right+output_shaft,3,0.3303273809523809,0.3303273809523809,0.019761904761904762,0.0501530612244898,0.08217764756944444,0.18893243471867915
pc1,low_snr_dense_seed20260621,10,bearing_right+gearbox_left+gearbox_right,3,0.32535714285714284,0.32535714285714284,0.03297619047619048,0.05168367346938775,0.07022619047619047,0.1868767006802721
pc1,strict_false_alarm_seed20260623,1,bearing_left+gearbox_left+output_shaft,3,0.6737215909090909,0.5171164772727272,0.4539772727272728,0.009583333333333334,0.0446662335356405,0.632221807474604
