rank,layout,sensor_count,mean_pd_source,low_snr_pd_source,mean_pd_all,mean_p_fa,mean_balance_variance,score
1,bearing_left+gearbox_left+output_shaft,3,0.7226362179487179,0.5862379807692307,0.5025641025641026,0.0425,0.04225446290988658,0.6165089864937746
2,bearing_left+bearing_right+gearbox_left,3,0.7190705128205129,0.5821514423076923,0.48878205128205127,0.04446428571428571,0.03352165387697239,0.6133811144534552
3,bearing_left+gearbox_left+gearbox_right,3,0.7080929487179487,0.5647235576923078,0.497275641025641,0.04148809523809524,0.03568927591839251,0.607272120282562
4,bearing_left+gearbox_left+input_shaft,3,0.6975961538461539,0.5510817307692308,0.47532051282051285,0.0425,0.029877130331607493,0.5976575886803501
5,bearing_right+gearbox_left+gearbox_right,3,0.7045272435897436,0.559375,0.4844551282051282,0.043809523809523805,0.041043525409886594,0.5963864332657527
6,bearing_right+gearbox_left+input_shaft,3,0.7064503205128205,0.5630408653846154,0.4924679487179487,0.04827380952380952,0.02807433239336785,0.5958655352685175
7,bearing_right+gearbox_left+output_shaft,3,0.7221554487179488,0.5854567307692308,0.49503205128205124,0.05214285714285714,0.047557948486809665,0.5940907601888297
8,gearbox_left+input_shaft+output_shaft,3,0.7094551282051281,0.5668269230769231,0.4932692307692308,0.05357142857142857,0.0390685866617357,0.5827779777314032
9,bearing_left+gearbox_left,2,0.7034054487179487,0.5590144230769231,0.49903846153846154,0.056726190476190486,0.025961740708210057,0.5769721974114627
10,gearbox_left+gearbox_right+input_shaft,3,0.6883413461538462,0.5387019230769231,0.47868589743589746,0.04958333333333333,0.031184847679363904,0.5735822556474975
11,bearing_right+gearbox_left,2,0.685536858974359,0.5319110576923076,0.46378205128205124,0.048690476190476194,0.034433487811267253,0.570939162687773
12,gearbox_left+gearbox_right+output_shaft,3,0.6835737179487179,0.5313701923076923,0.4399038461538461,0.04452380952380952,0.05484477086415187,0.5671037134690229
13,bearing_left+bearing_right+output_shaft,3,0.6740384615384616,0.5499999999999999,0.2841346153846154,0.03464285714285714,0.07943919887204141,0.5650331478167265
14,bearing_left+gearbox_right+output_shaft,3,0.6661458333333333,0.5290865384615384,0.3243589743589744,0.03625,0.07265612479967949,0.5573177709334937
15,gearbox_left+input_shaft,2,0.6637820512820513,0.5016826923076924,0.4528846153846154,0.05148809523809523,0.02175205328525641,0.5499298341632326
16,bearing_left+input_shaft+output_shaft,3,0.6612980769230768,0.5331730769230769,0.2778846153846154,0.04136904761904762,0.07602506317800789,0.5405474500959778
17,gearbox_left+output_shaft,2,0.6687500000000001,0.5108774038461539,0.41714743589743586,0.05136904761904762,0.052452712802021705,0.5397855483608939
18,bearing_left+bearing_right+gearbox_right,3,0.6522035256410256,0.5233173076923077,0.25016025641025635,0.03898809523809523,0.07707700590175051,0.5356888322139599
19,bearing_right+gearbox_right+output_shaft,3,0.6564503205128206,0.5100360576923078,0.33397435897435895,0.04285714285714285,0.07502362433740138,0.5332242226298342
20,bearing_right+input_shaft+output_shaft,3,0.6737580128205128,0.5442307692307693,0.31330128205128205,0.056845238095238095,0.06926810781866372,0.5254334827207048
21,gearbox_left+gearbox_right,2,0.6500400641025641,0.4857572115384615,0.4051282051282052,0.051190476190476196,0.047075118266148915,0.5241215525885372
22,bearing_left+output_shaft,2,0.6484775641025641,0.5135817307692307,0.26650641025641025,0.04773809523809524,0.08116411258012822,0.5124193173363095
23,gearbox_left,1,0.6036057692307693,0.42872596153846154,0.346474358974359,0.03666666666666667,0.0371391341531065,0.5117028688208827
24,gearbox_right+input_shaft+output_shaft,3,0.6412660256410257,0.4927283653846154,0.33221153846153845,0.049940476190476195,0.0625099775024655,0.5101300845088406
25,bearing_right+gearbox_right+input_shaft,3,0.633213141025641,0.493389423076923,0.26474358974358975,0.04535714285714285,0.06733031504252959,0.5088336977900905
26,bearing_left+gearbox_right+input_shaft,3,0.6201121794871794,0.48371394230769227,0.22435897435897437,0.037559523809523813,0.0732751633382643,0.5083555501989997
27,bearing_right+output_shaft,2,0.6385416666666667,0.4959735576923078,0.27948717948717944,0.053988095238095245,0.08037864429240632,0.49037615404427304
28,bearing_left+gearbox_right,2,0.6200721153846154,0.4840745192307693,0.23205128205128203,0.048749999999999995,0.07110115608049802,0.48702153734436643
29,bearing_left+bearing_right+input_shaft,3,0.6132211538461538,0.48942307692307685,0.1713141025641026,0.043750000000000004,0.08208044409516764,0.48468093179857
30,bearing_right+gearbox_right,2,0.6171073717948717,0.47265625,0.2625,0.053154761904761906,0.07009369799371303,0.47575099898849144
31,input_shaft+output_shaft,2,0.5980368589743589,0.4472355769230769,0.23990384615384616,0.04238095238095238,0.07644401234282544,0.47505294804104153
32,bearing_left+bearing_right,2,0.610576923076923,0.4868990384615385,0.17307692307692304,0.05785714285714286,0.08056411412105523,0.45458058030210974
33,gearbox_right+output_shaft,2,0.5755208333333334,0.4140625,0.2575320512820513,0.041845238095238095,0.08356918184479784,0.4500457662204583
34,gearbox_right+input_shaft,2,0.5607371794871795,0.40865384615384615,0.2219551282051282,0.05589285714285713,0.05728972124630177,0.4203066045783143
35,bearing_right+input_shaft,2,0.5735176282051282,0.4385216346153846,0.15224358974358976,0.06232142857142858,0.07505030163646449,0.41134962024403876
36,bearing_left,1,0.529286858974359,0.39549278846153846,0.08012820512820512,0.04,0.08544938247349605,0.406562167737611
37,bearing_left+input_shaft,2,0.5709535256410256,0.44188701923076923,0.12580128205128205,0.06613095238095239,0.08332766079573473,0.39702779048125353
38,bearing_right,1,0.5391426282051283,0.39405048076923077,0.1330128205128205,0.055952380952380955,0.07734564726639546,0.38856504266716857
39,output_shaft,1,0.5336538461538461,0.37493990384615383,0.18637820512820513,0.065,0.08741786858974358,0.35994491185897437
40,gearbox_right,1,0.42844551282051285,0.28557692307692306,0.1362179487179487,0.05428571428571429,0.06881225345167653,0.28546795752324594
41,input_shaft,1,0.35604967948717947,0.20540865384615387,0.03974358974358974,0.039285714285714285,0.05511871879622781,0.249918891517637
