layout,sensor_count,snr_db,runs,pd_any,pd_all,pd_source_mean,pd_source_min,pd_source_variance,false_alarm_runs,p_fa,score,benchmark
gearbox_left,1,-25.0,1040,0.29423076923076924,0.0,0.08341346153846155,0.027884615384615386,0.005464300573224852,2800,0.03571428571428571,0.009252739823277697,single_best
gearbox_left,1,-20.0,1040,0.8413461538461539,0.0009615384615384616,0.2725961538461539,0.05961538461538462,0.07945196930473372,2800,0.03571428571428571,0.1614415977652156,single_best
gearbox_left,1,-15.0,1040,0.9980769230769231,0.057692307692307696,0.5685096153846154,0.2125,0.08504085382766272,2800,0.037142857142857144,0.4517034741850698,single_best
gearbox_left,1,-12.0,1040,1.0,0.3605769230769231,0.7903846153846154,0.48653846153846153,0.038515162721893495,2800,0.03428571428571429,0.7025556054522399,single_best
gearbox_left,1,-10.0,1040,1.0,0.6596153846153846,0.9067307692307693,0.7048076923076924,0.014362518491124257,2800,0.04,0.8195495099852073,single_best
gearbox_left,1,-5.0,1040,1.0,1.0,1.0,1.0,0.0,2800,0.037142857142857144,0.9257142857142857,single_best
bearing_left+gearbox_right+input_shaft,3,-25.0,1040,0.35,0.0,0.10216346153846154,0.025,0.007078575721153847,2800,0.04,0.01862417367788461,random_three
bearing_left+gearbox_right+input_shaft,3,-20.0,1040,0.8269230769230769,0.0,0.33365384615384613,0.011538461538461539,0.06109190088757396,2800,0.033928571428571426,0.2352507528529163,random_three
bearing_left+gearbox_right+input_shaft,3,-15.0,1040,0.9990384615384615,0.051923076923076926,0.7122596153846154,0.06826923076923076,0.14004825027736686,2800,0.03357142857142857,0.5750926331030748,random_three
bearing_left+gearbox_right+input_shaft,3,-12.0,1040,1.0,0.15096153846153845,0.7867788461538462,0.15096153846153845,0.13475516595784023,2800,0.03857142857142857,0.6422584060320689,random_three
bearing_left+gearbox_right+input_shaft,3,-10.0,1040,1.0,0.29903846153846153,0.8247596153846154,0.29903846153846153,0.09212757720044379,2800,0.04357142857142857,0.6915529696415363,random_three
bearing_left+gearbox_right+input_shaft,3,-5.0,1040,1.0,0.8442307692307692,0.9610576923076923,0.8442307692307692,0.0045495099852071,2800,0.03571428571428571,0.8873543658865174,random_three
bearing_left+gearbox_left+output_shaft,3,-25.0,1040,0.6451923076923077,0.0,0.19206730769230768,0.041346153846153845,0.053763579419378704,2800,0.039285714285714285,0.08661408941118975,best_three
bearing_left+gearbox_left+output_shaft,3,-20.0,1040,0.9971153846153846,0.004807692307692308,0.42283653846153846,0.07019230769230769,0.1212732872596154,2800,0.03857142857142857,0.28505703768887364,best_three
bearing_left+gearbox_left+output_shaft,3,-15.0,1040,1.0,0.30288461538461536,0.7939903846153846,0.36153846153846153,0.06669488489275148,2800,0.054285714285714284,0.6520715135975803,best_three
bearing_left+gearbox_left+output_shaft,3,-12.0,1040,1.0,0.7442307692307693,0.9360576923076923,0.75,0.011544702292899408,2800,0.030357142857142857,0.8695710554469569,best_three
bearing_left+gearbox_left+output_shaft,3,-10.0,1040,1.0,0.9634615384615385,0.9908653846153846,0.9634615384615385,0.00025032359467455596,2800,0.04535714285714286,0.9000259371037617,best_three
bearing_left+gearbox_left+output_shaft,3,-5.0,1040,1.0,1.0,1.0,1.0,0.0,2800,0.047142857142857146,0.9057142857142857,best_three
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-25.0,1040,0.7692307692307693,0.0,0.2293269230769231,0.01826923076923077,0.07733288646449706,2800,0.045,0.10066047984467458,all_sensors_reference
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-20.0,1040,1.0,0.014423076923076924,0.5485576923076922,0.08942307692307692,0.11513059356508876,2800,0.03892857142857143,0.413135252668005,all_sensors_reference
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-15.0,1040,1.0,0.3451923076923077,0.8334134615384615,0.35384615384615387,0.07672955575073964,2800,0.03142857142857143,0.7321915408059488,all_sensors_reference
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-12.0,1040,1.0,0.8346153846153846,0.9586538461538462,0.8346153846153846,0.005128513313609466,2800,0.026785714285714284,0.9025181609256129,all_sensors_reference
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-10.0,1040,1.0,0.9846153846153847,0.9961538461538462,0.9846153846153847,4.437869822485176e-05,2800,0.026785714285714284,0.9425602282333051,all_sensors_reference
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-5.0,1040,1.0,1.0,1.0,1.0,0.0,2800,0.03642857142857143,0.9271428571428572,all_sensors_reference
