layout,sensor_count,snr_db,runs,pd_any,pd_all,pd_source_mean,pd_source_min,pd_source_variance,false_alarm_runs,p_fa,score
bearing_left,1,-30.0,1200,0.085,0.0,0.022291666666666668,0.013333333333333334,5.1171874999999995e-05,2800,0.054285714285714284,-0.0863053478422619
bearing_left,1,-27.5,1200,0.185,0.0,0.04666666666666666,0.02,0.0002913194444444444,2800,0.06285714285714286,-0.07919327876984128
bearing_left,1,-25.0,1200,0.22666666666666666,0.0,0.06125,0.030833333333333334,0.00032656250000000003,2800,0.06857142857142857,-0.07605613839285714
bearing_left,1,-22.5,1200,0.335,0.0,0.09937499999999999,0.015833333333333335,0.002440755208333333,2800,0.05857142857142857,-0.01898823474702382
bearing_left,1,-20.0,1200,0.6925,0.0,0.2375,0.0225,0.015935763888888888,2800,0.047142857142857146,0.13524640376984123
bearing_left,1,-17.5,1200,0.8966666666666666,0.0033333333333333335,0.41104166666666664,0.030833333333333334,0.053888324652777785,2800,0.05714285714285714,0.26981179005456346
bearing_left,1,-15.0,1200,0.995,0.025833333333333333,0.6270833333333333,0.03833333333333333,0.1186453125,2800,0.06428571428571428,0.4391892485119048
bearing_left+bearing_right,2,-30.0,1200,0.115,0.0,0.029375000000000002,0.011666666666666667,0.00019908854166666661,2800,0.04928571428571429,-0.06929597284226191
bearing_left+bearing_right,2,-27.5,1200,0.18166666666666667,0.0,0.04770833333333334,0.015833333333333335,0.0004244357638888888,2800,0.0625,-0.07750388454861111
bearing_left+bearing_right,2,-25.0,1200,0.3408333333333333,0.0,0.09729166666666668,0.0175,0.0026032552083333337,2800,0.05857142857142857,-0.021152818080357134
bearing_left+bearing_right,2,-22.5,1200,0.595,0.0008333333333333334,0.19479166666666667,0.023333333333333334,0.013347005208333334,2800,0.075,0.03811816406250001
bearing_left+bearing_right,2,-20.0,1200,0.8858333333333334,0.0075,0.3697916666666667,0.03333333333333333,0.05012547743055555,2800,0.048214285714285716,0.24830035652281748
bearing_left+bearing_right,2,-17.5,1200,0.9933333333333333,0.015833333333333335,0.5908333333333333,0.030833333333333334,0.11344618055555553,2800,0.05392857142857143,0.42625310019841267
bearing_left+bearing_right,2,-15.0,1200,1.0,0.059166666666666666,0.7262500000000001,0.0675,0.1462390625,2800,0.0475,0.55813046875
bearing_left+bearing_right+gearbox_left,3,-30.0,1200,0.13833333333333334,0.0,0.035833333333333335,0.0175,0.00039166666666666674,2800,0.04392857142857143,-0.05221964285714285
bearing_left+bearing_right+gearbox_left,3,-27.5,1200,0.235,0.0,0.06458333333333334,0.018333333333333333,0.0013342013888888891,2800,0.0475,-0.031083767361111105
bearing_left+bearing_right+gearbox_left,3,-25.0,1200,0.4,0.0,0.10916666666666666,0.0175,0.009347569444444443,2800,0.048928571428571425,0.0066357390873015894
bearing_left+bearing_right+gearbox_left,3,-22.5,1200,0.7591666666666667,0.0,0.26875,0.0375,0.04223420138888889,2800,0.048214285714285716,0.15120432787698412
bearing_left+bearing_right+gearbox_left,3,-20.0,1200,0.9575,0.018333333333333333,0.4585416666666667,0.07,0.08668624131944444,2800,0.04642857142857143,0.3223414031498016
bearing_left+bearing_right+gearbox_left,3,-17.5,1200,1.0,0.051666666666666666,0.6583333333333333,0.105,0.12291215277777776,2800,0.04321428571428571,0.5104486855158731
bearing_left+bearing_right+gearbox_left,3,-15.0,1200,1.0,0.2675,0.806875,0.2841666666666667,0.09156401909722223,2800,0.04642857142857143,0.668235847594246
