layout,sensor_count,snr_db,runs,pd_any,pd_all,pd_source_mean,pd_source_min,pd_source_variance,false_alarm_runs,p_fa,score
bearing_left,1,-25.0,880,0.10113636363636364,0.0,0.02528409090909091,0.0,0.00026883716425619834,3600,0.016666666666666666,-0.008183661006370524
bearing_left,1,-20.0,880,0.43977272727272726,0.0,0.13039772727272728,0.005681818181818182,0.006615686337809917,3600,0.01,0.10708988410382231
bearing_left,1,-15.0,880,0.9738636363636364,0.0011363636363636363,0.5340909090909091,0.0022727272727272726,0.09543969524793389,3600,0.014444444444444444,0.45748217257805324
bearing_left,1,-12.0,880,1.0,0.02159090909090909,0.7139204545454545,0.02159090909090909,0.16187201381714875,3600,0.021111111111111112,0.5907622254146578
bearing_left,1,-10.0,880,1.0,0.038636363636363635,0.7482954545454545,0.038636363636363635,0.16808464617768598,3600,0.02,0.6242531314566115
bearing_left,1,-5.0,880,1.0,0.22727272727272727,0.8068181818181818,0.22727272727272727,0.11195764462809916,3600,0.011111111111111112,0.7286171372819099
bearing_left+bearing_right,2,-25.0,880,0.06704545454545455,0.0,0.017897727272727273,0.0,0.0001965231146694215,3600,0.008055555555555555,0.001688354604281452
bearing_left+bearing_right,2,-20.0,880,0.5386363636363637,0.0,0.1659090909090909,0.0022727272727272726,0.013237990702479338,3600,0.006944444444444444,0.14540120666896234
bearing_left+bearing_right,2,-15.0,880,0.9977272727272727,0.0125,0.6400568181818183,0.017045454545454544,0.13605654377582646,3600,0.006388888888888889,0.5592507685161272
bearing_left+bearing_right,2,-12.0,880,1.0,0.026136363636363635,0.7394886363636364,0.026136363636363635,0.17018942084194216,3600,0.008055555555555555,0.6382828148315542
bearing_left+bearing_right,2,-10.0,880,1.0,0.05454545454545454,0.7616477272727273,0.05454545454545454,0.16667508716425622,3600,0.008055555555555555,0.6621990725794882
bearing_left+bearing_right,2,-5.0,880,1.0,0.45681818181818185,0.8642045454545455,0.45681818181818185,0.05532121642561983,3600,0.013888888888888888,0.8087661594639578
bearing_left+bearing_right+gearbox_left,3,-25.0,880,0.16818181818181818,0.0,0.04261363636363636,0.004545454545454545,0.0024822443181818183,3600,0.006111111111111111,0.029150291982323228
bearing_left+bearing_right+gearbox_left,3,-20.0,880,0.8625,0.0,0.32244318181818177,0.023863636363636365,0.07340223075929751,3600,0.0075,0.270742066438533
bearing_left+bearing_right+gearbox_left,3,-15.0,880,1.0,0.1590909090909091,0.7494318181818181,0.18977272727272726,0.11002356663223138,3600,0.007222222222222222,0.679975590421258
bearing_left+bearing_right+gearbox_left,3,-12.0,880,1.0,0.5159090909090909,0.8789772727272727,0.5215909090909091,0.04258038481404958,3600,0.005555555555555556,0.8465759692091368
bearing_left+bearing_right+gearbox_left,3,-10.0,880,1.0,0.821590909090909,0.9553977272727272,0.821590909090909,0.005968088197314053,3600,0.01,0.9324136831740701
bearing_left+bearing_right+gearbox_left,3,-5.0,880,1.0,1.0,1.0,1.0,0.0,3600,0.008611111111111111,0.9827777777777778
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-25.0,880,0.7090909090909091,0.0,0.1974431818181818,0.003409090909090909,0.07439267497417354,3600,0.01888888888888889,0.12246906655331725
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-20.0,880,0.9988636363636364,0.0125,0.5085227272727273,0.048863636363636366,0.12358890754132229,3600,0.020277777777777777,0.40617271794651055
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-15.0,880,1.0,0.325,0.8224431818181819,0.33181818181818185,0.08050902311466943,3600,0.02,0.7421886702608471
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-12.0,880,1.0,0.7931818181818182,0.9482954545454545,0.7931818181818182,0.00802008006198347,3600,0.025277777777777777,0.8937298589589072
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-10.0,880,1.0,0.9568181818181818,0.9892045454545455,0.9568181818181818,0.00034962551652892613,3600,0.019444444444444445,0.9501408438073922
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-5.0,880,1.0,1.0,1.0,1.0,0.0,3600,0.024722222222222222,0.9505555555555556
bearing_left+bearing_right+gearbox_right,3,-25.0,880,0.17386363636363636,0.0,0.04630681818181818,0.0,0.0025493123708677685,3600,0.005277777777777778,0.03447660644082874
bearing_left+bearing_right+gearbox_right,3,-20.0,880,0.8090909090909091,0.0,0.28948863636363636,0.017045454545454544,0.058125887784090904,3600,0.009166666666666667,0.2420923591382576
bearing_left+bearing_right+gearbox_right,3,-15.0,880,1.0,0.006818181818181818,0.7019886363636364,0.011363636363636364,0.1643836357179752,3600,0.015555555555555555,0.5886857073935376
bearing_left+bearing_right+gearbox_right,3,-12.0,880,1.0,0.09772727272727273,0.7738636363636363,0.09772727272727273,0.15238765495867768,3600,0.008333333333333333,0.6810031422176308
bearing_left+bearing_right+gearbox_right,3,-10.0,880,1.0,0.24886363636363637,0.8122159090909091,0.24886363636363637,0.10578859439566116,3600,0.01,0.7393216118930785
bearing_left+bearing_right+gearbox_right,3,-5.0,880,1.0,0.8511363636363637,0.9627840909090909,0.8511363636363637,0.004155071668388427,3600,0.010277777777777778,0.9401509995193411
bearing_left+bearing_right+input_shaft,3,-25.0,880,0.08977272727272727,0.0,0.023295454545454543,0.0,0.0002643982438016529,3600,0.006944444444444444,0.009274366534664829
bearing_left+bearing_right+input_shaft,3,-20.0,880,0.6465909090909091,0.0,0.21534090909090908,0.010227272727272727,0.014643917871900827,3600,0.01,0.18801895015495868
bearing_left+bearing_right+input_shaft,3,-15.0,880,1.0,0.005681818181818182,0.6769886363636364,0.006818181818181818,0.1546593330320248,3600,0.006666666666666667,0.5863256365142907
