layout,sensor_count,snr_db,runs,pd_any,pd_all,pd_source_mean,pd_source_min,pd_source_variance,false_alarm_runs,p_fa,score,benchmark
gearbox_left,1,-25.0,1040,0.30288461538461536,0.0,0.0829326923076923,0.0125,0.00849545811760355,2800,0.03857142857142857,0.0015421061060333918,single_best
gearbox_left,1,-20.0,1040,0.8048076923076923,0.0,0.26105769230769227,0.04038461538461539,0.07625577847633135,2800,0.054285714285714284,0.11435837449809802,single_best
gearbox_left,1,-15.0,1040,0.9980769230769231,0.05096153846153846,0.5276442307692308,0.2076923076923077,0.08638469628328402,2800,0.05857142857142857,0.36730902548473165,single_best
gearbox_left,1,-12.0,1040,1.0,0.3076923076923077,0.7810096153846153,0.45384615384615384,0.044879981046597635,2800,0.04857142857142857,0.6614267677184593,single_best
gearbox_left,1,-10.0,1040,1.0,0.7086538461538462,0.9228365384615385,0.7519230769230769,0.010348731046597635,2800,0.04857142857142857,0.8205193157953824,single_best
gearbox_left,1,-5.0,1040,1.0,1.0,1.0,1.0,0.0,2800,0.03428571428571429,0.9314285714285714,single_best
bearing_left+gearbox_right+input_shaft,3,-25.0,1040,0.38076923076923075,0.0,0.11177884615384615,0.016346153846153847,0.007400783561390532,2800,0.045714285714285714,0.01664988294457945,random_three
bearing_left+gearbox_right+input_shaft,3,-20.0,1040,0.8625,0.0009615384615384616,0.36514423076923075,0.025,0.06140318740754438,2800,0.05714285714285714,0.2201569227797443,random_three
bearing_left+gearbox_right+input_shaft,3,-15.0,1040,0.9990384615384615,0.07115384615384615,0.7240384615384615,0.08076923076923077,0.13969720784023668,2800,0.040357142857142855,0.5734755719040574,random_three
bearing_left+gearbox_right+input_shaft,3,-12.0,1040,1.0,0.2,0.7992788461538461,0.2,0.11971309865014791,2800,0.048214285714285716,0.6429937254002007,random_three
bearing_left+gearbox_right+input_shaft,3,-10.0,1040,1.0,0.29423076923076924,0.8235576923076923,0.29423076923076924,0.09339566383136096,2800,0.04321428571428571,0.6904312889634404,random_three
bearing_left+gearbox_right+input_shaft,3,-5.0,1040,1.0,0.8769230769230769,0.9692307692307692,0.8769230769230769,0.0028402366863905333,2800,0.04535714285714286,0.8770963651732883,random_three
bearing_left+gearbox_left+output_shaft,3,-25.0,1040,0.6730769230769231,0.0,0.19399038461538462,0.01826923076923077,0.05359993296967455,2800,0.04642857142857143,0.07433327527340448,best_three
bearing_left+gearbox_left+output_shaft,3,-20.0,1040,0.9990384615384615,0.0125,0.4475961538461538,0.07115384615384615,0.11835729474852072,2800,0.04321428571428571,0.301988935043322,best_three
bearing_left+gearbox_left+output_shaft,3,-15.0,1040,1.0,0.32403846153846155,0.8055288461538461,0.38846153846153847,0.06026737009985207,2800,0.03142857142857143,0.7125380182467772,best_three
bearing_left+gearbox_left+output_shaft,3,-12.0,1040,1.0,0.7586538461538461,0.9394230769230769,0.760576923076923,0.01066336908284024,2800,0.041428571428571426,0.851234249524514,best_three
bearing_left+gearbox_left+output_shaft,3,-10.0,1040,1.0,0.9451923076923077,0.9862980769230769,0.9451923076923077,0.000563228088017752,2800,0.038214285714285715,0.9095878914504967,best_three
bearing_left+gearbox_left+output_shaft,3,-5.0,1040,1.0,1.0,1.0,1.0,0.0,2800,0.04178571428571429,0.9164285714285714,best_three
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-25.0,1040,0.8153846153846154,0.0,0.26634615384615384,0.04423076923076923,0.08298400517751478,2800,0.046785714285714285,0.13128272268596786,all_sensors_reference
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-20.0,1040,1.0,0.03653846153846154,0.5680288461538462,0.09711538461538462,0.11021235900517751,2800,0.045,0.42292266665125744,all_sensors_reference
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-15.0,1040,1.0,0.4326923076923077,0.8555288461538462,0.44326923076923075,0.056727244360207096,2800,0.046785714285714285,0.7335937954023141,all_sensors_reference
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-12.0,1040,1.0,0.8201923076923077,0.9550480769230769,0.8201923076923077,0.00606202616494083,2800,0.04214285714285714,0.8677313495548922,all_sensors_reference
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-10.0,1040,1.0,0.9644230769230769,0.9911057692307692,0.9644230769230769,0.0002373220229289939,2800,0.04357142857142857,0.9038442510764475,all_sensors_reference
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-5.0,1040,1.0,1.0,1.0,1.0,0.0,2800,0.055,0.89,all_sensors_reference
