layout,sensor_count,snr_db,runs,pd_any,pd_all,pd_source_mean,pd_source_min,pd_source_variance,false_alarm_runs,p_fa,score
bearing_left,1,-25.0,1040,0.23942307692307693,0.0,0.06346153846153846,0.010576923076923078,0.0016674371301775145,2800,0.04428571428571428,-0.025943608674978864
bearing_left,1,-20.0,1040,0.6586538461538461,0.0,0.21322115384615384,0.026923076923076925,0.012896807969674556,2800,0.06,0.08677274986131657
bearing_left,1,-15.0,1040,0.9932692307692308,0.01730769230769231,0.6192307692307693,0.03173076923076923,0.11745978180473375,2800,0.05714285714285714,0.4462151640426881
bearing_left,1,-12.0,1040,1.0,0.06346153846153846,0.7420673076923077,0.06634615384615385,0.15278401211168638,2800,0.055714285714285716,0.5542467302078931
bearing_left,1,-10.0,1040,1.0,0.09038461538461538,0.765625,0.09038461538461538,0.1521127843010355,2800,0.055714285714285716,0.5781400364209108
bearing_left,1,-5.0,1040,1.0,0.3730769230769231,0.8432692307692308,0.3730769230769231,0.07369360207100592,2800,0.06,0.6864224297337278
bearing_left+bearing_right,2,-25.0,1040,0.33365384615384613,0.0,0.09447115384615384,0.01826923076923077,0.0028089751294378693,2800,0.05035714285714286,-0.007647619432850805
bearing_left+bearing_right,2,-20.0,1040,0.8163461538461538,0.0,0.34134615384615385,0.010576923076923078,0.04015486316568047,2800,0.052142857142857144,0.21698300797759934
bearing_left+bearing_right,2,-15.0,1040,1.0,0.05576923076923077,0.7175480769230769,0.05961538461538462,0.14613044332470415,2800,0.053214285714285714,0.5380542838321534
bearing_left+bearing_right,2,-12.0,1040,1.0,0.0798076923076923,0.7663461538461539,0.08076923076923077,0.15671135355029586,2800,0.055357142857142855,0.5772761913567204
bearing_left+bearing_right,2,-10.0,1040,1.0,0.1971153846153846,0.7990384615384616,0.1971153846153846,0.1207706176035503,2800,0.05392857142857143,0.6307960098795435
bearing_left+bearing_right,2,-5.0,1040,1.0,0.6326923076923077,0.9081730769230769,0.6326923076923077,0.025296551405325447,2800,0.04178571428571429,0.8119533726489856
bearing_left+bearing_right+gearbox_left,3,-25.0,1040,0.4778846153846154,0.0,0.14086538461538461,0.013461538461538462,0.009336399778106508,2800,0.04,0.05619718472633136
bearing_left+bearing_right+gearbox_left,3,-20.0,1040,0.9605769230769231,0.014423076923076924,0.4725961538461539,0.06923076923076923,0.09188077847633136,2800,0.048214285714285716,0.3302271931794168
bearing_left+bearing_right+gearbox_left,3,-15.0,1040,1.0,0.24519230769230768,0.7961538461538462,0.26634615384615384,0.09456499630177516,2800,0.02857142857142857,0.6917284908601015
bearing_left+bearing_right+gearbox_left,3,-12.0,1040,1.0,0.6894230769230769,0.9223557692307692,0.6894230769230769,0.018085879715236685,2800,0.047857142857142855,0.8175985436588651
bearing_left+bearing_right+gearbox_left,3,-10.0,1040,1.0,0.9298076923076923,0.9824519230769231,0.9298076923076923,0.0009238050110946738,2800,0.03357142857142857,0.9148471634285186
bearing_left+bearing_right+gearbox_left,3,-5.0,1040,1.0,1.0,1.0,1.0,0.0,2800,0.04107142857142857,0.9178571428571428
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-25.0,1040,0.8153846153846154,0.0,0.26634615384615384,0.04423076923076923,0.08298400517751478,2800,0.046785714285714285,0.13128272268596786
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-20.0,1040,1.0,0.03653846153846154,0.5680288461538462,0.09711538461538462,0.11021235900517751,2800,0.045,0.42292266665125744
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-15.0,1040,1.0,0.4326923076923077,0.8555288461538462,0.44326923076923075,0.056727244360207096,2800,0.046785714285714285,0.7335937954023141
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-12.0,1040,1.0,0.8201923076923077,0.9550480769230769,0.8201923076923077,0.00606202616494083,2800,0.04214285714285714,0.8677313495548922
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-10.0,1040,1.0,0.9644230769230769,0.9911057692307692,0.9644230769230769,0.0002373220229289939,2800,0.04357142857142857,0.9038442510764475
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-5.0,1040,1.0,1.0,1.0,1.0,0.0,2800,0.055,0.89
bearing_left+bearing_right+gearbox_right,3,-25.0,1040,0.43846153846153846,0.0,0.13124999999999998,0.01826923076923077,0.009469535872781064,2800,0.03142857142857143,0.06365808920646658
bearing_left+bearing_right+gearbox_right,3,-20.0,1040,0.9432692307692307,0.0009615384615384616,0.42091346153846154,0.028846153846153848,0.08635002542529585,2800,0.04178571428571429,0.294167020254385
bearing_left+bearing_right+gearbox_right,3,-15.0,1040,1.0,0.08269230769230769,0.753125,0.09038461538461538,0.1474192746856509,2800,0.03892857142857143,0.6015582198000318
bearing_left+bearing_right+gearbox_right,3,-12.0,1040,1.0,0.21346153846153845,0.803125,0.21346153846153845,0.11590115338387573,2800,0.05392857142857143,0.6373172804509193
bearing_left+bearing_right+gearbox_right,3,-10.0,1040,1.0,0.37596153846153846,0.8439903846153847,0.37596153846153846,0.07301700027736686,2800,0.047142857142857146,0.7131961701909869
