rank,layout,sensor_count,mean_pd_source,low_snr_pd_source,mean_pd_all,mean_p_fa,mean_balance_variance,score
1,bearing_left+bearing_right+gearbox_left,3,0.8354166666666667,0.753125,0.6516203703703703,0.05423611111111112,0.0277195859053498,0.7130846514917696
2,bearing_right+gearbox_left+output_shaft,3,0.8223379629629629,0.7335069444444444,0.6449074074074074,0.05104166666666667,0.042280293531378604,0.6991144828639403
3,bearing_left+gearbox_left+output_shaft,3,0.8266782407407408,0.7400173611111112,0.6523148148148148,0.05604166666666666,0.03421113442001029,0.6974893401974023
4,bearing_left+gearbox_left+gearbox_right,3,0.8241319444444445,0.7361979166666667,0.6543981481481481,0.05979166666666667,0.031741998617541144,0.6886776118023406
5,bearing_left+gearbox_left,2,0.8039930555555556,0.7061631944444444,0.6358796296296296,0.052708333333333336,0.021538045749742798,0.6878073660140175
6,bearing_right+gearbox_left+input_shaft,3,0.8157407407407407,0.7236111111111111,0.6435185185185185,0.059444444444444446,0.02611951035236626,0.6837920966756688
7,bearing_left+gearbox_left+input_shaft,3,0.8185763888888888,0.7278645833333333,0.6388888888888888,0.06201388888888889,0.024295448334619347,0.6824008869438014
8,bearing_right+gearbox_left+gearbox_right,3,0.814988425925926,0.722482638888889,0.6407407407407407,0.057013888888888885,0.038666911811985595,0.6816271922421553
9,bearing_right+gearbox_left,2,0.8013888888888889,0.7020833333333333,0.6296296296296297,0.05604166666666666,0.028490547839506174,0.6750602816358025
10,bearing_left+bearing_right+output_shaft,3,0.7925347222222223,0.6970486111111112,0.4666666666666666,0.04763888888888889,0.062447454507458845,0.6660332171907151
11,gearbox_left+input_shaft+output_shaft,3,0.8075810185185185,0.7113715277777778,0.6423611111111112,0.06375000000000001,0.03551353925540123,0.662324248890818
12,gearbox_left+gearbox_right+output_shaft,3,0.782986111111111,0.6744791666666666,0.6087962962962963,0.05034722222222222,0.04559120209619341,0.65949606561857
13,gearbox_left+gearbox_right+input_shaft,3,0.7905671296296296,0.6859375,0.6243055555555556,0.058750000000000004,0.030356204185956793,0.6578890275366512
14,gearbox_left+input_shaft,2,0.765162037037037,0.6479166666666667,0.5988425925925925,0.04875000000000001,0.01966977719907407,0.6578271484374999
15,bearing_left+gearbox_right+output_shaft,3,0.7802662037037038,0.6741319444444445,0.5108796296296296,0.050624999999999996,0.05507131317515432,0.6514805471161266
16,bearing_left+input_shaft+output_shaft,3,0.7693865740740741,0.6647569444444444,0.44027777777777777,0.04597222222222222,0.06163634500385803,0.6466239571277006
17,bearing_right+gearbox_right+output_shaft,3,0.7714699074074073,0.6602430555555555,0.5173611111111112,0.04923611111111111,0.06211807564943416,0.6419386473604681
18,bearing_left+bearing_right+gearbox_right,3,0.7728587962962964,0.6739583333333334,0.42291666666666666,0.052986111111111116,0.0646630859375,0.6345550311053241
19,bearing_right+input_shaft+output_shaft,3,0.7724537037037037,0.6674479166666667,0.4668981481481482,0.05423611111111112,0.060279827353395064,0.633841567804784
20,gearbox_left+gearbox_right,2,0.7527777777777778,0.6306423611111112,0.5599537037037037,0.0525,0.04020728845164609,0.6276741335519548
21,bearing_left+output_shaft,2,0.7492476851851851,0.6380208333333333,0.4222222222222222,0.04784722222222223,0.06459408355838477,0.6212561989615484
22,gearbox_left+output_shaft,2,0.779513888888889,0.6694444444444445,0.5907407407407407,0.07111111111111111,0.04451433095421811,0.6150345011895576
23,bearing_left+gearbox_right+input_shaft,3,0.7377314814814815,0.6298611111111112,0.3733796296296297,0.045138888888888895,0.06517381204989711,0.6148667976787551
24,gearbox_right+input_shaft+output_shaft,3,0.7449652777777779,0.6225694444444445,0.4967592592592593,0.05465277777777777,0.05413184397505144,0.6085938002346966
25,gearbox_left,1,0.726099537037037,0.5921006944444445,0.5372685185185185,0.05166666666666667,0.032103366930298353,0.6067145202385545
26,bearing_right+gearbox_right+input_shaft,3,0.745775462962963,0.6353298611111111,0.41874999999999996,0.05902777777777778,0.0578634781700103,0.5987881683224023
27,bearing_left+bearing_right+input_shaft,3,0.7300925925925926,0.6311631944444445,0.3104166666666667,0.05472222222222223,0.07434731063528806,0.5834744928305041
28,bearing_left+gearbox_right,2,0.727372685185185,0.6148437499999999,0.38425925925925924,0.057986111111111106,0.05845423820087448,0.5821733438625257
29,bearing_right+gearbox_right,2,0.7156250000000001,0.5900173611111111,0.39236111111111116,0.05111111111111111,0.06265520511831275,0.5820751752186214
30,input_shaft+output_shaft,2,0.7203703703703704,0.5952256944444445,0.41134259259259265,0.058819444444444445,0.06171806680812758,0.5718724480774177
31,bearing_left+bearing_right,2,0.7074652777777778,0.6027777777777779,0.28171296296296294,0.05104166666666667,0.07600214200745886,0.567380873440715
32,bearing_right+output_shaft,2,0.7612268518518519,0.6493055555555556,0.46597222222222223,0.08215277777777778,0.064751077031893,0.5645457577803498
33,gearbox_right+input_shaft,2,0.6602430555555555,0.52109375,0.3483796296296296,0.044236111111111115,0.051808670106738675,0.545866498279964
34,gearbox_right+output_shaft,2,0.6956018518518517,0.5533854166666666,0.43124999999999997,0.05958333333333333,0.06639925733024692,0.5432355565200617
35,bearing_right+input_shaft,2,0.6746527777777778,0.5575520833333334,0.26828703703703705,0.052222222222222225,0.0687523308899177,0.5358321678883745
36,bearing_left+input_shaft,2,0.658275462962963,0.5505208333333333,0.2039351851851852,0.054375,0.08348743328832303,0.5077817463188015
37,bearing_left,1,0.6307870370370371,0.5203125,0.1599537037037037,0.042222222222222223,0.08762872138631689,0.5025282318994342
38,output_shaft,1,0.6482060185185184,0.4964409722222223,0.33217592592592593,0.056388888888888884,0.07725194106867285,0.49680227020640433
39,bearing_right,1,0.6482060185185184,0.5230034722222222,0.2398148148148148,0.059722222222222225,0.078349910783179,0.4895866186824846
40,gearbox_right,1,0.5397569444444444,0.39001736111111107,0.25277777777777777,0.04944444444444444,0.06238295315715021,0.40967657897698045
41,input_shaft,1,0.4848958333333333,0.33689236111111115,0.11597222222222221,0.04638888888888889,0.06076623987268518,0.36173493561921294
