layout,sensor_count,snr_db,runs,pd_any,pd_all,pd_source_mean,pd_source_min,pd_source_variance,false_alarm_runs,p_fa,score,benchmark
gearbox_left,1,-25.0,720,0.6041666666666666,0.004166666666666667,0.1736111111111111,0.03611111111111111,0.04054108796296297,2400,0.05333333333333334,0.04667390046296295,single_best
gearbox_left,1,-20.0,720,0.9875,0.018055555555555554,0.4197916666666667,0.13333333333333333,0.10895290798611112,2400,0.051666666666666666,0.2619818793402778,single_best
gearbox_left,1,-15.0,720,1.0,0.375,0.8072916666666666,0.49166666666666664,0.04073627989969136,2400,0.056666666666666664,0.6735901933834877,single_best
gearbox_left,1,-12.0,720,1.0,0.8736111111111111,0.9677083333333333,0.8902777777777777,0.0020615113811728414,2400,0.051666666666666666,0.8633442443094135,single_best
gearbox_left,1,-10.0,720,1.0,0.9527777777777777,0.9881944444444444,0.9569444444444445,0.0003284143518518513,2400,0.03833333333333333,0.9113635706018518,single_best
gearbox_left,1,-5.0,720,1.0,1.0,1.0,1.0,0.0,2400,0.058333333333333334,0.8833333333333333,single_best
bearing_left+gearbox_right+input_shaft,3,-25.0,720,0.7319444444444444,0.0,0.24895833333333334,0.015277777777777777,0.04691104841820988,2400,0.04791666666666667,0.12966947579089508,random_three
bearing_left+gearbox_right+input_shaft,3,-20.0,720,0.9930555555555556,0.030555555555555555,0.6263888888888889,0.04861111111111111,0.12183738425925925,2400,0.04791666666666667,0.4696368634259259,random_three
bearing_left+gearbox_right+input_shaft,3,-15.0,720,1.0,0.13472222222222222,0.7822916666666667,0.13472222222222222,0.1397872058256173,2400,0.03791666666666667,0.6365647304205247,random_three
bearing_left+gearbox_right+input_shaft,3,-12.0,720,1.0,0.44722222222222224,0.8618055555555556,0.44722222222222224,0.05729311342592592,2400,0.04541666666666667,0.7423256655092593,random_three
bearing_left+gearbox_right+input_shaft,3,-10.0,720,1.0,0.6333333333333333,0.9083333333333333,0.6333333333333333,0.02520833333333334,2400,0.04958333333333333,0.7965625000000001,random_three
bearing_left+gearbox_right+input_shaft,3,-5.0,720,1.0,0.9944444444444445,0.9986111111111111,0.9944444444444445,5.787037037036996e-06,2400,0.042083333333333334,0.9144415509259258,random_three
bearing_left+bearing_right+gearbox_left,3,-25.0,720,0.8569444444444444,0.002777777777777778,0.3361111111111111,0.03333333333333333,0.05714409722222222,2400,0.06291666666666666,0.18170572916666666,best_three
bearing_left+bearing_right+gearbox_left,3,-20.0,720,1.0,0.16527777777777777,0.7409722222222223,0.21666666666666667,0.09769048996913582,2400,0.04416666666666667,0.603793643904321,best_three
bearing_left+bearing_right+gearbox_left,3,-15.0,720,1.0,0.7527777777777778,0.9381944444444444,0.7527777777777778,0.011459780092592594,2400,0.049166666666666664,0.8341312210648149,best_three
bearing_left+bearing_right+gearbox_left,3,-12.0,720,1.0,0.9888888888888889,0.9972222222222222,0.9888888888888889,2.3148148148147984e-05,2400,0.06291666666666666,0.8713773148148148,best_three
bearing_left+bearing_right+gearbox_left,3,-10.0,720,1.0,1.0,1.0,1.0,0.0,2400,0.052083333333333336,0.8958333333333334,best_three
bearing_left+bearing_right+gearbox_left,3,-5.0,720,1.0,1.0,1.0,1.0,0.0,2400,0.05416666666666667,0.8916666666666666,best_three
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-25.0,720,0.9875,0.005555555555555556,0.4378472222222223,0.05,0.12026174286265434,2400,0.04708333333333333,0.28354968412422843,all_sensors_reference
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-20.0,720,1.0,0.17083333333333334,0.7597222222222223,0.21388888888888888,0.10361207561728394,2400,0.027916666666666666,0.652082851080247,all_sensors_reference
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-15.0,720,1.0,0.875,0.96875,0.875,0.0029296875,2400,0.05458333333333333,0.8581184895833334,all_sensors_reference
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-12.0,720,1.0,0.9972222222222222,0.9993055555555556,0.9972222222222222,1.446759259259249e-06,2400,0.05625,0.8868048321759259,all_sensors_reference
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-10.0,720,1.0,1.0,1.0,1.0,0.0,2400,0.05125,0.8975,all_sensors_reference
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-5.0,720,1.0,1.0,1.0,1.0,0.0,2400,0.050833333333333335,0.8983333333333333,all_sensors_reference
