layout,sensor_count,snr_db,runs,pd_any,pd_all,pd_source_mean,pd_source_min,pd_source_variance,false_alarm_runs,p_fa,score,benchmark
gearbox_left,1,-25.0,880,0.31022727272727274,0.0,0.08153409090909092,0.011363636363636364,0.009689679106404961,2800,0.037142857142857144,-0.06009352401859504,single_best
gearbox_left,1,-20.0,880,0.8318181818181818,0.0,0.27386363636363636,0.05909090909090909,0.08479984504132232,2800,0.03571428571428571,0.04710382231404958,single_best
gearbox_left,1,-15.0,880,1.0,0.05795454545454545,0.5383522727272727,0.2,0.09123474625516527,2800,0.06285714285714286,0.20887057722107435,single_best
gearbox_left,1,-12.0,880,1.0,0.3079545454545455,0.772159090909091,0.41363636363636364,0.05202253357438016,2800,0.04428571428571428,0.5547320506198348,single_best
gearbox_left,1,-10.0,880,1.0,0.6806818181818182,0.9147727272727273,0.7306818181818182,0.011929881198347104,2800,0.04285714285714286,0.7504568698347107,single_best
gearbox_left,1,-5.0,880,1.0,1.0,1.0,1.0,0.0,2800,0.045714285714285714,0.84,single_best
bearing_left+gearbox_right+input_shaft,3,-25.0,880,0.38295454545454544,0.0,0.10397727272727272,0.01818181818181818,0.009771758780991737,2800,0.05857142857142857,-0.11274883780991737,random_three
bearing_left+gearbox_right+input_shaft,3,-20.0,880,0.8545454545454545,0.0011363636363636363,0.36477272727272725,0.028409090909090908,0.06374160640495868,2800,0.039285714285714285,0.15078279958677682,random_three
bearing_left+gearbox_right+input_shaft,3,-15.0,880,1.0,0.08295454545454546,0.7372159090909091,0.09545454545454546,0.13821757166838844,2800,0.045714285714285714,0.4113548230888429,random_three
bearing_left+gearbox_right+input_shaft,3,-12.0,880,1.0,0.18977272727272726,0.7965909090909091,0.18977272727272726,0.12274341425619838,2800,0.04857142857142857,0.47929881198347113,random_three
bearing_left+gearbox_right+input_shaft,3,-10.0,880,1.0,0.36704545454545456,0.8417613636363637,0.36704545454545456,0.07511839811466942,2800,0.05035714285714286,0.5753692858987604,random_three
bearing_left+gearbox_right+input_shaft,3,-5.0,880,1.0,0.8681818181818182,0.9670454545454545,0.8681818181818182,0.0032580061983471078,2800,0.05071428571428571,0.7856358471074381,random_three
bearing_left+bearing_right+gearbox_left,3,-25.0,880,0.39431818181818185,0.0,0.12159090909090908,0.0125,0.013749354338842973,2800,0.055357142857142855,-0.08865831611570246,best_three
bearing_left+bearing_right+gearbox_left,3,-20.0,880,0.9579545454545455,0.014772727272727272,0.47642045454545456,0.07272727272727272,0.09384063468491735,2800,0.04392857142857143,0.21006169292355376,best_three
bearing_left+bearing_right+gearbox_left,3,-15.0,880,1.0,0.29204545454545455,0.8147727272727272,0.3340909090909091,0.07787319214876032,2800,0.03,0.6163248966942149,best_three
bearing_left+bearing_right+gearbox_left,3,-12.0,880,1.0,0.7011363636363637,0.9252840909090909,0.7011363636363637,0.01674740121384297,2800,0.03892857142857143,0.7689372094524793,best_three
bearing_left+bearing_right+gearbox_left,3,-10.0,880,1.0,0.9272727272727272,0.9818181818181818,0.9272727272727272,0.0009917355371900833,2800,0.0375,0.8493780991735538,best_three
bearing_left+bearing_right+gearbox_left,3,-5.0,880,1.0,1.0,1.0,1.0,0.0,2800,0.03142857142857143,0.89,best_three
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-25.0,880,0.8318181818181818,0.0,0.271875,0.03295454545454545,0.08600618220557851,2800,0.046785714285714285,0.004917581353305764,all_sensors_reference
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-20.0,880,1.0,0.017045454545454544,0.5639204545454546,0.07727272727272727,0.11675644047004133,2800,0.062142857142857146,0.20631272598140496,all_sensors_reference
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-15.0,880,1.0,0.4431818181818182,0.8571022727272727,0.44886363636363635,0.05562265947830578,2800,0.04964285714285714,0.6166050813533058,all_sensors_reference
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-12.0,880,1.0,0.8647727272727272,0.9661931818181818,0.8647727272727272,0.0034287028667355384,2800,0.062142857142857146,0.7445787383780992,all_sensors_reference
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-10.0,880,1.0,0.9681818181818181,0.9920454545454546,0.9681818181818181,0.00018982438016528971,2800,0.05142857142857143,0.8118176652892561,all_sensors_reference
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-5.0,880,1.0,1.0,1.0,1.0,0.0,2800,0.05714285714285714,0.8,all_sensors_reference
