method,snr_db,p_detect,mean_abs_frequency_error_hz,std_abs_frequency_error_hz,mc_runs,sample_count,success_tolerance_hz
FFT peak,-25.0,1.0,0.0005072747601730709,0.001462319255759794,200,40001,0.05
GLRT,-25.0,1.0,0.0005072747601730709,0.001462319255759794,200,40001,0.05
FFT peak,-22.0,1.0,0.0003219851724365996,0.0011235741667629856,200,40001,0.05
GLRT,-22.0,1.0,0.0003219851724365996,0.0011235741667629856,200,40001,0.05
FFT peak,-20.0,1.0,0.00027519581220222355,0.0010392288517237604,200,40001,0.05
GLRT,-20.0,1.0,0.00027519581220222355,0.0010392288517237604,200,40001,0.05
FFT peak,-18.0,1.0,0.000245535320582595,0.0010140990701827351,200,40001,0.05
GLRT,-18.0,1.0,0.000245535320582595,0.0010140990701827351,200,40001,0.05
FFT peak,-15.0,1.0,0.0002579224938011626,0.0010609144339538796,200,40001,0.05
GLRT,-15.0,1.0,0.0002579224938011626,0.0010609144339538796,200,40001,0.05
FFT peak,-12.0,1.0,0.00011803503855269847,0.0006938549099649106,200,40001,0.05
GLRT,-12.0,1.0,0.00011803503855269847,0.0006938549099649106,200,40001,0.05
FFT peak,-10.0,1.0,1.6950515513143304e-05,1.2956595107934036e-05,200,40001,0.05
GLRT,-10.0,1.0,1.6950515513143304e-05,1.2956595107934036e-05,200,40001,0.05
FFT peak,-5.0,1.0,9.188857766847525e-06,7.164348398115184e-06,200,40001,0.05
GLRT,-5.0,1.0,9.188857766847525e-06,7.164348398115184e-06,200,40001,0.05
