model_name,snr_db,mean_abs_freq_error,std_abs_freq_error,p_detect_within_0_05hz,p_false_alarm_noise_only,mc_runs,sample_count
FFT Peak Baseline,-20.0,0.0017945926537534518,0.0027125416258380725,1.0,1.0,80,40001
Welch PSD,-20.0,5.374799168831323e-05,3.7036577135861456e-05,1.0,1.0,80,40001
CFAR + FFT,-20.0,0.0017945926537534518,0.0027125416258380725,1.0,0.0,80,40001
Matched Filter / GLRT,-20.0,0.0017945926537534518,0.0027125416258380725,1.0,0.0625,80,40001
SSA Denoise + FFT,-20.0,0.0017945926537534518,0.0027125416258380725,1.0,1.0,80,40001
MUSIC,-20.0,0.010614924327872064,0.01091672746353207,1.0,1.0,80,40001
FFT Peak Baseline,-15.0,0.0013817619154561673,0.002336466789159587,1.0,1.0,80,40001
Welch PSD,-15.0,3.0021654667319876e-05,2.043479371484078e-05,1.0,1.0,80,40001
CFAR + FFT,-15.0,0.0013817619154561673,0.002336466789159587,1.0,0.0,80,40001
Matched Filter / GLRT,-15.0,0.0013817619154561673,0.002336466789159587,1.0,0.0625,80,40001
SSA Denoise + FFT,-15.0,0.0013817619154561673,0.002336466789159587,1.0,1.0,80,40001
MUSIC,-15.0,0.001781956254891906,0.0037103497332380397,1.0,1.0,80,40001
FFT Peak Baseline,-12.0,0.0008430224157083583,0.0017886525663454549,1.0,1.0,80,40001
Welch PSD,-12.0,2.3217460891433726e-05,1.970802216757822e-05,1.0,1.0,80,40001
CFAR + FFT,-12.0,0.0008430224157083583,0.0017886525663454549,1.0,0.0,80,40001
Matched Filter / GLRT,-12.0,0.0008430224157083583,0.0017886525663454549,1.0,0.0625,80,40001
SSA Denoise + FFT,-12.0,0.0008430224157083583,0.0017886525663454549,1.0,1.0,80,40001
MUSIC,-12.0,0.0010362167638109988,0.002578458729074197,1.0,1.0,80,40001
FFT Peak Baseline,-10.0,0.0003720478458001969,0.0013076198023423717,1.0,1.0,80,40001
Welch PSD,-10.0,1.4301958390858239e-05,1.0607937444415685e-05,1.0,1.0,80,40001
CFAR + FFT,-10.0,0.0003720478458001969,0.0013076198023423717,1.0,0.0,80,40001
Matched Filter / GLRT,-10.0,0.0003720478458001969,0.0013076198023423717,1.0,0.0625,80,40001
SSA Denoise + FFT,-10.0,0.0003720478458001969,0.0013076198023423717,1.0,1.0,80,40001
MUSIC,-10.0,0.00032149852671019274,0.0013415428922987534,1.0,1.0,80,40001
FFT Peak Baseline,-5.0,9.987963996657689e-06,8.181721510007627e-06,1.0,1.0,80,40001
Welch PSD,-5.0,1.0524172369164031e-05,8.62457323086236e-06,1.0,1.0,80,40001
CFAR + FFT,-5.0,9.987963996657689e-06,8.181721510007627e-06,1.0,0.0,80,40001
Matched Filter / GLRT,-5.0,9.987963996657689e-06,8.181721510007627e-06,1.0,0.0625,80,40001
SSA Denoise + FFT,-5.0,9.987963996657689e-06,8.181721510007627e-06,1.0,1.0,80,40001
MUSIC,-5.0,9.820441040475636e-06,8.144173648026944e-06,1.0,1.0,80,40001
