amplitude_case,separation_hz,rayleigh_multiples,runs,main_success_rate,main_ci95_low,main_ci95_high,music_success_rate,music_ci95_low,music_ci95_high,median_condition_design,max_condition_design,ill_conditioned_rate,mean_main_runtime_seconds,mean_music_runtime_seconds,priority_for_more_runs
equal,0.00025,0.1,10,0.0,0.0,0.2775401687666166,0.0,0.0,0.2775401687666166,1.0502129344118212,1.0952825469517578,0.0,0.03361915000714362,0.012873060000129045,False
equal,0.0005,0.2,10,0.0,0.0,0.2775401687666166,0.0,0.0,0.2775401687666166,1.0886121919304825,1.2460445866953935,0.0,0.034966399980476126,0.01318922002101317,False
equal,0.00075,0.3,10,0.0,0.0,0.2775401687666166,0.0,0.0,0.2775401687666166,1.1003663263872507,1.245619668526742,0.0,0.035493949992815035,0.013090649992227555,False
equal,0.001,0.4,10,0.0,0.0,0.2775401687666166,0.0,0.0,0.2775401687666166,1.0605751602449949,4.980430996239717,0.0,0.034453749988460916,0.01325986001174897,False
equal,0.0015,0.6,10,0.1,0.01787574951572113,0.4041563854975721,0.0,0.0,0.2775401687666166,1.082607991999502,1.1810893050716855,0.0,0.0351294599706307,0.013456490013049915,False
equal,0.002,0.8,10,0.1,0.01787574951572113,0.4041563854975721,0.2,0.056680947980693314,0.5098431532792765,1.1018988953189743,1.2337246631716825,0.0,0.033622269990155475,0.013680729997577145,False
equal,0.0025,1.0,10,0.1,0.01787574951572113,0.4041563854975721,0.3,0.10778928748621183,0.6032267800204347,1.0720125495893793,1.1774475594762257,0.0,0.03329041000106372,0.013402139995014295,False
equal,0.003,1.2,10,0.0,0.0,0.2775401687666166,0.4,0.16817758120350967,0.6873304525498135,1.056205962586715,2.8551181792196396,0.0,0.0343559600005392,0.01327786999172531,False
equal,0.004,1.6,10,0.2,0.056680947980693314,0.5098431532792765,0.5,0.23658959361548731,0.7634104063845126,1.0756202274541253,1.1713049422080966,0.0,0.03405041999649257,0.013350280001759529,False
equal,0.005,2.0,10,1.0,0.7224598312333834,1.0,1.0,0.7224598312333834,1.0,1.0100670125518736,1.0501143209723347,0.0,0.03450628000427969,0.013210169994272292,True
equal,0.0075,3.0,10,1.0,0.7224598312333834,1.0,1.0,0.7224598312333834,1.0,1.0047137946896898,1.0106727837101201,0.0,0.03570452000130899,0.013656690006610007,True
equal,0.01,4.0,10,1.0,0.7224598312333834,1.0,1.0,0.7224598312333834,1.0,1.0038391819526404,1.0126777804413707,0.0,0.03411236999672838,0.013484660006361083,True
unequal,0.00025,0.1,10,0.0,0.0,0.2775401687666166,0.0,0.0,0.2775401687666166,1.0568992304727836,1.246465599117384,0.0,0.0349822900025174,0.013586909999139607,False
unequal,0.0005,0.2,10,0.0,0.0,0.2775401687666166,0.0,0.0,0.2775401687666166,1.1293456608777634,1.6101573859219054,0.0,0.03404353999067098,0.01366971000097692,False
unequal,0.00075,0.3,10,0.0,0.0,0.2775401687666166,0.0,0.0,0.2775401687666166,1.0885043749850447,1.5526454719935365,0.0,0.03363751000142656,0.013161830010358245,False
unequal,0.001,0.4,10,0.0,0.0,0.2775401687666166,0.0,0.0,0.2775401687666166,1.0836300394132754,5.534962738310317,0.0,0.034213169990107414,0.013284579996252432,False
unequal,0.0015,0.6,10,0.0,0.0,0.2775401687666166,0.0,0.0,0.2775401687666166,1.1318099352126942,1.2475636061649522,0.0,0.03446119999862276,0.013072409998858347,False
unequal,0.002,0.8,10,0.2,0.056680947980693314,0.5098431532792765,0.0,0.0,0.2775401687666166,1.078353949854015,1.245998511146273,0.0,0.03435835999553092,0.013057660008780659,False
unequal,0.0025,1.0,10,0.2,0.056680947980693314,0.5098431532792765,0.0,0.0,0.2775401687666166,1.0429534153150524,1.6686653121513062,0.0,0.033674270007759334,0.013058440003078431,False
unequal,0.003,1.2,10,0.0,0.0,0.2775401687666166,0.4,0.16817758120350967,0.6873304525498135,1.0469637067673934,1.8225483350030987,0.0,0.0336656600004062,0.012727830011863261,False
unequal,0.004,1.6,10,0.1,0.01787574951572113,0.4041563854975721,0.1,0.01787574951572113,0.4041563854975721,1.0497926637559611,1.2397031677731936,0.0,0.033125170005951075,0.012937719997717067,False
unequal,0.005,2.0,10,0.7,0.39677321997956516,0.892210712513788,1.0,0.7224598312333834,1.0,1.0311316875098455,1.0955759117258104,0.0,0.03545103000360541,0.014016159996390342,False
unequal,0.0075,3.0,10,1.0,0.7224598312333834,1.0,1.0,0.7224598312333834,1.0,1.0118931331395618,1.0221379354350941,0.0,0.03568508000462316,0.013891080004395918,True
unequal,0.01,4.0,10,1.0,0.7224598312333834,1.0,1.0,0.7224598312333834,1.0,1.0067880416340502,1.0137315097591,0.0,0.03733364000217989,0.015212020004400983,True
