weak_to_nearest_strong_distance_hz,replicate,sample_count,true_k,estimated_k,weak_detected,strong_components_detected,correct_order,over_estimated,weak_frequency_error_hz,strong_frequency_mae_hz,strong_amplitudes,estimated_frequencies_hz,accepted_iterations,condition_design,ill_conditioned,runtime_seconds
0.5,0,40001,4,4,True,True,True,False,0.00014414088088265942,2.085879895948513e-05,0.0304018561;0.0472913516;0.0440787848,3.00014414;3.49995668;10.4999964;13.9999843,4,1.0003891680971477,False,0.7547248999981093
0.5,1,40001,4,4,True,True,True,False,5.662356556968007e-07,1.1264469814105857e-05,0.0327424955;0.0347626571;0.0401289972,3.00000057;3.49998028;10.4999922;14.0000063,4,1.0001171929655472,False,0.7838396000006469
0.5,2,40001,4,3,False,True,False,False,0.5000252582364926,1.139072287514864e-05,0.0385168738;0.0371945008;0.0351293898,3.50002526;10.5000088;13.9999999,3,1.0000925286895557,False,0.8323874999987311
0.5,3,40001,4,4,True,True,True,False,0.00018912073145394004,3.565036522050017e-05,0.0353154482;0.0374997741;0.0411161131,3.00018912;3.4999589;10.499979;14.0000449,4,1.0004796330904526,False,0.9202237999998033
0.5,4,40001,4,4,True,True,True,False,2.822444522720957e-05,3.605636423002304e-05,0.03196851;0.0476348499;0.0422417622,2.99997178;3.4999505;10.4999822;13.9999591,4,1.0001078935521563,False,0.8856797000007646
0.5,5,40001,4,4,True,True,True,False,0.0003688992668502422,2.6372591425349867e-05,0.0327344917;0.0382648213;0.0375417715,2.9996311;3.50003885;10.4999796;14.0000199,4,1.0008320210125918,False,0.9039106000018364
0.5,6,40001,4,4,True,True,True,False,0.0001209210673369654,3.598090002713642e-05,0.0440371085;0.0363849116;0.0366773503,3.00012092;3.49996569;10.4999702;14.0000439,4,1.0003236249484844,False,1.3116285000032804
0.5,7,40001,4,4,True,True,True,False,0.00011992946291705664,3.584066751057454e-05,0.0401884884;0.0378094893;0.0331865376,3.00011993;3.50002007;10.4999456;13.9999669,4,1.0002228123491164,False,1.3417963000028976
0.5,8,40001,4,3,False,True,False,False,0.4999844788896519,1.5134438738388193e-05,0.0465295654;0.0304739942;0.0329517943,3.49998448;10.4999858;14.0000157,3,1.000095515881663,False,0.9052172999981849
0.5,9,40001,4,4,True,True,True,False,9.213038645405902e-05,1.8800125917965243e-05,0.0358870473;0.0404109926;0.0346436187,3.00009213;3.49997547;10.499999;14.0000309,4,1.000244078078013,False,0.9201017999985197
0.5,10,40001,4,4,True,True,True,False,8.939346548775262e-05,5.739262374682141e-06,0.0441931719;0.0350922927;0.0431833654,2.99991061;3.49999708;10.4999958;13.9999899,4,1.0002381129613755,False,1.5298976999984006
0.5,11,40001,4,4,True,True,True,False,0.0003732406374723496,9.318070377221469e-06,0.0348225442;0.0475521328;0.036903464,3.00037324;3.50000647;10.4999832;14.0000047,4,1.0007690616759535,False,1.614588600001298
0.5,12,40001,4,4,True,True,True,False,0.00015896349321131709,1.1048773094065231e-05,0.0485367016;0.0435361017;0.0480016339,2.99984104;3.50000968;10.4999958;14.0000193,4,1.0003831330809012,False,0.8998829000011028
0.5,13,40001,4,4,True,True,True,False,7.36279346202906e-06,8.018761098682603e-06,0.0345585869;0.0434585482;0.0412333481,3.00000736;3.49999028;10.5000048;13.9999905,4,1.000116535526035,False,0.9093361000013829
0.5,14,40001,4,4,True,True,True,False,2.5015545916495796e-05,8.884112457844632e-06,0.035163425;0.0386946154;0.0442822197,2.99997498;3.49998868;10.500011;13.9999957,4,1.0001283795721396,False,1.6300789000015357
0.5,15,40001,4,3,False,True,False,False,0.5000268626861479,1.1393287356368612e-05,0.048164459;0.0419363675;0.0363328756,3.50002686;10.5000026;14.0000047,3,1.000093063091859,False,1.6682814000014332
0.5,16,40001,4,4,True,True,True,False,0.0003436962444638425,3.63894635180273e-05,0.0380191192;0.0354774933;0.0316343081,2.9996563;3.4999673;10.49999;14.0000665,4,1.000666973321088,False,0.9207204999984242
0.5,17,40001,4,3,False,True,False,False,0.5000290799810383,2.0863927921629017e-05,0.0325143458;0.0434268402;0.033620648,3.50002908;10.500021;14.0000125,3,1.0000958775415127,False,0.6202755000012985
0.5,18,40001,4,3,False,True,False,False,0.49999608879642476,1.052537151628267e-05,0.0377882986;0.0419912585;0.0444285466,3.49999609;10.4999968;14.0000245,3,1.0000974705902508,False,1.7169866000003822
0.5,19,40001,4,4,True,True,True,False,2.2181599545589847e-05,1.8503836034374405e-05,0.0477618873;0.0392152226;0.0445283764,3.00002218;3.50000166;10.4999938;13.9999523,4,1.0001113803702024,False,1.9529795000016748
0.5,20,40001,4,4,True,True,True,False,4.417572262216396e-05,5.534980630568971e-06,0.0417144432;0.0499694688;0.0416371161,3.00004418;3.49999448;10.4999952;13.9999937,4,1.0001307185628638,False,0.9297385000027134
0.5,21,40001,4,4,True,True,True,False,0.00021691980791604948,3.011374280692536e-05,0.0351674102;0.044492211;0.0311849307,3.00021692;3.50003106;10.4999848;13.9999559,4,1.0004088341970765,False,1.9849404000015056
0.5,22,40001,4,4,True,True,True,False,0.0001527797806391007,2.7694730651302752e-05,0.0428297079;0.0348676055;0.0455824424,2.99984722;3.50003725;10.4999686;14.0000145,4,1.0004266902096963,False,1.9370604999967327
0.5,23,40001,4,3,False,True,False,False,0.500011052275644,2.0046800941031506e-05,0.0416778857;0.0380739883;0.0469337213,3.50001105;10.5000366;14.0000125,3,1.0000966745941724,False,0.9537617999994836
0.5,24,40001,4,4,True,True,True,False,2.9356916537714994e-05,1.7399958006573495e-05,0.0398394839;0.0313351038;0.0458095691,3.00002936;3.50000029;10.5000346;13.9999827,4,1.0001260756474872,False,1.96174339999925
0.5,25,40001,4,3,False,True,False,False,0.49994308669757626,3.2594958795151285e-05,0.0312514448;0.0444714046;0.0452494792,3.49994309;10.4999744;13.9999847,3,1.000086658666899,False,1.268532400001277
0.5,26,40001,4,4,True,True,True,False,5.899833494993345e-05,2.4653303681769028e-05,0.0412804257;0.0402796466;0.0321415646,2.999941;3.50000326;10.5000282;13.9999575,4,1.0002005360556732,False,1.0389125000001513
0.5,27,40001,4,4,True,True,True,False,0.00017231871653056174,1.9716266135283433e-05,0.0384216685;0.0368730182;0.0327955223,3.00017232;3.50001266;10.5000142;14.0000323,4,1.000347295222225,False,0.9576651000024867
0.5,28,40001,4,4,True,True,True,False,0.00010794079695841674,1.2742666407383751e-05,0.0473802008;0.0353093572;0.0419242612,3.00010794;3.49997547;10.499991;14.0000047,4,1.0002780127475601,False,1.9513619000026665
0.5,29,40001,4,4,True,True,True,False,4.295003215215587e-05,1.911668126982254e-05,0.045793214;0.0440458616;0.0368792038,3.00004295;3.50001587;10.49999;13.9999685,4,1.0001189722534023,False,1.794745300001523
0.5,30,40001,4,3,False,True,False,False,0.4999776823318447,2.7529103706254904e-05,0.0420021089;0.0442743806;0.0307115827,3.49997768;10.4999456;13.9999941,3,1.000093578109802,False,1.7778619999990042
0.5,31,40001,4,3,False,True,False,False,0.5000430518558376,2.0657081695851787e-05,0.0340293765;0.0433343302;0.0413182674,3.50004305;10.5000184;13.9999995,3,1.0000962813247356,False,1.8023276999992959
0.5,32,40001,4,4,True,True,True,False,5.097228042849622e-05,1.0640209604358594e-05,0.0413822699;0.0389869985;0.0440250836,3.00005097;3.50000746;10.4999796;14.0000041,4,1.000129759598019,False,0.770141799999692
0.5,33,40001,4,4,True,True,True,False,6.296094638624794e-05,1.632776042311453e-05,0.0346859532;0.0414518664;0.0428662997,3.00006296;3.4999605;10.4999932;13.9999973,4,1.0002089727529564,False,1.8058161999979347
0.5,34,40001,4,4,True,True,True,False,0.00010114423915164039,3.410996479313866e-05,0.0369706862;0.0420057689;0.0400454469,3.00010114;3.50005664;10.4999806;13.9999737,4,1.0001422474199142,False,1.8474175999981526
0.5,35,40001,4,3,False,True,False,False,0.4999808912311554,1.0727088781100255e-05,0.0345621536;0.0456874695;0.039462673,3.49998089;10.4999984;13.9999885,3,1.000088063811945,False,1.8258263999996416
0.5,36,40001,4,4,True,True,True,False,0.00029267354821094216,3.3779429986206346e-05,0.0447085865;0.0364115983;0.0337185362,3.00029267;3.50001067;10.4999418;13.9999675,4,1.0006020937897577,False,1.6240259999976843
0.5,37,40001,4,4,True,True,True,False,0.0001593384461520131,1.137930790099754e-05,0.0468526415;0.0344840872;0.0305324191,3.00015934;3.50002587;10.4999926;14.0000009,4,1.0002959783966885,False,1.8152327000025252
0.5,38,40001,4,4,True,True,True,False,0.0001403191363369416,2.1852967861057948e-05,0.0446465945;0.046751939;0.0451485287,3.00014032;3.50000128;10.5000198;13.9999555,4,1.0003000994092814,False,1.8190549999999348
0.5,39,40001,4,4,True,True,True,False,5.617476916519593e-06,2.785963851229904e-05,0.0476944893;0.0448550382;0.0438142391,2.99999438;3.49995828;10.4999958;13.9999623,4,1.000115709152178,False,1.91719490000105
0.5,40,40001,4,3,False,True,False,False,0.4999740946733491,2.0337961863662695e-05,0.0325146657;0.0415658382;0.0384211515,3.49997409;10.5000298;13.9999947,3,1.0000944125093008,False,1.2367596999974921
0.5,41,40001,4,4,True,True,True,False,5.739388529502065e-05,3.4773598887483104e-05,0.0316686989;0.0420768435;0.0398856592,2.99994261;3.50000808;10.499934;14.0000303,4,1.0002088151884914,False,1.9500569999981963
0.5,42,40001,4,3,False,True,False,False,0.5000006680593412,1.5058974535501571e-05,0.0411519544;0.0332532669;0.0417557467,3.50000067;10.5000236;14.0000209,3,1.0000957141798623,False,1.9792140999998082
0.5,43,40001,4,4,True,True,True,False,0.00013536492047983018,2.5518655040634997e-05,0.0415796012;0.0467697075;0.0301768,2.99986464;3.49997509;10.4999938;14.0000455,4,1.000276129945842,False,1.8991843000003428
0.5,44,40001,4,4,True,True,True,False,0.0003588938097331962,7.598782634824867e-06,0.0341504787;0.0406457846;0.0334265594,2.99964111;3.49998868;10.4999978;14.0000093,4,1.0007323673330546,False,1.9506698999975924
0.5,45,40001,4,4,True,True,True,False,6.678649717706264e-05,1.3107446137361478e-05,0.0495028822;0.0481103528;0.0428465153,2.99993321;3.50000227;10.499976;13.9999869,4,1.0002103111368537,False,1.7545309999986785
0.5,46,40001,4,4,True,True,True,False,0.00025312369808538904,2.894325107050122e-05,0.0393353352;0.0442893525;0.0412519831,2.99974688;3.49994469;10.5000178;13.9999863,4,1.0004426420492296,False,1.8286935000032827
0.5,47,40001,4,3,False,True,False,False,0.5000054814083068,2.0200293826988514e-05,0.0488066069;0.0331911877;0.0456442614,3.50000548;10.5000356;13.9999805,3,1.0000927237626644,False,1.6602643000005628
0.5,48,40001,4,4,True,True,True,False,0.00016811821279905104,3.3474289609240295e-05,0.0326168303;0.0390495483;0.0406627972,3.00016812;3.49996669;10.5000074;13.9999403,4,1.0004217408058504,False,1.673305899999832
0.5,49,40001,4,4,True,True,True,False,0.00013437331605992142,1.686257697416001e-05,0.0450790043;0.0396022706;0.031761705,2.99986563;3.49999066;10.499965;13.9999937,4,1.000299305104444,False,1.7666172999997798
