replicate,sample_count,true_k,estimated_k,false_alarm_final,first_glrt_passed,first_glrt_score,first_glrt_threshold,accepted_iterations,runtime_seconds
0,40001,0,0,False,False,19.378263190403842,29.869678849094605,0,0.013347299998713424
1,40001,0,0,False,False,20.531974360837125,29.869678849094605,0,0.004657800000131829
2,40001,0,0,False,False,20.854065383896152,29.869678849094605,0,0.004870500000833999
3,40001,0,0,False,False,21.329166749462072,29.869678849094605,0,0.012684999997873092
4,40001,0,0,False,False,17.94171745978754,29.869678849094605,0,0.005157399999006884
5,40001,0,0,False,False,19.656155706975706,29.869678849094605,0,0.005408100001659477
6,40001,0,0,False,False,21.551445060186513,29.869678849094605,0,0.005676600001606857
7,40001,0,0,False,False,19.90957247272605,29.869678849094605,0,0.013577500001701992
8,40001,0,0,False,False,25.234472408635675,29.869678849094605,0,0.004815600001165876
9,40001,0,0,False,False,20.45733322828533,29.869678849094605,0,0.004837500000576256
10,40001,0,0,False,False,23.419686487820822,29.869678849094605,0,0.004606000002240762
11,40001,0,0,False,False,17.54642201388997,29.869678849094605,0,0.004659499998524552
12,40001,0,0,False,False,20.56451244254331,29.869678849094605,0,0.014163100000587292
13,40001,0,0,False,False,21.8248929320245,29.869678849094605,0,0.004198999999061925
14,40001,0,0,False,False,20.831316230563715,29.869678849094605,0,0.005127100001118379
15,40001,0,0,False,False,19.6741975654469,29.869678849094605,0,0.005406000000220956
16,40001,0,0,False,False,17.93859479291428,29.869678849094605,0,0.0050951999983226415
17,40001,0,0,False,False,21.59191260365401,29.869678849094605,0,0.005094700001791352
18,40001,0,0,False,False,19.242542445007274,29.869678849094605,0,0.021737600000051316
19,40001,0,0,False,False,21.17412329105122,29.869678849094605,0,0.004497400001127971
20,40001,0,0,False,False,20.344994035631526,29.869678849094605,0,0.010536400001001311
21,40001,0,0,False,False,22.37416473391161,29.869678849094605,0,0.005433399997855304
22,40001,0,0,False,False,18.79696488237747,29.869678849094605,0,0.005072899999504443
23,40001,0,0,False,False,21.466968706064165,29.869678849094605,0,0.0051187999997637235
24,40001,0,0,False,False,17.655300715801342,29.869678849094605,0,0.005054699999163859
25,40001,0,0,False,False,22.23051932732077,29.869678849094605,0,0.015981399999873247
26,40001,0,0,False,False,25.415828475570784,29.869678849094605,0,0.004506799999944633
27,40001,0,0,False,False,18.989966341591252,29.869678849094605,0,0.008108399997581728
28,40001,0,0,False,False,27.001701308034228,29.869678849094605,0,0.005149000000528758
29,40001,0,0,False,False,19.394928930021596,29.869678849094605,0,0.0049022999992303085
30,40001,0,0,False,False,19.673405190447507,29.869678849094605,0,0.004721499997685896
31,40001,0,0,False,False,23.1928111689277,29.869678849094605,0,0.008403799998632167
32,40001,0,0,False,False,18.81496403449076,29.869678849094605,0,0.004766199999721721
33,40001,0,0,False,False,19.287991041201437,29.869678849094605,0,0.010705400000006193
34,40001,0,0,False,False,17.41713356717435,29.869678849094605,0,0.00467449999996461
35,40001,0,0,False,False,20.27456336588646,29.869678849094605,0,0.0056264999984705355
36,40001,0,0,False,False,22.451619168162114,29.869678849094605,0,0.006376400000590365
37,40001,0,0,False,False,18.171459074499477,29.869678849094605,0,0.005178100000193808
38,40001,0,0,False,False,21.628634576720913,29.869678849094605,0,0.010039000000688247
39,40001,0,0,False,False,17.6477101756459,29.869678849094605,0,0.009113000000070315
40,40001,0,0,False,False,25.45748456534195,29.869678849094605,0,0.005467200000566663
41,40001,0,0,False,False,20.173755255550386,29.869678849094605,0,0.006155899998702807
42,40001,0,0,False,False,18.15679912660593,29.869678849094605,0,0.015439399998285808
43,40001,0,0,False,False,18.334276188117858,29.869678849094605,0,0.005191199998080265
44,40001,0,0,False,False,21.018055573327878,29.869678849094605,0,0.005238999998255167
45,40001,0,0,False,False,16.7663784186741,29.869678849094605,0,0.005159199998161057
46,40001,0,0,False,False,20.79068232214859,29.869678849094605,0,0.0051905999971495476
47,40001,0,0,False,False,21.938545799933674,29.869678849094605,0,0.00490650000210735
48,40001,0,0,False,False,22.284307273489002,29.869678849094605,0,0.010669499999494292
49,40001,0,0,False,False,19.406264699390928,29.869678849094605,0,0.010272100000292994
50,40001,0,0,False,False,22.877044326667455,29.869678849094605,0,0.005598900002951268
51,40001,0,0,False,False,17.480195797523233,29.869678849094605,0,0.005401700000220444
52,40001,0,0,False,False,19.26464701367473,29.869678849094605,0,0.0055661000005784445
53,40001,0,0,False,False,24.830583531782935,29.869678849094605,0,0.005940600000030827
54,40001,0,0,False,False,19.53622478142583,29.869678849094605,0,0.005813799998577451
55,40001,0,0,False,False,18.70637610037304,29.869678849094605,0,0.00552100000277278
56,40001,0,0,False,False,20.919163974161556,29.869678849094605,0,0.005777200000011362
57,40001,0,0,False,False,20.916730579872414,29.869678849094605,0,0.0055492000028607436
58,40001,0,0,False,False,20.599181436952247,29.869678849094605,0,0.006020100001478568
59,40001,0,0,False,False,21.264751918997632,29.869678849094605,0,0.0051488000026438385
60,40001,0,0,False,False,21.296663707936343,29.869678849094605,0,0.008440800000244053
61,40001,0,0,False,False,22.903467586363227,29.869678849094605,0,0.008256200002506375
62,40001,0,0,False,False,21.559575472038393,29.869678849094605,0,0.00571470000068075
63,40001,0,0,False,False,23.81814848483451,29.869678849094605,0,0.004980200003046775
64,40001,0,0,False,False,20.37970493959529,29.869678849094605,0,0.005641299998387694
65,40001,0,0,False,False,19.168627793396947,29.869678849094605,0,0.005132400001457427
66,40001,0,0,False,False,20.88447005048152,29.869678849094605,0,0.004943200001434889
67,40001,0,0,False,False,21.487655703101247,29.869678849094605,0,0.005291000001307111
68,40001,0,0,False,False,19.061036607161654,29.869678849094605,0,0.0056977000022016
69,40001,0,0,False,False,18.874051165446552,29.869678849094605,0,0.005030799999076407
70,40001,0,0,False,False,20.689556558625114,29.869678849094605,0,0.005971299997327151
71,40001,0,0,False,False,19.617774682014964,29.869678849094605,0,0.006091600000218023
72,40001,0,0,False,False,18.69523534905213,29.869678849094605,0,0.010319799999706447
73,40001,0,0,False,False,21.173782337584093,29.869678849094605,0,0.009921799999574432
74,40001,0,0,False,False,19.39908125475679,29.869678849094605,0,0.006090399998356588
75,40001,0,0,False,False,18.807004353276014,29.869678849094605,0,0.0052068000004510395
76,40001,0,0,False,False,18.306685839217298,29.869678849094605,0,0.005933299999014707
77,40001,0,0,False,False,20.286149706689013,29.869678849094605,0,0.0061381999985314906
78,40001,0,0,False,False,18.90294557908323,29.869678849094605,0,0.0068342999984452035
79,40001,0,0,False,False,19.749413717569297,29.869678849094605,0,0.0069112000019231346
80,40001,0,0,False,False,19.284375049507766,29.869678849094605,0,0.006930299998202827
81,40001,0,0,False,False,19.605613280816918,29.869678849094605,0,0.006047999999282183
82,40001,0,0,False,False,17.567759374818333,29.869678849094605,0,0.009447599997656653
83,40001,0,0,False,False,19.472009254026936,29.869678849094605,0,0.005189100000279723
84,40001,0,0,False,False,20.326454207581552,29.869678849094605,0,0.005237299999862444
85,40001,0,0,False,False,22.77411227946438,29.869678849094605,0,0.009591199999704259
86,40001,0,0,False,False,20.605264407839755,29.869678849094605,0,0.006065700003091479
87,40001,0,0,False,False,19.84071735464801,29.869678849094605,0,0.007029000000329688
88,40001,0,0,False,False,19.604578521704685,29.869678849094605,0,0.006627899998420617
89,40001,0,0,False,False,19.981292075917047,29.869678849094605,0,0.006146799998532515
90,40001,0,0,False,False,21.147253386296338,29.869678849094605,0,0.005612599998130463
91,40001,0,0,False,False,22.187765461377282,29.869678849094605,0,0.005434700000478188
92,40001,0,0,False,False,22.84212012674351,29.869678849094605,0,0.00711579999915557
93,40001,0,0,False,False,19.881474300222866,29.869678849094605,0,0.010748699998657685
94,40001,0,0,False,False,19.496464722946165,29.869678849094605,0,0.006032900000718655
95,40001,0,0,False,False,20.444426623556332,29.869678849094605,0,0.006356800000503426
96,40001,0,0,False,False,21.540599562592263,29.869678849094605,0,0.01153110000086599
97,40001,0,0,False,False,20.17852931160059,29.869678849094605,0,0.00636109999686596
98,40001,0,0,False,False,22.11327039014929,29.869678849094605,0,0.006788700000470271
99,40001,0,0,False,False,27.7812365174552,29.869678849094605,0,0.0067070999975840095
100,40001,0,0,False,False,17.929062605818068,29.869678849094605,0,0.006918200000654906
101,40001,0,0,False,False,18.24809551589674,29.869678849094605,0,0.006142000002000714
102,40001,0,0,False,False,19.147522710054183,29.869678849094605,0,0.006436899999243906
103,40001,0,0,False,False,17.205757285524786,29.869678849094605,0,0.006834100000560284
104,40001,0,0,False,False,21.046017302354993,29.869678849094605,0,0.006101300001319032
105,40001,0,0,False,False,17.84662979188875,29.869678849094605,0,0.006286100000579609
106,40001,0,0,False,False,18.856156958729052,29.869678849094605,0,0.0098472000026959
107,40001,0,0,False,False,23.821716833899096,29.869678849094605,0,0.0067878999980166554
108,40001,0,0,False,False,19.510687787923988,29.869678849094605,0,0.009741800000483636
109,40001,0,0,False,False,18.81118415660051,29.869678849094605,0,0.0069851000007474795
110,40001,0,0,False,False,23.58347136013131,29.869678849094605,0,0.006275299998378614
111,40001,0,0,False,False,24.998555633248415,29.869678849094605,0,0.0057826000011118595
112,40001,0,0,False,False,22.00462634228526,29.869678849094605,0,0.006521999999677064
113,40001,0,0,False,False,20.044785262027045,29.869678849094605,0,0.006724499999108957
114,40001,0,0,False,True,30.9700442870159,29.869678849094605,0,0.11871610000162036
115,40001,0,0,False,False,19.258653921939047,29.869678849094605,0,0.006449900000006892
116,40001,0,0,False,False,19.01916619572902,29.869678849094605,0,0.006876999999803957
117,40001,0,0,False,False,21.103065518426543,29.869678849094605,0,0.006266700002015568
118,40001,0,0,False,False,26.232775965577233,29.869678849094605,0,0.011147999997774605
119,40001,0,0,False,False,22.055761731442725,29.869678849094605,0,0.0061377000020002015
120,40001,0,0,False,False,20.167644302963335,29.869678849094605,0,0.0062471999990521
121,40001,0,0,False,False,18.467616301195118,29.869678849094605,0,0.00918929999897955
122,40001,0,0,False,False,21.26024138698082,29.869678849094605,0,0.00706989999889629
123,40001,0,0,False,False,18.075442677834225,29.869678849094605,0,0.006692299997666851
124,40001,0,0,False,False,20.159746528575816,29.869678849094605,0,0.006923199998709606
125,40001,0,0,False,False,20.695971738292144,29.869678849094605,0,0.005952700001216726
126,40001,0,0,False,False,21.215639523291713,29.869678849094605,0,0.006341000000247732
127,40001,0,0,False,False,20.728827071586622,29.869678849094605,0,0.012883499999588821
128,40001,0,0,False,False,20.399632706610046,29.869678849094605,0,0.012545900000986876
129,40001,0,0,False,False,15.986505118090305,29.869678849094605,0,0.008103699998173397
130,40001,0,0,False,False,17.349717077906462,29.869678849094605,0,0.007781600001180777
131,40001,0,0,False,False,20.731197631526616,29.869678849094605,0,0.009101699997700052
132,40001,0,0,False,False,17.305495961246812,29.869678849094605,0,0.008696099997905549
133,40001,0,0,False,False,18.741588376463078,29.869678849094605,0,0.009650200001487974
134,40001,0,0,False,False,19.87554751051999,29.869678849094605,0,0.006714800001645926
135,40001,0,0,False,False,20.206288127859725,29.869678849094605,0,0.006654599998000776
136,40001,0,0,False,False,21.943348002624678,29.869678849094605,0,0.006423200000426732
137,40001,0,0,False,False,18.468045120400884,29.869678849094605,0,0.00648890000229585
138,40001,0,0,False,False,17.784124616234767,29.869678849094605,0,0.00992709999991348
139,40001,0,0,False,False,26.47419947716943,29.869678849094605,0,0.00944309999977122
140,40001,0,0,False,False,24.916439202087876,29.869678849094605,0,0.009880699999484932
141,40001,0,0,False,False,22.96404314612838,29.869678849094605,0,0.006757299997843802
142,40001,0,0,False,False,22.553771706186748,29.869678849094605,0,0.006380700000590878
143,40001,0,0,False,False,17.595477989235036,29.869678849094605,0,0.007060200001433259
144,40001,0,0,False,False,19.380636736181245,29.869678849094605,0,0.00698759999795584
145,40001,0,0,False,False,19.587141536466387,29.869678849094605,0,0.010848000001715263
146,40001,0,0,False,False,22.05528653064248,29.869678849094605,0,0.010346600000048056
147,40001,0,0,False,False,18.972101297753238,29.869678849094605,0,0.0076122999998915475
148,40001,0,0,False,False,19.668149420381113,29.869678849094605,0,0.00713980000000447
149,40001,0,0,False,False,23.883050247494996,29.869678849094605,0,0.012483099999371916
150,40001,0,0,False,False,21.384052416310908,29.869678849094605,0,0.007020799999736482
151,40001,0,0,False,False,22.800129132139965,29.869678849094605,0,0.006938899998203851
152,40001,0,0,False,False,17.43063130789603,29.869678849094605,0,0.006599399999686284
153,40001,0,0,False,False,23.28172258380086,29.869678849094605,0,0.007778299997880822
154,40001,0,0,False,False,19.11641025526393,29.869678849094605,0,0.0075657000015780795
155,40001,0,0,False,False,25.4428636228026,29.869678849094605,0,0.007792200001858873
156,40001,0,0,False,False,19.171957165141258,29.869678849094605,0,0.011248199996771291
157,40001,0,0,False,False,22.651496943959174,29.869678849094605,0,0.011300999998638872
158,40001,0,0,False,False,28.078973830827053,29.869678849094605,0,0.009924300000420772
159,40001,0,0,False,False,18.3501161593303,29.869678849094605,0,0.0076073000018368475
160,40001,0,0,False,False,18.91706889375081,29.869678849094605,0,0.007155299997975817
161,40001,0,0,False,False,18.628899488630253,29.869678849094605,0,0.006792299998778617
162,40001,0,0,False,False,19.81328853451279,29.869678849094605,0,0.007638099999894621
163,40001,0,0,False,False,21.315754445070123,29.869678849094605,0,0.010780199998407625
164,40001,0,0,False,True,31.76050266733225,29.869678849094605,0,0.1953739000018686
165,40001,0,0,False,False,18.780889270400646,29.869678849094605,0,0.007029199998214608
166,40001,0,0,False,False,18.488842102008615,29.869678849094605,0,0.007340700001805089
167,40001,0,0,False,False,28.12595501018409,29.869678849094605,0,0.007532700001320336
168,40001,0,0,False,False,21.698707405545544,29.869678849094605,0,0.012739599998894846
169,40001,0,0,False,False,27.518539917728997,29.869678849094605,0,0.0074891000003844965
170,40001,0,0,False,False,22.116399875820434,29.869678849094605,0,0.006906399998115376
171,40001,0,0,False,False,22.396280698773413,29.869678849094605,0,0.007565200001408812
172,40001,0,0,False,False,18.861713586574535,29.869678849094605,0,0.007690399997954955
173,40001,0,0,False,False,19.626642514799077,29.869678849094605,0,0.01314270000148099
174,40001,0,0,False,False,24.69596393890207,29.869678849094605,0,0.007402799998089904
175,40001,0,0,False,False,22.87938659868236,29.869678849094605,0,0.006927300000825198
176,40001,0,0,False,False,19.479846620358963,29.869678849094605,0,0.007796600002620835
177,40001,0,0,False,False,19.322268812062024,29.869678849094605,0,0.014125199999398319
178,40001,0,0,False,False,18.59438573788266,29.869678849094605,0,0.007988999997905921
179,40001,0,0,False,False,20.761252107572115,29.869678849094605,0,0.007678899997699773
180,40001,0,0,False,False,22.486879938481497,29.869678849094605,0,0.00673090000054799
181,40001,0,0,False,False,22.214310830900153,29.869678849094605,0,0.014735400000063237
182,40001,0,0,False,False,20.4282067980666,29.869678849094605,0,0.007768399998894893
183,40001,0,0,False,False,24.17821090318242,29.869678849094605,0,0.007491000000300119
184,40001,0,0,False,False,18.302506317212327,29.869678849094605,0,0.0074308000002929475
185,40001,0,0,False,False,18.59452964738567,29.869678849094605,0,0.008180700002412777
186,40001,0,0,False,True,32.91708556466856,29.869678849094605,0,0.19959609999932582
187,40001,0,0,False,False,27.485509016297147,29.869678849094605,0,0.007506800000555813
188,40001,0,0,False,False,22.603470461662386,29.869678849094605,0,0.007409800000459654
189,40001,0,0,False,False,19.406972014943385,29.869678849094605,0,0.008572700000513578
190,40001,0,0,False,False,19.229118988890768,29.869678849094605,0,0.008141199999954551
191,40001,0,0,False,False,20.508477635915344,29.869678849094605,0,0.01163059999817051
192,40001,0,0,False,False,20.547212621274106,29.869678849094605,0,0.00698019999981625
193,40001,0,0,False,False,20.761915380450215,29.869678849094605,0,0.007339900002989452
194,40001,0,0,False,False,23.507830181989043,29.869678849094605,0,0.006921599997440353
195,40001,0,0,False,False,19.876749105359984,29.869678849094605,0,0.007016600000497419
196,40001,0,0,False,False,20.18180161789576,29.869678849094605,0,0.007848199998989003
197,40001,0,0,False,False,20.85173455035345,29.869678849094605,0,0.007044800000585383
198,40001,0,0,False,False,18.876133278056262,29.869678849094605,0,0.006859599998279009
199,40001,0,0,False,False,24.811926944102577,29.869678849094605,0,0.008010099998500664
200,40001,0,0,False,False,25.111932920590036,29.869678849094605,0,0.012494499998865649
201,40001,0,0,False,False,18.9734108264349,29.869678849094605,0,0.007091200001013931
202,40001,0,0,False,False,19.843002305224548,29.869678849094605,0,0.007288900000276044
203,40001,0,0,False,False,22.971827922084593,29.869678849094605,0,0.007342199998674914
204,40001,0,0,False,False,19.223503242737326,29.869678849094605,0,0.006569400000444148
205,40001,0,0,False,False,27.87456082485428,29.869678849094605,0,0.007111499999155058
206,40001,0,0,False,False,20.592754702900493,29.869678849094605,0,0.0066674000008788425
207,40001,0,0,False,False,19.082216378631184,29.869678849094605,0,0.00829159999921103
208,40001,0,0,False,False,20.048648310850695,29.869678849094605,0,0.007259699999849545
209,40001,0,0,False,False,18.785013526704144,29.869678849094605,0,0.006981700000324054
210,40001,0,0,False,False,23.948405619660335,29.869678849094605,0,0.01396050000039395
211,40001,0,0,False,False,18.140991277936795,29.869678849094605,0,0.006857299998955568
212,40001,0,0,False,False,20.59055708145279,29.869678849094605,0,0.006810900002164999
