snr_weak_db,amplitude_ratio_weak_to_strong,amplitude_ratio_value,separation_hz,rayleigh_multiples,runs,successes,success_rate,success_ci95_low,success_ci95_high,mean_max_frequency_error_hz_if_success,median_condition_design,ill_conditioned_rate,mean_runtime_seconds
-6.0,1:1,1,0.001,0.4,200,174,0.87,0.8163353692726989,0.9097185863477437,6.132835748269768e-05,2.6288346618065823,0.0,3.781371551500106
-6.0,1:1,1,0.002,0.8,200,200,1.0,0.9811539940816791,1.0,4.7741560311886924e-05,1.2677226410239477,0.0,3.545477417500206
-6.0,1:1,1,0.0025,1.0,200,200,1.0,0.9811539940816791,1.0,2.3241719905984225e-05,1.007248666802751,0.0,3.6382279665000534
-6.0,1:1,1,0.003,1.2,200,200,1.0,0.9811539940816791,1.0,2.514907943643063e-05,1.170557925276272,0.0,3.547342282999762
-6.0,1:1,1,0.004,1.6,200,200,1.0,0.9811539940816791,1.0,1.7044758494111355e-05,1.2115157209622542,0.0,3.6742865444999735
-6.0,1:1,1,0.005,2.0,200,200,1.0,0.9811539940816791,1.0,1.7673606781358765e-05,1.0029768315497112,0.0,3.587384333000082
-6.0,1:1,1,0.008,3.2,200,200,1.0,0.9811539940816791,1.0,1.6537090931723063e-05,1.0605562704181306,0.0,2.6845140530000755
-6.0,1:1,1,0.01,4.0,200,200,1.0,0.9811539940816791,1.0,1.649261576830874e-05,1.001590196375565,0.0,2.6641130735000296
-6.0,1:1,1,0.015,6.0,200,200,1.0,0.9811539940816791,1.0,1.5881074080854596e-05,1.0009424614948381,0.0,2.580206626500003
-6.0,1:1,1,0.02,8.0,200,199,0.995,0.9722256001302286,0.999116854010634,4.10336184976408e-05,1.0014082028212266,0.0,1.6074201144999825
-6.0,1:3,3,0.001,0.4,200,156,0.78,0.7176107720803744,0.8318354646053661,5.891197928752339e-05,2.6506416541447706,0.0,4.234786297999872
-6.0,1:3,3,0.002,0.8,200,149,0.745,0.6803694869280502,0.8003959701719726,5.413814905224705e-05,1.2764882556905996,0.0,4.827127394499967
-6.0,1:3,3,0.0025,1.0,200,195,0.975,0.9428208558483829,0.9892754385292123,3.5685940299401135e-05,1.0091334758277049,0.0,3.6325128344999573
-6.0,1:3,3,0.003,1.2,200,200,1.0,0.9811539940816791,1.0,2.177569214064423e-05,1.1720646897580593,0.0,3.894973071999957
-6.0,1:3,3,0.004,1.6,200,200,1.0,0.9811539940816791,1.0,1.230607578747822e-05,1.2110385935077046,0.0,3.9333664469999166
