snr_weak_db,amplitude_ratio_weak_to_strong,amplitude_ratio_value,separation_hz,rayleigh_multiples,runs,successes,success_rate,success_ci95_low,success_ci95_high,mean_max_frequency_error_hz_if_success,median_condition_design,ill_conditioned_rate,mean_runtime_seconds
-6.0,1:1,1,0.001,0.4,8,7,0.875,0.5291051942301386,0.9775830911367038,4.331532586514848e-05,2.6961306978492043,0.0,2.4208711249984844
-6.0,1:1,1,0.002,0.8,8,8,1.0,0.6755843804891231,1.0,7.077892001694508e-05,1.2672661302342694,0.0,1.8533435124991229
-6.0,1:1,1,0.0025,1.0,8,8,1.0,0.6755843804891231,1.0,2.343397661697111e-05,1.0114453866374957,0.0,1.256702037499963
-6.0,1:1,1,0.003,1.2,8,8,1.0,0.6755843804891231,1.0,2.227170697421954e-05,1.170683476725662,0.0,1.3655934374992285
-6.0,1:1,1,0.004,1.6,8,8,1.0,0.6755843804891231,1.0,1.277872758165266e-05,1.2111128732844614,0.0,1.3812793375000183
-6.0,1:3,3,0.001,0.4,8,4,0.5,0.21521252682444186,0.7847874731755582,3.555244868969076e-05,2.063737328129863,0.0,1.3864589625000008
-6.0,1:3,3,0.002,0.8,8,6,0.75,0.40926987910258916,0.9285223111419724,3.5816219302671946e-05,1.282614801264406,0.0,2.023119624998799
-6.0,1:3,3,0.0025,1.0,8,8,1.0,0.6755843804891231,1.0,4.373359584231018e-05,1.0101746601013595,0.0,1.3991039875008937
-6.0,1:3,3,0.003,1.2,8,8,1.0,0.6755843804891231,1.0,1.7300928705998864e-05,1.1693558164575633,0.0,1.3839969250002468
-6.0,1:3,3,0.004,1.6,8,8,1.0,0.6755843804891231,1.0,1.3024346707135592e-05,1.212364316051298,0.0,1.3705496249986027
-6.0,1:10,10,0.001,0.4,8,2,0.25,0.07147768885802763,0.5907301208974108,0.00013487505420961554,6.2256336907626215,0.0,2.564109650001228
-6.0,1:10,10,0.002,0.8,8,5,0.625,0.30573785458380187,0.863158240538479,1.1554912218159075e-05,1.2768461094944263,0.0,2.2891382749985496
-6.0,1:10,10,0.0025,1.0,8,7,0.875,0.5291051942301386,0.9775830911367038,6.766336414010254e-05,1.0090131937473164,0.0,1.7048853249998501
-6.0,1:10,10,0.003,1.2,8,8,1.0,0.6755843804891231,1.0,3.9784776694862245e-05,1.173841009743635,0.0,1.3970353000004252
-6.0,1:10,10,0.004,1.6,8,8,1.0,0.6755843804891231,1.0,6.03665221121652e-06,1.2113158624398204,0.0,1.4432613125009084
-12.0,1:1,1,0.001,0.4,8,6,0.75,0.40926987910258916,0.9285223111419724,0.00014174599619772485,2.348292030222602,0.0,1.22151120000035
-12.0,1:1,1,0.002,0.8,8,8,1.0,0.6755843804891231,1.0,0.00012133246659928876,1.206297646933889,0.0,1.3736623624999993
-12.0,1:1,1,0.0025,1.0,8,8,1.0,0.6755843804891231,1.0,3.615158449665756e-05,1.0172116905464494,0.0,1.368864412500443
-12.0,1:1,1,0.003,1.2,8,8,1.0,0.6755843804891231,1.0,4.347843242002991e-05,1.168374946551665,0.0,1.3901584374998492
-12.0,1:1,1,0.004,1.6,8,8,1.0,0.6755843804891231,1.0,3.525420948735647e-05,1.2103733561703383,0.0,1.4209530625003026
-12.0,1:3,3,0.001,0.4,8,5,0.625,0.30573785458380187,0.863158240538479,0.00014611538407560687,2.9709561666281736,0.0,1.3991827000008925
-12.0,1:3,3,0.002,0.8,8,7,0.875,0.5291051942301386,0.9775830911367038,6.83700742262364e-05,1.325446241212676,0.0,1.4497930500010625
-12.0,1:3,3,0.0025,1.0,8,8,1.0,0.6755843804891231,1.0,3.645627392079298e-05,1.014583761683295,0.0,1.4206904250013395
-12.0,1:3,3,0.003,1.2,8,8,1.0,0.6755843804891231,1.0,2.9957580955142227e-05,1.1738865658983635,0.0,1.4067289750009877
-12.0,1:3,3,0.004,1.6,8,8,1.0,0.6755843804891231,1.0,2.175290276629216e-05,1.212266996601755,0.0,1.3892324750004263
-12.0,1:10,10,0.001,0.4,8,4,0.5,0.21521252682444186,0.7847874731755582,0.00010957742610351318,3.277968774874697,0.0,2.0125294875006148
-12.0,1:10,10,0.002,0.8,8,5,0.625,0.30573785458380187,0.863158240538479,0.00014458441660796239,1.3355725977983015,0.0,2.2813278625008024
-12.0,1:10,10,0.0025,1.0,8,8,1.0,0.6755843804891231,1.0,8.166897993056033e-05,1.0153730085548216,0.0,1.4221650750014305
-12.0,1:10,10,0.003,1.2,8,8,1.0,0.6755843804891231,1.0,3.542135422640591e-05,1.1756137482751912,0.0,1.3941345124994768
-12.0,1:10,10,0.004,1.6,8,8,1.0,0.6755843804891231,1.0,2.6712673992457248e-05,1.209888502206197,0.0,1.4120462874989244
-18.0,1:1,1,0.001,0.4,8,0,0.0,0.0,0.3244156195108769,nan,1.0000453089556243,0.0,0.5710420874984266
-18.0,1:1,1,0.002,0.8,8,8,1.0,0.6755843804891231,1.0,0.0001048323277685892,1.2340658983155262,0.0,1.3775434749995839
-18.0,1:1,1,0.0025,1.0,8,8,1.0,0.6755843804891231,1.0,0.00012023941421412943,1.0360119011863698,0.0,1.3916455500002485
-18.0,1:1,1,0.003,1.2,8,8,1.0,0.6755843804891231,1.0,7.328730041167297e-05,1.1740166512497685,0.0,1.3901616750008543
-18.0,1:1,1,0.004,1.6,8,8,1.0,0.6755843804891231,1.0,6.321500289763193e-05,1.2104173889504213,0.0,1.4121726374996797
-18.0,1:3,3,0.001,0.4,8,5,0.625,0.30573785458380187,0.863158240538479,0.00010933693240442466,2.473631539610685,0.0,0.9119176124995647
-18.0,1:3,3,0.002,0.8,8,6,0.75,0.40926987910258916,0.9285223111419724,0.00012430085073648436,1.312598274113983,0.0,1.4261606999980359
-18.0,1:3,3,0.0025,1.0,8,8,1.0,0.6755843804891231,1.0,0.0001498382368887441,1.0250992512434811,0.0,1.392884425000375
-18.0,1:3,3,0.003,1.2,8,8,1.0,0.6755843804891231,1.0,4.098659403106719e-05,1.1743973155437981,0.0,1.386856974998409
-18.0,1:3,3,0.004,1.6,8,8,1.0,0.6755843804891231,1.0,3.996217283774861e-05,1.215569056712236,0.0,1.4274559374998717
-18.0,1:10,10,0.001,0.4,8,4,0.5,0.21521252682444186,0.7847874731755582,0.0001246457626016273,2.438253211175845,0.0,1.7997589125006925
-18.0,1:10,10,0.002,0.8,8,6,0.75,0.40926987910258916,0.9285223111419724,8.484122561499181e-05,1.2907237423983604,0.0,1.3827836999989813
-18.0,1:10,10,0.0025,1.0,8,8,1.0,0.6755843804891231,1.0,6.081358597964659e-05,1.0121621631355482,0.0,1.4526287750004485
-18.0,1:10,10,0.003,1.2,8,8,1.0,0.6755843804891231,1.0,9.22410628519943e-05,1.1700986417633141,0.0,1.43039596250037
-18.0,1:10,10,0.004,1.6,8,8,1.0,0.6755843804891231,1.0,4.3787358452673786e-05,1.2055410269721771,0.0,1.2370289125019553
