snr_weak_db,amplitude_ratio_weak_to_strong,amplitude_ratio_value,separation_hz,replicate,center_hz,true_frequency_1_hz,true_frequency_2_hz,weak_amplitude,strong_amplitude,noise_std,phase_1_rad,phase_2_rad,phase_difference_abs_rad,phase_bin,detector,estimated_k,success,max_frequency_error_hz,tolerance_hz,estimated_frequencies_hz,bic_improvement,candidate_origin,conditional_glrt_statistic,conditional_glrt_threshold,condition_design,ill_conditioned,runtime_seconds,signal_generation_runtime_seconds,detector_runtime_seconds,trial_total_runtime_seconds,fit_backend
-6.0,1:1,1,0.001,0,5.0,4.9995,5.0005,0.01,0.01,0.014108635131604638,0.319837513043292,-2.545313805424334,2.865151318467626,7,complete,2,True,5.890182651047127e-05,0.00025,4.99955890183;5.00051405729,2667.776974361681,split_0.40_over_T,nan,nan,2.8201255843094,False,2.393789399997331,0.011158199995406903,2.393789399997331,2.4050128999951994,cached
-6.0,1:1,1,0.001,1,5.0,4.9995,5.0005,0.01,0.01,0.014108635131604638,2.329630196487609,-0.3452521726000044,2.6748823690876136,6,complete,2,True,3.6964929296168236e-05,0.00025,4.99953696493;5.0005209842,2122.3778003747575,split_0.40_over_T,nan,nan,2.7336818960632967,False,2.5646171999978833,0.011581500002648681,2.5646171999978833,2.57627190000494,cached
-6.0,1:1,1,0.001,2,5.0,4.9995,5.0005,0.01,0.01,0.014108635131604638,2.8572485542093897,-0.06136382269156471,2.9186123769009544,7,complete,2,True,2.7002325565739227e-05,0.00025,4.99949526347;5.00047299767,2590.460299617087,split_0.40_over_T,nan,nan,2.7520331268897458,False,2.694499999997788,0.013907900000049267,2.694499999997788,2.7084719999984372,cached
-6.0,1:1,1,0.001,3,5.0,4.9995,5.0005,0.01,0.01,0.014108635131604638,-2.701795956184649,-0.512933491421264,2.188862464763385,5,complete,2,False,0.00033588148593732825,0.00025,4.99916411851;5.00076593517,2548.7038936756435,residual_peak,nan,nan,1.621714561416499,False,2.978008999998565,0.012471000001823995,2.978008999998565,2.990559599995322,cached
-6.0,1:1,1,0.001,4,5.0,4.9995,5.0005,0.01,0.01,0.014108635131604638,-0.215230907771069,-2.6643292030768024,2.4490982953057334,6,complete,2,True,2.8515169042009347e-05,0.00025,4.99951798996;5.00052851517,1567.804211553128,split_0.40_over_T,nan,nan,2.6585794996351115,False,3.209192999995139,0.014410199997655582,3.209192999995139,3.223682899995765,cached
-6.0,1:1,1,0.001,5,5.0,4.9995,5.0005,0.01,0.01,0.014108635131604638,-0.7105846772396882,-2.966296181625029,2.255711504385341,5,complete,2,True,6.713661013346695e-05,0.00025,4.99954316467;5.00056713661,1233.4911794884829,local_close_pair_resolver,nan,nan,2.621971261435412,False,0.8881185999998706,0.0014824000027147122,0.8881185999998706,0.8896698000025935,cached
-6.0,1:1,1,0.001,6,5.0,4.9995,5.0005,0.01,0.01,0.014108635131604638,-0.5254151590565699,-2.039542930211315,1.5141277711547452,3,complete,2,True,1.1987860048634502e-05,0.00025,4.99951198786;5.00048842507,169.2016144245863,split_0.40_over_T,nan,nan,2.7558733787187593,False,3.611817600001814,0.015324499996495433,3.611817600001814,3.627217599998403,cached
-6.0,1:1,1,0.001,7,5.0,4.9995,5.0005,0.01,0.01,0.014108635131604638,0.034955406055438676,-1.0937887469203327,1.1287441529757714,2,complete,2,True,7.269856045954981e-05,0.00025,4.99955177253;5.00057269856,156.3969894470647,split_0.40_over_T,nan,nan,2.630192996267737,False,1.0269241999994847,0.0014114000005065463,1.0269241999994847,1.0284179999944172,cached
-6.0,1:1,1,0.002,0,5.0,4.999,5.001,0.01,0.01,0.014108635131604638,-0.16429491987021283,-2.639989128034358,2.4756942081641453,6,complete,2,True,0.0001572292013793941,0.0005,4.9988427708;5.00091323955,1930.2118586087017,split_0.65_over_T,nan,nan,1.2215647951408874,False,1.075253299997712,0.0016453999996883795,1.075253299997712,1.0769693999973242,cached
-6.0,1:1,1,0.002,1,5.0,4.999,5.001,0.01,0.01,0.014108635131604638,1.4702347522310983,-1.173107695679792,2.6433424479108902,6,complete,2,True,0.00018662209225084325,0.0005,4.99918662209;5.00117951646,1787.99161641323,local_close_pair_resolver,nan,nan,1.2741167787743752,False,3.810776899998018,0.01983450000261655,3.810776899998018,3.830699400001322,cached
