snr_weak_db,amplitude_ratio_weak_to_strong,amplitude_ratio_value,separation_hz,runs,random_phase_average_success_rate,worst_phase_bin_success_rate,best_phase_bin_success_rate,phase_bin_count_used
-6.0,1:1,1,0.001,8,0.875,nan,nan,0
-6.0,1:1,1,0.002,8,1.0,nan,nan,0
-6.0,1:1,1,0.0025,8,1.0,nan,nan,0
-6.0,1:1,1,0.003,8,1.0,nan,nan,0
-6.0,1:1,1,0.004,8,1.0,nan,nan,0
-6.0,1:3,3,0.001,8,0.5,nan,nan,0
-6.0,1:3,3,0.002,8,0.75,nan,nan,0
-6.0,1:3,3,0.0025,8,1.0,nan,nan,0
-6.0,1:3,3,0.003,8,1.0,nan,nan,0
-6.0,1:3,3,0.004,8,1.0,nan,nan,0
-6.0,1:10,10,0.001,8,0.25,nan,nan,0
-6.0,1:10,10,0.002,8,0.625,nan,nan,0
-6.0,1:10,10,0.0025,8,0.875,nan,nan,0
-6.0,1:10,10,0.003,8,1.0,nan,nan,0
-6.0,1:10,10,0.004,8,1.0,nan,nan,0
-12.0,1:1,1,0.001,8,0.75,nan,nan,0
-12.0,1:1,1,0.002,8,1.0,nan,nan,0
-12.0,1:1,1,0.0025,8,1.0,nan,nan,0
-12.0,1:1,1,0.003,8,1.0,nan,nan,0
-12.0,1:1,1,0.004,8,1.0,nan,nan,0
-12.0,1:3,3,0.001,8,0.625,nan,nan,0
-12.0,1:3,3,0.002,8,0.875,nan,nan,0
-12.0,1:3,3,0.0025,8,1.0,nan,nan,0
-12.0,1:3,3,0.003,8,1.0,nan,nan,0
-12.0,1:3,3,0.004,8,1.0,nan,nan,0
-12.0,1:10,10,0.001,8,0.5,nan,nan,0
-12.0,1:10,10,0.002,8,0.625,nan,nan,0
-12.0,1:10,10,0.0025,8,1.0,nan,nan,0
-12.0,1:10,10,0.003,8,1.0,nan,nan,0
-12.0,1:10,10,0.004,8,1.0,nan,nan,0
-18.0,1:1,1,0.001,8,0.0,nan,nan,0
-18.0,1:1,1,0.002,8,1.0,nan,nan,0
-18.0,1:1,1,0.0025,8,1.0,nan,nan,0
-18.0,1:1,1,0.003,8,1.0,nan,nan,0
-18.0,1:1,1,0.004,8,1.0,nan,nan,0
-18.0,1:3,3,0.001,8,0.625,nan,nan,0
-18.0,1:3,3,0.002,8,0.75,nan,nan,0
-18.0,1:3,3,0.0025,8,1.0,nan,nan,0
-18.0,1:3,3,0.003,8,1.0,nan,nan,0
-18.0,1:3,3,0.004,8,1.0,nan,nan,0
-18.0,1:10,10,0.001,8,0.5,nan,nan,0
-18.0,1:10,10,0.002,8,0.75,nan,nan,0
-18.0,1:10,10,0.0025,8,1.0,nan,nan,0
-18.0,1:10,10,0.003,8,1.0,nan,nan,0
-18.0,1:10,10,0.004,8,1.0,nan,nan,0
