snr_weak_db,amplitude_ratio_weak_to_strong,amplitude_ratio_value,separation_hz,runs,mean_runtime_seconds,mean_signal_generation_runtime_seconds,mean_detector_runtime_seconds,mean_trial_total_runtime_seconds,max_trial_total_runtime_seconds
-6.0,1:1,1,0.001,8,2.8676216749981904,0.009566699999595585,2.8676216749981904,2.877282262499648,4.289812399998482
-6.0,1:1,1,0.002,8,2.458062987499943,0.005585512499237666,2.458062987499943,2.463736962499752,5.3671572000021115
-6.0,1:1,1,0.0025,8,1.8433940500008248,0.0019830000010188087,1.8433940500008248,1.8454571750007744,2.004813400002604
-6.0,1:1,1,0.003,8,2.0219335624997257,0.0019278000017948216,2.0219335624997257,2.023941975001435,2.2565078000043286
-6.0,1:1,1,0.004,8,2.0040588125002614,0.0018695375010793214,2.0040588125002614,2.0060473375015135,2.11217680000118
-6.0,1:3,3,0.001,8,2.004367287499008,0.0022851000021546497,2.004367287499008,2.00674280000203,2.06626359999791
-6.0,1:3,3,0.002,8,2.752261024998006,0.0018985000015163678,2.752261024998006,2.754318262502238,5.058151400000497
-6.0,1:3,3,0.0025,8,1.9933272625003156,0.002040575001956313,1.9933272625003156,1.9954767000017455,2.08493940000335
-6.0,1:3,3,0.003,8,2.015564974998597,0.0020771000017703045,2.015564974998597,2.017737412500537,2.070139700001164
-6.0,1:3,3,0.004,8,1.9814003375004177,0.0015992625003491412,1.9814003375004177,1.9830787750006493,2.056871600005252
-6.0,1:10,10,0.001,8,3.4715416874996663,0.001953499999217456,3.4715416874996663,3.4735727249990305,5.076459399999294
-6.0,1:10,10,0.002,8,3.1313873124991005,0.001576999999997497,3.1313873124991005,3.133038025001042,5.205495300004259
-6.0,1:10,10,0.0025,8,2.386098637500254,0.002807712501635251,2.386098637500254,2.38899208750081,4.955503600001975
-6.0,1:10,10,0.003,8,1.9569139624991294,0.002120475000992883,1.9569139624991294,1.9591382000016893,2.019106899999315
-6.0,1:10,10,0.004,8,2.048239137499877,0.0020852250008829287,2.048239137499877,2.0504169875002844,2.2868894999992335
-12.0,1:1,1,0.001,8,1.7940215249991525,0.002173962499909976,1.7940215249991525,1.7962936000003538,2.092528699999093
-12.0,1:1,1,0.002,8,1.961285187498106,0.0017187625016958918,1.961285187498106,1.9630837875001816,2.0214689999993425
-12.0,1:1,1,0.0025,8,1.9587187249990166,0.0018863000013880082,1.9587187249990166,1.960712850001073,2.044177200004924
-12.0,1:1,1,0.003,8,1.9801798999997118,0.0023022625009616604,1.9801798999997118,1.9825896125003055,2.0879748000006657
-12.0,1:1,1,0.004,8,2.0636942124992856,0.002619787499497761,2.0636942124992856,2.0664362624993373,2.1521450000000186
-12.0,1:3,3,0.001,8,2.0542978499997844,0.002432962498460256,2.0542978499997844,2.056859849997636,2.149638099996082
-12.0,1:3,3,0.002,8,2.0328698125013034,0.0020021875006932532,2.0328698125013034,2.034962762500072,2.358776000000944
-12.0,1:3,3,0.0025,8,2.0662151874967094,0.0020894749995932216,2.0662151874967094,2.0684380000011515,2.288191100000404
-12.0,1:3,3,0.003,8,2.0288535750005394,0.0025514750013826415,2.0288535750005394,2.0315034250006647,2.092950899997959
-12.0,1:3,3,0.004,8,1.9578353499982768,0.0021262749987727148,1.9578353499982768,1.9600718375004362,2.0838023999967845
-12.0,1:10,10,0.001,8,2.8825731125007223,0.002187662500546139,2.8825731125007223,2.8848668999999063,5.408347399999911
-12.0,1:10,10,0.002,8,3.2420798249986547,0.0020266500005163834,3.2420798249986547,3.244182700001147,5.237008200005221
-12.0,1:10,10,0.0025,8,1.9826563750002606,0.0017647499998929561,1.9826563750002606,1.9845056125004703,2.04288909999741
-12.0,1:10,10,0.003,8,1.9974834374997954,0.0018597874986880925,1.9974834374997954,1.999454174998391,2.077809599999455
-12.0,1:10,10,0.004,8,2.0703836125003363,0.0022407749993362813,2.0703836125003363,2.0727582749996145,2.120998899998085
-18.0,1:1,1,0.001,8,0.8290243000010378,0.0024784374991213554,0.8290243000010378,0.831584925000243,2.0324435999937123
-18.0,1:1,1,0.002,8,2.000942500000747,0.0027503500004968373,2.000942500000747,2.003789474999394,2.0476854000007734
-18.0,1:1,1,0.0025,8,2.0037422374989546,0.0019263499998487532,2.0037422374989546,2.005759874999967,2.048952699995425
-18.0,1:1,1,0.003,8,2.0133768250016146,0.0019069500003752182,2.0133768250016146,2.0153846125012933,2.1073876000009477
-18.0,1:1,1,0.004,8,2.0033321874980174,0.0026363000006313086,2.0033321874980174,2.00607029999901,2.0854610999958823
-18.0,1:3,3,0.001,8,1.3626329374992565,0.0021297249995768652,1.3626329374992565,1.3648589249987708,2.2323328999991645
-18.0,1:3,3,0.002,8,2.022600499998589,0.0019353624993527774,2.022600499998589,2.0246465374984837,2.0978773000024376
-18.0,1:3,3,0.0025,8,2.0210238125000615,0.0018561750002845656,2.0210238125000615,2.022981475000961,2.1196388000025763
-18.0,1:3,3,0.003,8,2.090514587501275,0.0019231875003242749,2.090514587501275,2.0925462125014747,2.181196199999249
-18.0,1:3,3,0.004,8,2.118128150003031,0.0018898874996011727,2.118128150003031,2.120139674998427,2.337606599998253
-18.0,1:10,10,0.001,8,2.5718314250007097,0.001934800000526593,2.5718314250007097,2.5738599500009514,5.177826799998002
-18.0,1:10,10,0.002,8,2.0078041874994597,0.0022992374970272067,2.0078041874994597,2.0101998999998614,2.10791440000321
-18.0,1:10,10,0.0025,8,2.0658008125010383,0.0018245125029352494,2.0658008125010383,2.0677071375021114,2.404204900005425
-18.0,1:10,10,0.003,8,1.9833530124988101,0.0018278124998687417,1.9833530124988101,1.9852806999997483,2.0181370999998762
-18.0,1:10,10,0.004,8,1.774107725000249,0.0022040374997231993,1.774107725000249,1.7763843749989974,2.0271031000011135
