p_fa,mc_runs,threshold_mean,threshold_std,threshold_cv_pct,threshold_min,threshold_max,threshold_range_pct,n_seeds
0.01,100,28.123013063092746,1.3309694354776849,4.73267011785584,26.677970425970067,29.298710363860707,9.318844790958654,3
0.01,200,28.45827180599926,0.22669749968276565,0.796596157448239,28.310316937152457,28.719262004561397,1.4369989512951753,3
0.01,500,28.532518382873935,0.2832473579483278,0.9927176919592953,28.239858802368836,28.80530703299262,1.9817676905911745,3
0.01,1000,28.59126624402892,0.21974529216250377,0.7685748867747192,28.361996067841602,28.800052185336245,1.532132623143712,3
0.01,2000,28.943528643963585,0.456021568129617,1.575556227919446,28.57718350038917,29.454266625148634,3.0303254850109136,3
0.01,5000,29.15159147769853,0.4219573683559202,1.4474591161814436,28.664814461236485,29.41325901470806,2.567422619256133,3
0.05,100,25.988813647763294,0.8815391311074128,3.3919945060027072,24.997200005369923,26.683713481991898,6.489382314560264,3
0.05,200,25.359253193942212,0.543584955748942,2.143536923551017,24.737011700206196,25.741761942053117,3.9620655788354773,3
0.05,500,25.552195660884994,0.2678800336692552,1.048364051467103,25.245425566158698,25.739914280373036,1.9352102683343788,3
0.05,1000,25.686224970628263,0.1884060550541173,0.7334906365943468,25.486421580816604,25.86066387534156,1.4569766283402767,3
0.05,2000,25.74719438282342,0.23998179097152184,0.9320696748676413,25.516729443941987,25.99567734553783,1.8601945302256278,3
0.05,5000,25.729843861601967,0.06393144188954943,0.24847193878606375,25.669816334614556,25.79706987126422,0.49457562717499454,3
0.1,100,24.469795900921568,1.00694529139845,4.115053903496298,23.309706181050785,25.117536412542325,7.388006989561585,3
0.1,200,24.188933358402295,0.9349863218354574,3.865347462750686,23.24055539629363,25.109926382365103,7.728207599621695,3
0.1,500,24.17930285870612,0.4353094391917015,1.8003390822947645,23.687796249596555,24.516216723541145,3.426155331216692,3
0.1,1000,24.32067354005689,0.33154288541546956,1.3632142418646767,23.984073466156726,24.64691653366354,2.7254305536197028,3
0.1,2000,24.32437964543094,0.23657568877128288,0.9725867307605558,24.09370463707598,24.56644456143371,1.9434819356082846,3
0.1,5000,24.284168141989735,0.10859524610235882,0.44718536565634653,24.17884494848647,24.39576356738619,0.8932511817221566,3
