amplitude_case,separation_hz,runs,main_success_rate,music_success_rate,music_grid_step_hz
equal,0.00025,10,0.0,0.0,2.5e-05
equal,0.0005,10,0.0,0.0,2.5e-05
equal,0.00075,10,0.0,0.0,2.5e-05
equal,0.001,10,0.0,0.0,2.5e-05
equal,0.0015,10,0.1,0.0,2.5e-05
equal,0.002,10,0.1,0.2,2.5e-05
equal,0.0025,10,0.1,0.3,2.5e-05
equal,0.003,10,0.0,0.4,2.5e-05
equal,0.004,10,0.2,0.5,2.5e-05
equal,0.005,10,1.0,1.0,2.5e-05
equal,0.0075,10,1.0,1.0,2.5e-05
equal,0.01,10,1.0,1.0,2.5e-05
unequal,0.00025,10,0.0,0.0,2.5e-05
unequal,0.0005,10,0.0,0.0,2.5e-05
unequal,0.00075,10,0.0,0.0,2.5e-05
unequal,0.001,10,0.0,0.0,2.5e-05
unequal,0.0015,10,0.0,0.0,2.5e-05
unequal,0.002,10,0.2,0.0,2.5e-05
unequal,0.0025,10,0.2,0.0,2.5e-05
unequal,0.003,10,0.0,0.4,2.5e-05
unequal,0.004,10,0.1,0.1,2.5e-05
unequal,0.005,10,0.7,1.0,2.5e-05
unequal,0.0075,10,1.0,1.0,2.5e-05
unequal,0.01,10,1.0,1.0,2.5e-05
