snr_total_db,replicate,sample_count,true_k,estimated_k,correct_k,frequency_mae_hz,amplitude_relative_error,phase_mae_rad,waveform_rmse,condition_design,ill_conditioned,runtime_seconds,component_1_snr_db,component_2_snr_db,component_3_snr_db,component_4_snr_db
-20.0,0,40001,4,3,False,nan,nan,nan,0.00905461987504172,1.0001099382594438,False,0.2904656999744475,-28.689929727680298,-26.391652600996647,-33.885711391923444,-22.259279437616357
-20.0,1,40001,4,3,False,nan,nan,nan,0.008678609994742802,1.0001197063043525,False,0.28052490000845864,-28.689929727680298,-26.391652600996647,-33.885711391923444,-22.259279437616357
-20.0,2,40001,4,2,False,nan,nan,nan,0.016213519099173724,1.0000831081052175,False,0.32251650001853704,-28.689929727680298,-26.391652600996647,-33.885711391923444,-22.259279437616357
-20.0,3,40001,4,3,False,nan,nan,nan,0.009616551283559713,1.0001263134396812,False,0.30097929999465123,-28.689929727680298,-26.391652600996647,-33.885711391923444,-22.259279437616357
-20.0,4,40001,4,3,False,nan,nan,nan,0.009453003107720915,1.000190886935205,False,0.2830130000365898,-28.689929727680298,-26.391652600996647,-33.885711391923444,-22.259279437616357
-20.0,5,40001,4,3,False,nan,nan,nan,0.009151449400665777,1.000166799445575,False,0.3376447000191547,-28.689929727680298,-26.391652600996647,-33.885711391923444,-22.259279437616357
-20.0,6,40001,4,3,False,nan,nan,nan,0.00979494687010825,1.00016013196341,False,0.2989763999939896,-28.689929727680298,-26.391652600996647,-33.885711391923444,-22.259279437616357
-20.0,7,40001,4,3,False,nan,nan,nan,0.008680143381403903,1.0001054318458018,False,0.27714959997683764,-28.689929727680298,-26.391652600996647,-33.885711391923444,-22.259279437616357
-20.0,8,40001,4,3,False,nan,nan,nan,0.008259493085094423,1.0000698373475043,False,0.27802800002973527,-28.689929727680298,-26.391652600996647,-33.885711391923444,-22.259279437616357
-20.0,9,40001,4,3,False,nan,nan,nan,0.009265441463589602,1.0001024526752393,False,0.2796682000043802,-28.689929727680298,-26.391652600996647,-33.885711391923444,-22.259279437616357
-15.0,0,40001,4,3,False,nan,nan,nan,0.00806719496241152,1.000106282728187,False,0.26891969999996945,-23.689929727680298,-21.391652600996647,-28.885711391923444,-17.259279437616357
-15.0,1,40001,4,3,False,nan,nan,nan,0.008603638371429688,1.0001196226765472,False,0.25357010000152513,-23.689929727680298,-21.391652600996647,-28.885711391923444,-17.259279437616357
-15.0,2,40001,4,4,True,3.553685223389724e-05,0.05209764376473759,0.04216790712127044,0.002070259980104709,1.000135373162462,False,0.5120438000303693,-23.689929727680298,-21.391652600996647,-28.885711391923444,-17.259279437616357
-15.0,3,40001,4,4,True,4.3074467971915276e-05,0.06880722872724523,0.12451127017425906,0.004527894827798899,1.000130393728527,False,0.4327687999466434,-23.689929727680298,-21.391652600996647,-28.885711391923444,-17.259279437616357
-15.0,4,40001,4,4,True,8.822481898940193e-05,0.062179995556023215,0.13829706160420963,0.003816410894002587,1.000264217784163,False,0.4240921000018716,-23.689929727680298,-21.391652600996647,-28.885711391923444,-17.259279437616357
-15.0,5,40001,4,4,True,0.0001461352420896178,0.027011865985869424,0.1590388324253539,0.0034525835607713373,1.0002667430207806,False,0.4625932999770157,-23.689929727680298,-21.391652600996647,-28.885711391923444,-17.259279437616357
-15.0,6,40001,4,4,True,8.255459230588347e-05,0.062007717423511306,0.17013962382341957,0.0031071728642874156,1.0002011485772753,False,0.45199929998489097,-23.689929727680298,-21.391652600996647,-28.885711391923444,-17.259279437616357
-15.0,7,40001,4,4,True,0.00011065529889930925,0.06704311601070688,0.1674781021565697,0.004176650587412016,1.0001299827334131,False,0.4652850999846123,-23.689929727680298,-21.391652600996647,-28.885711391923444,-17.259279437616357
-15.0,8,40001,4,4,True,8.844972849308963e-05,0.048946139496397575,0.133127360573023,0.0032045540016617446,1.0001959643517346,False,0.4134541000239551,-23.689929727680298,-21.391652600996647,-28.885711391923444,-17.259279437616357
-15.0,9,40001,4,4,True,5.785251749579334e-05,0.0931643704345192,0.131394136862538,0.004224483752048498,1.0001382634695337,False,0.4264162000035867,-23.689929727680298,-21.391652600996647,-28.885711391923444,-17.259279437616357
-12.0,0,40001,4,4,True,3.641597943870867e-05,0.09809237470819517,0.025537107399799284,0.0029883760479985752,1.000168077297214,False,0.47049179999157786,-20.689929727680294,-18.391652600996647,-25.885711391923444,-14.259279437616357
-12.0,1,40001,4,4,True,0.00011506072737998974,0.038476139970010155,0.16512835902196557,0.0029858018105452804,1.000126695310588,False,0.48859470000024885,-20.689929727680294,-18.391652600996647,-25.885711391923444,-14.259279437616357
-12.0,2,40001,4,4,True,5.5242150087342345e-05,0.015605028872312094,0.050561670390119745,0.001637706614543592,1.0001451802313397,False,0.4428129000007175,-20.689929727680294,-18.391652600996647,-25.885711391923444,-14.259279437616357
-12.0,3,40001,4,4,True,4.933358807657218e-05,0.03601066399919642,0.084363125420432,0.00227678132415546,1.0002268478080212,False,0.40622760000405833,-20.689929727680294,-18.391652600996647,-25.885711391923444,-14.259279437616357
-12.0,4,40001,4,4,True,6.426286967087247e-05,0.06123357334593601,0.15786964676231577,0.00322384110585566,1.000135162493481,False,0.4179674999904819,-20.689929727680294,-18.391652600996647,-25.885711391923444,-14.259279437616357
-12.0,5,40001,4,4,True,4.773259003820751e-05,0.02741291866855299,0.10924253217420847,0.0018068199276390952,1.000209485100407,False,0.43360069999471307,-20.689929727680294,-18.391652600996647,-25.885711391923444,-14.259279437616357
-12.0,6,40001,4,4,True,1.7047116668389428e-05,0.0776284082669654,0.07583719902594399,0.002686009722309268,1.0001511508366745,False,0.4529449999681674,-20.689929727680294,-18.391652600996647,-25.885711391923444,-14.259279437616357
-12.0,7,40001,4,4,True,3.455641748451033e-05,0.047158584706080815,0.06780156831356061,0.0017506137692653778,1.000186542838744,False,0.4247400000458583,-20.689929727680294,-18.391652600996647,-25.885711391923444,-14.259279437616357
