amplitude_case,separation_hz,rayleigh_multiples,runs,main_success_rate,main_ci95_low,main_ci95_high,music_success_rate,music_ci95_low,music_ci95_high,median_condition_design,max_condition_design,ill_conditioned_rate,mean_main_runtime_seconds,mean_music_runtime_seconds,priority_for_more_runs
equal,0.00025,0.1,200,0.0,0.0,0.018846005918320894,0.0,0.0,0.018846005918320894,1.0781604772120033,1.4509152248041002,0.0,0.07028889499979414,0.028541741499757335,False
equal,0.0005,0.2,200,0.0,0.0,0.018846005918320894,0.0,0.0,0.018846005918320894,1.0920089640035782,25084.024748632964,0.0,0.07875426199967478,0.030927120000014838,False
equal,0.00075,0.3,200,0.0,0.0,0.018846005918320894,0.0,0.0,0.018846005918320894,1.0918136385995378,1.5545416756590258,0.0,0.0706402475001596,0.028198909500097215,False
equal,0.001,0.4,200,0.005,0.0008831459893662054,0.02777439986977148,0.0,0.0,0.018846005918320894,1.0967216526110293,208.1135170466213,0.0,0.07655946650011174,0.03049265000005107,False
equal,0.0015,0.6,200,0.06,0.0346518499012715,0.10193263530685089,0.01,0.0027466006037749346,0.03572248519617954,1.1070969708135805,23208.877226674136,0.0,0.0766577829999369,0.030373270499803765,False
equal,0.002,0.8,200,0.475,0.4069150074009861,0.54402729289493,0.2,0.15045120743928825,0.26085639611170436,1.1139930177486912,154.46875687262175,0.0,0.07160721950000153,0.028676423000106296,False
equal,0.0025,1.0,200,0.945,0.9042120755340645,0.9690149791986299,0.715,0.648845269187895,0.773050948267227,1.1528333447285382,1.5227541636656974,0.0,0.0736546145000466,0.028720634499950392,False
equal,0.003,1.2,200,0.99,0.9642775148038205,0.9972533993962251,0.97,0.9361048802675267,0.9861798741692518,1.2294051080369957,1.7946036312399627,0.0,0.08139679000010801,0.028577607499973966,False
equal,0.004,1.6,200,1.0,0.9811539940816791,1.0,1.0,0.9811539940816791,1.0,1.1977680517276486,1.2470280570527417,0.0,0.07313561250011844,0.027514540999982275,False
equal,0.005,2.0,200,1.0,0.9811539940816791,1.0,1.0,0.9811539940816791,1.0,1.0158051912470771,1.0673564074959832,0.0,0.07074121499976173,0.027399053999652097,False
equal,0.0075,3.0,200,1.0,0.9811539940816791,1.0,1.0,0.9811539940816791,1.0,1.0063635621208311,1.0314465732379294,0.0,0.09382136000025638,0.033195566999929725,False
equal,0.01,4.0,200,1.0,0.9811539940816791,1.0,1.0,0.9811539940816791,1.0,1.004407443831541,1.0248695617297046,0.0,0.08937225850004324,0.031025507500271488,False
unequal,0.00025,0.1,200,0.0,0.0,0.018846005918320894,0.0,0.0,0.018846005918320894,1.087418407500199,2.464465003107902,0.0,0.07491694799980905,0.027764247999948567,False
unequal,0.0005,0.2,200,0.0,0.0,0.018846005918320894,0.0,0.0,0.018846005918320894,1.0888743288652274,2.143809416819316,0.0,0.07298237350005365,0.02826269049990515,False
unequal,0.00075,0.3,200,0.0,0.0,0.018846005918320894,0.0,0.0,0.018846005918320894,1.092500490968873,1.648183867778331,0.0,0.08120994199976848,0.029115117500368798,False
unequal,0.001,0.4,200,0.0,0.0,0.018846005918320894,0.0,0.0,0.018846005918320894,1.0956155479253165,1.6370708033237804,0.0,0.07119659100022545,0.026854370999972163,False
unequal,0.0015,0.6,200,0.025,0.010724561470787711,0.05717914415161715,0.0,0.0,0.018846005918320894,1.0961593191681664,6.613057420239823,0.0,0.07960282000018197,0.028869060999859357,False
unequal,0.002,0.8,200,0.345,0.2825968690139029,0.41324539282077655,0.025,0.010724561470787711,0.05717914415161715,1.1161517049844472,3.051801368077603,0.0,0.08508933750013967,0.029322978999989573,False
unequal,0.0025,1.0,200,0.665,0.5970206277343806,0.7267601903125736,0.165,0.11996784122663977,0.22265898273863527,1.1755304311753196,9.866814970453488,0.0,0.07631037399973138,0.028164896499802125,False
unequal,0.003,1.2,200,0.96,0.9230670617058012,0.9795946128493436,0.47,0.4020463337087108,0.5390844266463886,1.2225761514889184,2.3371923495450004,0.0,0.0739875969998684,0.027379470499981837,False
unequal,0.004,1.6,200,1.0,0.9811539940816791,1.0,0.92,0.8740095102048769,0.9501598448237337,1.1938101857438173,1.247050076391413,0.0,0.08166380000016943,0.029008869000062987,False
unequal,0.005,2.0,200,1.0,0.9811539940816791,1.0,0.99,0.9642775148038205,0.9972533993962251,1.0187056979105562,1.0919636093789324,0.0,0.07781410999970831,0.028544650999756414,False
unequal,0.0075,3.0,200,0.815,0.7554281794988185,0.8626988367726394,0.995,0.9722256001302286,0.999116854010634,1.0135208486314973,2.1696779048732355,0.0,0.07166605599948525,0.02716986650018953,False
unequal,0.01,4.0,200,1.0,0.9811539940816791,1.0,1.0,0.9811539940816791,1.0,1.0063701436762753,1.0265382382208719,0.0,0.08008356999984244,0.02796126999997796,False
