scenario,case,separation_hz,wrapped_phase_difference_rad,runs,successes,failures,success_rate,success_ci95_low,success_ci95_high,stable_failure,over_split_failures,not_split_failures,inaccurate_two_source_failures,median_max_frequency_error_hz,mean_runtime_seconds
identical_failed_seed_19,identical,0.0,-0.07053570708353661,100,100,0,1.0,0.9630051925239981,0.9999999999999999,False,0,0,0,nan,0.22635702599945945
identical_failed_seed_65,identical,0.0,-0.8276278475278396,100,100,0,1.0,0.9630051925239981,0.9999999999999999,False,0,0,0,nan,0.21089377799944486
identical_control_seed_0,identical,0.0,-2.936687130598073,100,100,0,1.0,0.9630051925239981,0.9999999999999999,False,0,0,0,nan,0.2111577970016515
identical_near_cancel,identical,0.0,3.1115926535897933,100,100,0,1.0,0.9630051925239981,0.9999999999999999,False,0,0,0,nan,0.21076360499893781
equal_0025_failed_seed_9,equal,0.0025,3.126386563605927,100,100,0,1.0,0.9630051925239981,0.9999999999999999,False,0,0,0,0.00010329830617106239,0.23578422099992166
equal_0025_failed_seed_32,equal,0.0025,-2.8677204359654627,100,100,0,1.0,0.9630051925239981,0.9999999999999999,False,0,0,0,0.00010282992329191387,0.23668966500030364
equal_0025_failed_seed_130,equal,0.0025,-2.924336757316311,100,100,0,1.0,0.9630051925239981,0.9999999999999999,False,0,0,0,0.00010073191002391013,0.23659235699800774
equal_0025_control_seed_0,equal,0.0025,-2.7528601179428267,100,100,0,1.0,0.9630051925239981,0.9999999999999999,False,0,0,0,8.843069796515834e-05,0.23600768899719696
equal_0025_phase_grid_worst,equal,0.0025,-3.141592653589793,100,100,0,1.0,0.9630051925239981,0.9999999999999999,False,0,0,0,8.270044094960127e-05,0.23793253100127912
unequal_003_failed_seed_6,unequal,0.003,2.438949912824747,100,87,13,0.87,0.7901947810519012,0.9224290614158575,False,0,0,13,0.00037157909304674774,0.2184892709972337
unequal_003_failed_seed_17,unequal,0.003,2.8548795417758432,100,89,11,0.89,0.8136853697209698,0.9374586804477487,False,0,0,11,0.00023423489250795626,0.23517532800324262
unequal_003_failed_seed_26,unequal,0.003,1.8377214265269126,100,99,1,0.99,0.9455124752390653,0.9982326134344526,False,0,0,1,0.00017706911111314838,0.23527565600001255
unequal_003_control_seed_0,unequal,0.003,1.254981284052987,100,100,0,1.0,0.9630051925239981,0.9999999999999999,False,0,0,0,6.767413380437404e-05,0.2257917879987508
unequal_003_phase_grid_worst,unequal,0.003,2.6179938779914944,100,81,19,0.81,0.7222097592919214,0.8748534600729574,False,0,0,19,0.00045538286371282766,0.2392090970039135
