amplitude_case,separation_hz,baseline_success_rate,optimized_success_rate,success_rate_change,baseline_not_split_failures,optimized_not_split_failures,baseline_inaccurate_two_source_failures,optimized_inaccurate_two_source_failures,baseline_over_split_failures,optimized_over_split_failures,baseline_mean_runtime_seconds,optimized_mean_runtime_seconds
equal,0.00025,0.0,0.0,0.0,190,199,10,1,0,0,0.06610465300094802,0.4091779515013332
equal,0.0005,0.0,0.005,0.005,182,180,18,19,0,0,0.07712565249821637,0.3951543160027359
equal,0.00075,0.0,0.005,0.005,162,156,38,43,0,0,0.07953291749960044,0.42342509149981195
equal,0.001,0.0,0.115,0.115,121,125,79,52,0,0,0.07892472399980761,0.41282987800135745
equal,0.0015,0.075,0.57,0.49499999999999994,39,63,146,23,0,0,0.08315007200028049,0.42724282350041903
equal,0.002,0.46,0.935,0.47500000000000003,6,10,102,3,0,0,0.07942491550202249,0.4329596250012401
equal,0.0025,0.91,1.0,0.08999999999999997,0,0,18,0,0,0,0.08093129149987362,0.43652674599929014
equal,0.003,1.0,1.0,0.0,0,0,0,0,0,0,0.0816004945023451,0.4640813044976676
equal,0.004,1.0,1.0,0.0,0,0,0,0,0,0,0.08094765049580019,0.5034799195008236
equal,0.005,1.0,1.0,0.0,0,0,0,0,0,0,0.0796328190001077,0.4382092669987469
equal,0.0075,1.0,1.0,0.0,0,0,0,0,0,0,0.10328711450041737,0.44659561800013764
equal,0.01,1.0,1.0,0.0,0,0,0,0,0,0,0.09869638650037814,0.5310847215019748
unequal,0.00025,0.0,0.0,0.0,191,200,9,0,0,0,0.08504484450095333,0.5496870665013557
unequal,0.0005,0.0,0.0,0.0,167,192,33,8,0,0,0.07939128799684113,0.5211556890030624
unequal,0.00075,0.0,0.015,0.015,116,112,84,85,0,0,0.07795980949886143,0.4964262629958103
unequal,0.001,0.0,0.06,0.06,84,59,116,129,0,0,0.07985626799636521,0.5780601974992896
unequal,0.0015,0.01,0.27,0.26,68,0,130,146,0,0,0.07827368250116706,0.5747030349963461
unequal,0.002,0.31,0.515,0.20500000000000002,70,1,68,96,0,0,0.07972815650166012,0.6398870549997082
unequal,0.0025,0.665,0.8,0.135,41,2,26,38,0,0,0.0801087900006678,0.5103081155015389
unequal,0.003,0.87,0.975,0.10499999999999998,20,0,6,5,0,0,0.08069011099811178,0.4745652549990336
unequal,0.004,1.0,1.0,0.0,0,0,0,0,0,0,0.07983381899975939,0.4855157029986731
unequal,0.005,1.0,1.0,0.0,0,0,0,0,0,0,0.08040456749906298,0.5020905099995434
unequal,0.0075,1.0,1.0,0.0,0,0,0,0,0,0,0.07876247949956451,0.48211416849982924
unequal,0.01,1.0,1.0,0.0,0,0,0,0,0,0,0.08083652150118724,0.45540788000129395
