case,separation_hz,phase_difference_rad,runs,successes,failures,success_rate,success_ci95_low,success_ci95_high,not_split_failures,inaccurate_two_source_failures,median_max_frequency_error_hz
equal,0.0025,-3.141592653589793,20,10,10,0.5,0.2992949144298199,0.7007050855701801,0,10,0.0006334013617745882
equal,0.0025,-2.6179938779914944,20,18,2,0.9,0.6989617935882066,0.9721341060158468,0,2,0.0003951641343116208
equal,0.0025,-2.0943951023931957,20,19,1,0.95,0.7638641064874331,0.9911187805671268,0,1,0.0003078973218748615
equal,0.0025,-1.5707963267948966,20,20,0,1.0,0.8388698745050667,1.0,0,0,0.0003730226630649369
equal,0.0025,-1.0471975511965979,20,20,0,1.0,0.8388698745050667,1.0,0,0,0.0003554605470066363
equal,0.0025,-0.5235987755982991,20,20,0,1.0,0.8388698745050667,1.0,0,0,0.00036201632041343856
equal,0.0025,0.0,20,20,0,1.0,0.8388698745050667,1.0,0,0,0.00035959676177022004
equal,0.0025,0.5235987755982987,20,20,0,1.0,0.8388698745050667,1.0,0,0,0.00037868373903293673
equal,0.0025,1.0471975511965974,20,20,0,1.0,0.8388698745050667,1.0,0,0,0.00033152209449660575
equal,0.0025,1.5707963267948966,20,20,0,1.0,0.8388698745050667,1.0,0,0,0.0003325373993972036
equal,0.0025,2.094395102393195,20,20,0,1.0,0.8388698745050667,1.0,0,0,0.000294362421333183
equal,0.0025,2.617993877991494,20,19,1,0.95,0.7638641064874331,0.9911187805671268,0,1,0.0003530276534791099
unequal,0.003,-3.141592653589793,20,11,9,0.55,0.3420820083075997,0.7418049791429071,7,2,0.00029786156718003554
unequal,0.003,-2.6179938779914944,20,20,0,1.0,0.8388698745050667,1.0,0,0,0.00023019679345903654
unequal,0.003,-2.0943951023931957,20,20,0,1.0,0.8388698745050667,1.0,0,0,0.00023141618610367232
unequal,0.003,-1.5707963267948966,20,20,0,1.0,0.8388698745050667,1.0,0,0,0.0002211976904789026
unequal,0.003,-1.0471975511965979,20,19,1,0.95,0.7638641064874331,0.9911187805671268,1,0,0.0002505490537352273
unequal,0.003,-0.5235987755982991,20,20,0,1.0,0.8388698745050667,1.0,0,0,0.0002577565938519655
unequal,0.003,0.0,20,20,0,1.0,0.8388698745050667,1.0,0,0,0.00020893394291743306
unequal,0.003,0.5235987755982987,20,20,0,1.0,0.8388698745050667,1.0,0,0,0.00031459720469406705
unequal,0.003,1.0471975511965974,20,20,0,1.0,0.8388698745050667,1.0,0,0,0.00022283400571954104
unequal,0.003,1.5707963267948966,20,17,3,0.85,0.6395767041130426,0.9476322080405041,2,1,0.0002754411024428194
unequal,0.003,2.094395102393195,20,8,12,0.4,0.21880396741419272,0.613422057684794,7,5,0.0005935213533323491
unequal,0.003,2.617993877991494,20,4,16,0.2,0.0806563532712,0.41602172202575993,7,9,0.0008185713756958535
