rank,layout,sensor_count,mean_pd_source,low_snr_pd_source,mean_pd_all,mean_p_fa,mean_balance_variance,score
1,bearing_left+bearing_right+gearbox_left,3,0.34315476190476196,0.34315476190476196,0.048214285714285716,0.04637755102040816,0.050638578869047615,0.22508037042942178
2,bearing_left+gearbox_left+output_shaft,3,0.3502976190476191,0.3502976190476191,0.048095238095238094,0.04561224489795918,0.07280809771825396,0.22266908039257366
3,bearing_left+bearing_right+output_shaft,3,0.35464285714285715,0.35464285714285715,0.015595238095238094,0.04673469387755102,0.07826800595238095,0.22203946641156463
4,bearing_left+gearbox_left+gearbox_right,3,0.32229166666666664,0.32229166666666664,0.0419047619047619,0.04224489795918367,0.059380053323412695,0.20811184408659297
5,bearing_right+gearbox_left+output_shaft,3,0.3472619047619047,0.3472619047619047,0.03464285714285714,0.05209183673469387,0.0837366443452381,0.20120990911989797
6,bearing_left+gearbox_left+input_shaft,3,0.3274107142857143,0.3274107142857143,0.04880952380952381,0.0563265306122449,0.04221384548611111,0.19365073031816893
7,bearing_right+gearbox_left+input_shaft,3,0.31949404761904765,0.31949404761904765,0.03976190476190476,0.052142857142857144,0.04652153397817461,0.19194756634424603
8,gearbox_left+input_shaft+output_shaft,3,0.3225297619047619,0.3225297619047619,0.03511904761904762,0.04867346938775511,0.07161106770833335,0.18937728927508507
9,bearing_left+gearbox_right+output_shaft,3,0.3303273809523809,0.3303273809523809,0.019761904761904762,0.0501530612244898,0.08217764756944444,0.18893243471867915
10,bearing_right+gearbox_left+gearbox_right,3,0.32535714285714284,0.32535714285714284,0.03297619047619048,0.05168367346938775,0.07022619047619047,0.1868767006802721
11,bearing_left+bearing_right+gearbox_right,3,0.3269345238095238,0.3269345238095238,0.013333333333333332,0.055561224489795925,0.061776506696428576,0.1849238214817177
12,bearing_right+input_shaft+output_shaft,3,0.33812499999999995,0.33812499999999995,0.015595238095238094,0.05795918367346938,0.07595381324404761,0.1842297260310374
13,bearing_left+gearbox_left,2,0.31693452380952386,0.31693452380952386,0.04738095238095238,0.056632653061224496,0.04025381324404761,0.183542311065051
14,bearing_left+input_shaft+output_shaft,3,0.3430952380952381,0.3430952380952381,0.019047619047619046,0.061734693877551025,0.07232082093253968,0.1834654398738662
15,bearing_right+gearbox_left,2,0.30428571428571427,0.30428571428571427,0.03035714285714286,0.05107142857142858,0.05102712053571428,0.17662929687499998
16,gearbox_left+gearbox_right+output_shaft,3,0.30005952380952383,0.30005952380952383,0.017023809523809524,0.04112244897959184,0.09192477678571429,0.17185223745748296
17,bearing_left+output_shaft,2,0.32928571428571424,0.32928571428571424,0.02011904761904762,0.06163265306122449,0.0733203125,0.16936025191326531
18,gearbox_left+gearbox_right+input_shaft,3,0.29080357142857144,0.29080357142857144,0.033452380952380956,0.047193877551020405,0.05536411830357143,0.1687337571747449
19,bearing_left+gearbox_right+input_shaft,3,0.29735119047619046,0.29735119047619046,0.011785714285714285,0.05484693877551021,0.05070926959325396,0.16230267812854307
20,bearing_right+gearbox_right+output_shaft,3,0.32729166666666665,0.32729166666666665,0.012023809523809523,0.058826530612244896,0.0965324714781746,0.16137236970308955
21,bearing_left+bearing_right+input_shaft,3,0.29821428571428577,0.29821428571428577,0.009285714285714286,0.057499999999999996,0.04795591517857143,0.159236328125
22,bearing_left+bearing_right,2,0.2937202380952381,0.2937202380952381,0.011904761904761906,0.05642857142857143,0.04662635788690476,0.15754991629464285
23,bearing_right+output_shaft,2,0.3151785714285714,0.3151785714285714,0.010595238095238093,0.059336734693877555,0.08699973958333336,0.15300523224914966
24,bearing_right+gearbox_right+input_shaft,3,0.3073511904761905,0.3073511904761905,0.015833333333333335,0.06341836734693877,0.05572519221230159,0.15265185967616215
25,gearbox_left+output_shaft,2,0.3021130952380952,0.3021130952380952,0.023333333333333338,0.05612244897959184,0.08117344370039684,0.14928147542871315
26,bearing_left+gearbox_right,2,0.2849702380952381,0.2849702380952381,0.01273809523809524,0.05622448979591837,0.05006323784722222,0.14748963957979022
27,gearbox_left+input_shaft,2,0.26437499999999997,0.26437499999999997,0.029166666666666667,0.05372448979591836,0.03296313864087302,0.14044445108772674
28,bearing_right+gearbox_right,2,0.26113095238095235,0.26113095238095235,0.004404761904761905,0.045051020408163264,0.06468284970238096,0.13868748671343537
29,gearbox_right+input_shaft+output_shaft,3,0.2885714285714286,0.2885714285714286,0.012619047619047618,0.054693877551020405,0.08169223710317461,0.13833755491780045
30,gearbox_left+gearbox_right,2,0.2705059523809524,0.2705059523809524,0.018333333333333333,0.05204081632653061,0.06642733754960317,0.13321065095308954
31,bearing_right+input_shaft,2,0.22238095238095237,0.22238095238095237,0.0033333333333333335,0.04295918367346939,0.03438583829365079,0.11926966588718822
32,input_shaft+output_shaft,2,0.2693452380952381,0.2693452380952381,0.005714285714285714,0.05882653061224491,0.07169232390873016,0.11584601491638323
33,bearing_left+input_shaft,2,0.23901785714285714,0.23901785714285714,0.007023809523809523,0.059234693877551016,0.034686923363095236,0.10320500770620748
34,gearbox_right+input_shaft,2,0.21705357142857143,0.21705357142857143,0.006666666666666667,0.052142857142857144,0.04238363715277777,0.09157603856646825
35,gearbox_left,1,0.23747023809523807,0.23747023809523807,0.011190476190476192,0.06244897959183674,0.04697973090277778,0.08908241346017573
36,bearing_left,1,0.2150297619047619,0.2150297619047619,0.004166666666666667,0.05897959183673469,0.027368458581349207,0.0833863489406179
37,gearbox_right+output_shaft,2,0.265,0.265,0.0034523809523809524,0.06903061224489795,0.09562291666666668,0.07912731717687074
38,output_shaft,1,0.22285714285714284,0.22285714285714284,0.0011904761904761904,0.050408163265306116,0.08927901785714286,0.07740130739795917
39,bearing_right,1,0.2099702380952381,0.2099702380952381,0.004642857142857143,0.05795918367346938,0.04119148685515873,0.07345612732071995
40,gearbox_right,1,0.164375,0.164375,0.00035714285714285714,0.04346938775510204,0.05524990699404762,0.04981127099277211
41,input_shaft,1,0.0994345238095238,0.0994345238095238,0.0,0.060816326530612246,0.0135495845734127,-0.028972921538407026
