layout,sensor_count,snr_db,runs,pd_any,pd_all,pd_source_mean,pd_source_min,pd_source_variance,false_alarm_runs,p_fa,score,benchmark
gearbox_left,1,-25.0,880,0.16363636363636364,0.0,0.041193181818181816,0.006818181818181818,0.002693294808884297,3600,0.014444444444444444,0.01095764552485078,single_best
gearbox_left,1,-20.0,880,0.6954545454545454,0.0,0.20454545454545453,0.029545454545454545,0.06887590392561983,3600,0.014444444444444444,0.14121861369375574,single_best
gearbox_left,1,-15.0,880,0.9988636363636364,0.010227272727272727,0.4803977272727272,0.11931818181818182,0.10882255617252065,3600,0.023333333333333334,0.3793197825198002,single_best
gearbox_left,1,-12.0,880,1.0,0.22386363636363638,0.7201704545454546,0.32954545454545453,0.0638677524535124,3600,0.014444444444444444,0.6593476894298096,single_best
gearbox_left,1,-10.0,880,1.0,0.5511363636363636,0.8735795454545454,0.5931818181818181,0.027836631585743805,3600,0.02,0.8196612296616734,single_best
gearbox_left,1,-5.0,880,1.0,0.9931818181818182,0.9982954545454545,0.9931818181818182,8.716425619834752e-06,3600,0.02,0.9582910963326446,single_best
bearing_left+gearbox_right+input_shaft,3,-25.0,880,0.1625,0.0,0.041193181818181816,0.0022727272727272726,0.0016440954287190081,3600,0.009444444444444445,0.021482245214933422,random_three
bearing_left+gearbox_right+input_shaft,3,-20.0,880,0.7102272727272727,0.0022727272727272726,0.2474431818181818,0.011363636363636364,0.05123603757747934,3600,0.010277777777777778,0.20126960747388659,random_three
bearing_left+gearbox_right+input_shaft,3,-15.0,880,0.9988636363636364,0.006818181818181818,0.6505681818181819,0.0125,0.1426268724173554,3600,0.013888888888888888,0.5514769678317264,random_three
bearing_left+gearbox_right+input_shaft,3,-12.0,880,1.0,0.07954545454545454,0.7644886363636364,0.07954545454545454,0.1564148857179752,3600,0.008055555555555555,0.6701700823935377,random_three
bearing_left+gearbox_right+input_shaft,3,-10.0,880,1.0,0.2125,0.8028409090909091,0.2125,0.11616767820247934,3600,0.009166666666666667,0.7264237366563361,random_three
bearing_left+gearbox_right+input_shaft,3,-5.0,880,1.0,0.7454545454545455,0.9363636363636364,0.7454545454545455,0.01214876033057851,3600,0.008888888888888889,0.9125114784205693,random_three
bearing_left+gearbox_left+output_shaft,3,-25.0,880,0.35795454545454547,0.0,0.09204545454545454,0.004545454545454545,0.020466813016528924,3600,0.0125,0.05681204803719009,best_three
bearing_left+gearbox_left+output_shaft,3,-20.0,880,0.9931818181818182,0.0,0.3352272727272727,0.031818181818181815,0.1450807076446281,3600,0.008333333333333333,0.246020252238292,best_three
bearing_left+gearbox_left+output_shaft,3,-15.0,880,1.0,0.2159090909090909,0.7389204545454545,0.2988636363636364,0.07390520080061982,3600,0.011944444444444445,0.6780789652562558,best_three
bearing_left+gearbox_left+output_shaft,3,-12.0,880,1.0,0.6125,0.9022727272727273,0.6204545454545455,0.026495351239669417,3600,0.005555555555555556,0.8779139405417815,best_three
bearing_left+gearbox_left+output_shaft,3,-10.0,880,1.0,0.8954545454545455,0.9738636363636364,0.8954545454545455,0.0020493285123966924,3600,0.01,0.9528389721074381,best_three
bearing_left+gearbox_left+output_shaft,3,-5.0,880,1.0,1.0,1.0,1.0,0.0,3600,0.009166666666666667,0.9816666666666667,best_three
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-25.0,880,0.7090909090909091,0.0,0.1974431818181818,0.003409090909090909,0.07439267497417354,3600,0.01888888888888889,0.12246906655331725,all_sensors_reference
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-20.0,880,0.9988636363636364,0.0125,0.5085227272727273,0.048863636363636366,0.12358890754132229,3600,0.020277777777777777,0.40617271794651055,all_sensors_reference
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-15.0,880,1.0,0.325,0.8224431818181819,0.33181818181818185,0.08050902311466943,3600,0.02,0.7421886702608471,all_sensors_reference
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-12.0,880,1.0,0.7931818181818182,0.9482954545454545,0.7931818181818182,0.00802008006198347,3600,0.025277777777777777,0.8937298589589072,all_sensors_reference
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-10.0,880,1.0,0.9568181818181818,0.9892045454545455,0.9568181818181818,0.00034962551652892613,3600,0.019444444444444445,0.9501408438073922,all_sensors_reference
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-5.0,880,1.0,1.0,1.0,1.0,0.0,3600,0.024722222222222222,0.9505555555555556,all_sensors_reference
