rank,layout,sensor_count,mean_pd_source,low_snr_pd_source,mean_pd_all,mean_p_fa,mean_balance_variance,score
1,bearing_left+gearbox_left+output_shaft,3,0.7288060897435896,0.5966346153846154,0.5067307692307692,0.04041666666666666,0.040575199164817555,0.6276851568278475
2,bearing_left+bearing_right+gearbox_left,3,0.7190705128205129,0.5829927884615385,0.4798076923076923,0.039880952380952385,0.0357986432137574,0.6214092864517293
3,bearing_left+gearbox_left+gearbox_right,3,0.7226762820512821,0.5875,0.5096153846153846,0.048749999999999995,0.03690477841469428,0.6067238928439349
4,bearing_left+gearbox_left,2,0.6842548076923077,0.5341346153846154,0.47211538461538466,0.03166666666666666,0.029309943987302762,0.606266502365323
5,bearing_right+gearbox_left+output_shaft,3,0.711378205128205,0.5691105769230769,0.47660256410256413,0.04636904761904762,0.04804440951676529,0.5946179051317273
6,bearing_left+gearbox_left+input_shaft,3,0.7046875,0.5631610576923077,0.4724358974358975,0.04755952380952381,0.031903054502588755,0.593616925129658
7,bearing_right+gearbox_left+input_shaft,3,0.6957131410256411,0.548016826923077,0.47179487179487184,0.051785714285714296,0.030556785086908286,0.5768633199107583
8,gearbox_left+input_shaft+output_shaft,3,0.7070913461538462,0.5640024038461537,0.48365384615384616,0.056130952380952386,0.0413025745038215,0.5741781541400307
9,bearing_right+gearbox_left,2,0.681650641025641,0.5280649038461538,0.4615384615384615,0.04738095238095238,0.03135819233851085,0.5712096400944807
10,bearing_right+gearbox_left+gearbox_right,3,0.7070512820512821,0.5629807692307692,0.4842948717948718,0.06053571428571428,0.04171618820882642,0.5651217593754403
11,gearbox_left+input_shaft,2,0.6480769230769231,0.48251201923076925,0.4379807692307692,0.03863095238095238,0.022721142289201187,0.5594544471704177
12,bearing_left+gearbox_right+output_shaft,3,0.6736378205128206,0.5384014423076924,0.3357371794871795,0.04190476190476191,0.070637038492357,0.5545097774571183
13,gearbox_left+gearbox_right+input_shaft,3,0.6874198717948717,0.5366586538461539,0.47564102564102567,0.05898809523809525,0.03514848758012821,0.5518694375286172
14,gearbox_left+output_shaft,2,0.6604567307692308,0.5036057692307693,0.40528846153846154,0.042023809523809526,0.05400376178809172,0.5494072308275659
15,bearing_left+bearing_right+output_shaft,3,0.6819711538461538,0.5575120192307692,0.30080128205128204,0.04755952380952381,0.07527314857618343,0.5492155319390144
