layout,snr_db,fault_label,frequency_hz,amplitude,pd
bearing_left+bearing_right+gearbox_left,-25.0,4Hz,3.999998173832588,0.01910292277864388,0.20416666666666666
bearing_left+bearing_right+gearbox_left,-25.0,8Hz,7.9999285714666994,0.024889351734884123,0.44166666666666665
bearing_left+bearing_right+gearbox_left,-25.0,13Hz,13.00008888535092,0.010502919663465827,0.03333333333333333
bearing_left+bearing_right+gearbox_left,-25.0,14Hz,14.000023485389159,0.04005274094917999,0.6652777777777777
bearing_left+bearing_right+gearbox_left,-20.0,4Hz,3.999998173832588,0.01910292277864388,0.7888888888888889
bearing_left+bearing_right+gearbox_left,-20.0,8Hz,7.9999285714666994,0.024889351734884123,0.9722222222222222
bearing_left+bearing_right+gearbox_left,-20.0,13Hz,13.00008888535092,0.010502919663465827,0.21666666666666667
bearing_left+bearing_right+gearbox_left,-20.0,14Hz,14.000023485389159,0.04005274094917999,0.9861111111111112
bearing_left+bearing_right+gearbox_left,-15.0,4Hz,3.999998173832588,0.01910292277864388,1.0
bearing_left+bearing_right+gearbox_left,-15.0,8Hz,7.9999285714666994,0.024889351734884123,1.0
bearing_left+bearing_right+gearbox_left,-15.0,13Hz,13.00008888535092,0.010502919663465827,0.7527777777777778
bearing_left+bearing_right+gearbox_left,-15.0,14Hz,14.000023485389159,0.04005274094917999,1.0
bearing_left+bearing_right+gearbox_left,-12.0,4Hz,3.999998173832588,0.01910292277864388,1.0
bearing_left+bearing_right+gearbox_left,-12.0,8Hz,7.9999285714666994,0.024889351734884123,1.0
bearing_left+bearing_right+gearbox_left,-12.0,13Hz,13.00008888535092,0.010502919663465827,0.9888888888888889
bearing_left+bearing_right+gearbox_left,-12.0,14Hz,14.000023485389159,0.04005274094917999,1.0
bearing_left+bearing_right+gearbox_left,-10.0,4Hz,3.999998173832588,0.01910292277864388,1.0
bearing_left+bearing_right+gearbox_left,-10.0,8Hz,7.9999285714666994,0.024889351734884123,1.0
bearing_left+bearing_right+gearbox_left,-10.0,13Hz,13.00008888535092,0.010502919663465827,1.0
bearing_left+bearing_right+gearbox_left,-10.0,14Hz,14.000023485389159,0.04005274094917999,1.0
bearing_left+bearing_right+gearbox_left,-5.0,4Hz,3.999998173832588,0.01910292277864388,1.0
bearing_left+bearing_right+gearbox_left,-5.0,8Hz,7.9999285714666994,0.024889351734884123,1.0
bearing_left+bearing_right+gearbox_left,-5.0,13Hz,13.00008888535092,0.010502919663465827,1.0
bearing_left+bearing_right+gearbox_left,-5.0,14Hz,14.000023485389159,0.04005274094917999,1.0
