layout,sensor_count,snr_db,runs,pd_any,pd_all,pd_source_mean,pd_source_min,pd_source_variance,false_alarm_runs,p_fa,score
bearing_left,1,-25.0,880,0.17045454545454544,0.0,0.044886363636363634,0.00909090909090909,0.00043743543388429754,2800,0.054285714285714284,-0.14563855888429753
bearing_left,1,-20.0,880,0.6147727272727272,0.003409090909090909,0.20823863636363635,0.01818181818181818,0.012635185304752064,2800,0.06142857142857143,-0.021923586002066127
bearing_left,1,-15.0,880,1.0,0.025,0.6244318181818181,0.038636363636363635,0.11810853564049587,2800,0.05142857142857143,0.3027015754132231
bearing_left,1,-12.0,880,1.0,0.03977272727272727,0.7434659090909091,0.04431818181818182,0.163648873321281,2800,0.04857142857142857,0.37708726110537194
bearing_left,1,-10.0,880,1.0,0.11136363636363636,0.7727272727272727,0.1125,0.1453777117768595,2800,0.07285714285714286,0.34327401859504136
bearing_left,1,-5.0,880,1.0,0.35454545454545455,0.8386363636363636,0.35454545454545455,0.07811466942148759,2800,0.054285714285714284,0.5548987603305786
bearing_left+bearing_right,2,-25.0,880,0.26022727272727275,0.0,0.07017045454545454,0.006818181818181818,0.0016899373708677686,2800,0.04428571428571428,-0.08685747029958679
bearing_left+bearing_right,2,-20.0,880,0.8670454545454546,0.0,0.34602272727272726,0.017045454545454544,0.04532315340909091,2800,0.040357142857142855,0.15038494318181816
bearing_left+bearing_right,2,-15.0,880,1.0,0.04318181818181818,0.7184659090909091,0.04431818181818182,0.1535894724948347,2800,0.03892857142857143,0.39790854209710746
bearing_left+bearing_right,2,-12.0,880,1.0,0.12272727272727273,0.7767045454545455,0.125,0.141628034607438,2800,0.04357142857142857,0.45425090392561995
bearing_left+bearing_right,2,-10.0,880,1.0,0.20909090909090908,0.8022727272727272,0.20909090909090908,0.11728822314049586,2800,0.04428571428571428,0.5065268595041322
bearing_left+bearing_right,2,-5.0,880,1.0,0.6488636363636363,0.9122159090909091,0.6488636363636363,0.023118139850206616,2800,0.045,0.7269741412706612
bearing_left+bearing_right+gearbox_left,3,-25.0,880,0.39431818181818185,0.0,0.12159090909090908,0.0125,0.013749354338842973,2800,0.055357142857142855,-0.08865831611570246
bearing_left+bearing_right+gearbox_left,3,-20.0,880,0.9579545454545455,0.014772727272727272,0.47642045454545456,0.07272727272727272,0.09384063468491735,2800,0.04392857142857143,0.21006169292355376
bearing_left+bearing_right+gearbox_left,3,-15.0,880,1.0,0.29204545454545455,0.8147727272727272,0.3340909090909091,0.07787319214876032,2800,0.03,0.6163248966942149
bearing_left+bearing_right+gearbox_left,3,-12.0,880,1.0,0.7011363636363637,0.9252840909090909,0.7011363636363637,0.01674740121384297,2800,0.03892857142857143,0.7689372094524793
bearing_left+bearing_right+gearbox_left,3,-10.0,880,1.0,0.9272727272727272,0.9818181818181818,0.9272727272727272,0.0009917355371900833,2800,0.0375,0.8493780991735538
bearing_left+bearing_right+gearbox_left,3,-5.0,880,1.0,1.0,1.0,1.0,0.0,2800,0.03142857142857143,0.89
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-25.0,880,0.8318181818181818,0.0,0.271875,0.03295454545454545,0.08600618220557851,2800,0.046785714285714285,0.004917581353305764
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-20.0,880,1.0,0.017045454545454544,0.5639204545454546,0.07727272727272727,0.11675644047004133,2800,0.062142857142857146,0.20631272598140496
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-15.0,880,1.0,0.4431818181818182,0.8571022727272727,0.44886363636363635,0.05562265947830578,2800,0.04964285714285714,0.6166050813533058
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-12.0,880,1.0,0.8647727272727272,0.9661931818181818,0.8647727272727272,0.0034287028667355384,2800,0.062142857142857146,0.7445787383780992
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-10.0,880,1.0,0.9681818181818181,0.9920454545454546,0.9681818181818181,0.00018982438016528971,2800,0.05142857142857143,0.8118176652892561
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-5.0,880,1.0,1.0,1.0,1.0,0.0,2800,0.05714285714285714,0.8
bearing_left+bearing_right+gearbox_right,3,-25.0,880,0.4818181818181818,0.0,0.14460227272727272,0.02727272727272727,0.015607809271694216,2800,0.07357142857142857,-0.1316270983987603
bearing_left+bearing_right+gearbox_right,3,-20.0,880,0.9579545454545455,0.005681818181818182,0.4653409090909091,0.02159090909090909,0.09743833935950413,2800,0.052142857142857144,0.16591490185950414
bearing_left+bearing_right+gearbox_right,3,-15.0,880,1.0,0.11818181818181818,0.7644886363636364,0.1215909090909091,0.13844742704028926,2800,0.04357142857142857,0.4458517239152893
bearing_left+bearing_right+gearbox_right,3,-12.0,880,1.0,0.23068181818181818,0.8076704545454545,0.23068181818181818,0.11097196216425619,2800,0.056428571428571425,0.4770040999483471
bearing_left+bearing_right+gearbox_right,3,-10.0,880,1.0,0.3977272727272727,0.8494318181818181,0.3977272727272727,0.06801233212809918,2800,0.04535714285714286,0.6090670196280992
bearing_left+bearing_right+gearbox_right,3,-5.0,880,1.0,0.9409090909090909,0.9852272727272727,0.9409090909090909,0.0006547004132231402,2800,0.047857142857142855,0.8169416322314049
bearing_left+bearing_right+input_shaft,3,-25.0,880,0.32272727272727275,0.0,0.09318181818181819,0.017045454545454544,0.0020770919421487606,2800,0.053214285714285714,-0.09556069214876033
bearing_left+bearing_right+input_shaft,3,-20.0,880,0.9159090909090909,0.011363636363636364,0.40028409090909095,0.03068181818181818,0.05634515431301653,2800,0.04107142857142857,0.18891990573347112
bearing_left+bearing_right+input_shaft,3,-15.0,880,1.0,0.05227272727272727,0.725,0.056818181818181816,0.1513345816115703,2800,0.041428571428571426,0.3983985020661156
bearing_left+bearing_right+input_shaft,3,-12.0,880,1.0,0.10454545454545454,0.7715909090909091,0.10454545454545454,0.14837164256198349,2800,0.05178571428571429,0.41229493801652894
bearing_left+bearing_right+input_shaft,3,-10.0,880,1.0,0.23295454545454544,0.8082386363636364,0.23295454545454544,0.11031726175103307,2800,0.04071428571428572,0.5333579222623968
bearing_left+bearing_right+input_shaft,3,-5.0,880,1.0,0.7431818181818182,0.9357954545454545,0.7431818181818182,0.012366670971074382,2800,0.04857142857142857,0.7509554493801653
bearing_left+bearing_right+output_shaft,3,-25.0,880,0.5511363636363636,0.0,0.1693181818181818,0.014772727272727272,0.03431495351239669,2800,0.05035714285714286,-0.048109762396694206
bearing_left+bearing_right+output_shaft,3,-20.0,880,0.9977272727272727,0.011363636363636364,0.509375,0.038636363636363635,0.1365679074121901,2800,0.03357142857142857,0.22799351110537192
