case_name,runs,success_rate,success_ci95_low,success_ci95_high,mean_estimated_k,median_frequency_mae_hz,ill_conditioned_rate,theoretical_identifiable,mean_runtime_seconds
very_low_snr_-25,1,0.0,0.0,0.7934567085261071,1.0,10.000211648757478,0.0,True,0.13852279994171113
very_low_snr_-30,1,0.0,0.0,0.7934567085261071,1.0,10.000252049345136,0.0,True,0.06082750007044524
non_symmetric_close,1,1.0,0.20654329147389294,1.0,2.0,3.920346585317702e-05,0.0,True,0.26758350001182407
identical_frequency,1,1.0,0.20654329147389294,1.0,1.0,0.010657375465340735,0.0,False,0.20921710005495697
phase_cancellation,1,1.0,0.20654329147389294,1.0,1.0,0.003068258005653135,0.0,False,0.23578880005516112
harmonic_pair,1,1.0,0.20654329147389294,1.0,2.0,4.0606136330723075e-05,0.0,True,0.16376759996637702
overcomplete_k8,1,1.0,0.20654329147389294,1.0,8.0,6.057056982033959e-05,0.0,True,1.7288859999971464
impulsive_noise,1,1.0,0.20654329147389294,1.0,4.0,5.977630342668405e-05,0.0,True,0.40674220002256334
low_frequency_boundary,1,1.0,0.20654329147389294,1.0,2.0,5.6875253602345355e-05,0.0,True,0.12417689990252256
high_frequency_boundary,1,1.0,0.20654329147389294,1.0,2.0,1.909450011439162e-05,0.0,True,0.15377380000427365
