case_name,replicate,sample_count,true_k,expected_k,estimated_k,success,frequency_mae_hz,noise_kind,theoretical_identifiable,condition_design,ill_conditioned,runtime_seconds,true_frequencies_hz,estimated_frequencies_hz,candidate_origin,residual_peak_ratio
very_low_snr_-25,0,40001,4,4,1,False,10.000211648757478,gaussian,True,1.0000537142292432,False,0.13852279994171113,3.99999817;7.99992857;13.0000889;14.0000235,14.0002098,,nan
very_low_snr_-30,0,40001,4,4,1,False,10.000252049345136,gaussian,True,1.0000568583579708,False,0.06082750007044524,3.99999817;7.99992857;13.0000889;14.0000235,14.0002502,,nan
non_symmetric_close,0,40001,2,2,2,True,3.920346585317702e-05,gaussian,True,1.1583943661281884,False,0.26758350001182407,13.502;13.505,13.5019828;13.5049388,adaptive_split_1.00_over_T,18.080266569117278
identical_frequency,0,40001,2,1,1,True,0.010657375465340735,gaussian,False,1.0429989264645996,False,0.20921710005495697,13.5;13.5,13.4893426,peel_residual_rescan,5.230293652559308
phase_cancellation,0,40001,2,1,1,True,0.003068258005653135,gaussian,False,1.0319499356455681,False,0.23578880005516112,13.5;13.5,13.5030683,peel_residual_rescan,6.0646682361607285
harmonic_pair,0,40001,2,2,2,True,4.0606136330723075e-05,gaussian,True,1.0000573123959808,False,0.16376759996637702,4;8,4.00003117;7.99994995,,nan
overcomplete_k8,0,40001,8,8,8,True,6.057056982033959e-05,gaussian,True,1.0002897701540687,False,1.7288859999971464,3;5.5;8;11;13;16;21;29,3.00004097;5.50009042;7.99998294;10.9999283;13.0001038;16.0000647;20.9999766;29.0000726,,nan
impulsive_noise,0,40001,4,4,4,True,5.977630342668405e-05,gaussian_plus_impulses,True,1.0001780871217951,False,0.40674220002256334,3.99999817;7.99992857;13.0000889;14.0000235,4.00005896;7.99988916;13.0001504;14.0001008,,nan
low_frequency_boundary,0,40001,2,2,2,True,5.6875253602345355e-05,gaussian,True,1.0014061637758893,False,0.12417689990252256,0.08;0.12,0.0800715812;0.120042169,,nan
high_frequency_boundary,0,40001,2,2,2,True,1.909450011439162e-05,gaussian,True,1.000154572595224,False,0.15377380000427365,48.8;49.2,48.7999794;49.2000176,,nan
